gene symbols	3hours	6hours	9hours	12hours	24hours	48hours	ER	ER+FOXA1+GATA3	VECTOR
CCND1	0.3678	-0.1652	0.4997	0.5947	0.4383	0.276	0.3214	0.4523	0.053
POLA2	0.0364	-0.1429	0.2302	0.269	0.3588	0.6837	-0.2407	0.3463	0.1532
MCM3	-0.2412	-0.2503	0.4101	0.413	0.5192	1.2091	-0.2149	0.3039	0.1564
BTG1	-0.6291	-0.6732	-0.3305	-0.441	-0.3671	-0.2237	0.5901	-0.2809	0.0244
CRADD	-0.0872	-0.654	-0.164	-0.6883	-0.3896	0.4528	0.3174	-0.5437	-0.0963
STC2	1.1788	0.7747	1.4194	1.4619	1.0788	0.715	-0.008	0.3021	-0.0626
STC1	0.0778	-0.4886	0.014	-0.0603	0.0982	0.5557	-1.0804	-0.6783	-0.2257
INHBB	-0.1419	-0.3209	-0.0726	-0.3021	-0.1848	-0.4344	1.2358	-1.131	-0.127
RASGRP1	0.5779	0.0766	0.6845	0.7487	1.1887	-0.5234	-0.0276	1.0373	0.0409
ADCY9	0.0994	0.0707	0.2225	0.2384	0.4351	0.3941	0.0886	0.3486	0.2713
GADD45B	0.2276	0.1387	0.134	0.1646	0.132	0.3298	0.3196	0.3444	-0.0557
SLK	-0.0519	0.1829	0.095	0.2436	0.2943	-0.4643	0.0964	0.3152	0.0209
JAK1	-0.23	-0.1905	0.169	0.1542	0.1742	0.242	-0.0975	0.5502	0.1
CXCR4	-0.2753	-0.1709	0.1056	-0.0609	-0.1085	0.2273	0.4639	-1.1129	-0.0616
DUSP1	0.124	-0.0002	0.0487	-0.1709	-0.2397	-0.2739	0.075	-1.7719	-0.2243
PLK2	-1.1033	-0.6143	-0.3759	-0.5622	-0.3456	-0.9584	-0.2308	-0.3656	-0.371
LDLR	0.0446	-0.1493	0.0365	0.0222	0.0728	0.0633	0.0141	-0.2668	-0.0025
SDC4	-0.2467	-0.2748	-0.1947	-0.2986	-0.5151	-0.1927	-0.5967	-0.5278	0.0212
TGFBR2	-0.261	-0.387	0.0407	-0.0971	-0.47	-0.4078	-0.1573	-0.3943	-0.0212
KLF6	-0.4703	-0.4764	-0.3066	-0.2932	-0.3137	-0.4531	0.0723	-0.3385	-0.045
NR2C1	-0.0469	-0.149	0.0078	-0.1081	-0.2723	-0.3126	0.2687	-0.4542	0.031
JUNB	-0.1913	-0.017	-0.222	-0.4785	-1.0428	-1.2642	0.1075	-0.4104	0.0312
SATB1	-0.0423	-0.228	0.1002	0.1441	0.017	-0.059	0.0302	-0.287	0.0421
SMAD3	-0.5331	-0.8312	-0.3527	-0.4465	-0.7393	-1.322	0.3035	-0.3214	0.1243
KLF9	-0.0473	-0.162	0.0157	0.0884	0.1058	0.2373	0.4422	-1.0266	-0.122
IRX5	-0.4811	-0.8929	-0.1218	-0.0938	0.1533	0.2424	-0.844	-0.4715	0.0722
