Gene symbol	Gene name	Array (FC)	RT-PCR (FC)	Cell Type
LOC728358	Defensin, a 1	6.6 (<.001)		CD41 T cells
CEACAM8	Carcinoembryonic antigen–related cell adhesion molecule 8	5.6 (<.001)	20.2 (.023)	CD41 T cells
LTF	Lactotransferrin	5.0 (<.001)	21.1 (.012)	CD41 T cells
S100A9	S100 calcium-binding protein A9	5.0 (<.001)	19.5 (.019)	CD41 T cells
S100A8	S100 calcium-binding protein A8	4.8 (<.001)	15.3 (.015)	CD41 T cells
LCN2	Lipocalin 2	4.7 (<.001)	17.0 (.015)	CD41 T cells
S100A12	S100 calcium-binding protein A12	4.7 (<.001)	27.1 (.008)	CD41 T cells
DEFA4	Defensin, a 4, corticostatin	4.3 (<.001)		CD41 T cells
MMP8	MMP-8 (collagenase 2)	3.6 (<.001)		CD41 T cells
S100P	S100 calcium-binding protein P	3.3 (<.001)	21.2 (.008)	CD41 T cells
CAMP	Cathelicidin antimicrobial peptide	3.3 (<.001)	12.4 (.645)	CD41 T cells
MNDA	Myeloid cell nuclear differentiation antigen	2.7 (<.001)		CD41 T cells
BPI	Bactericidal/permeability-increasing protein	2.6 (<.001)	21.7 (.019)	CD41 T cells
GCA	Grancalcin, EF-hand calcium-binding protein	2.6 (<.001)		CD41 T cells
ZNF749	Zinc finger protein 749	2.5 (<.001)		CD41 T cells
CEACAM6	Carcinoembryonic antigen–related cell adhesion molecule 6	2.4 (<.001)	29.1 (.012)	CD41 T cells
LOC23117	KIAA0220-like protein	2.4 (<.001)		CD41 T cells
STOM	Stomatin	2.3 (<.001)		CD41 T cells
ALOX5	Arachidonate 5-lipoxygenase	2.2 (<.001)		CD41 T cells
UGCG	UDP-glucose ceramide glucosyltransferase	2.0 (<.001)		CD41 T cells
CEACAM8	Carcinoembryonic antigen–related cell adhesion molecule 8	4.4 (<.001)	3.7 (.023)	CD81 T cells
CHI3L1	Chitinase 3–like 1 (cartilage glycoprotein-39)	3.9 (<.001)	4.8 (.019)	CD81 T cells
LTF	Lactotransferrin	3.8 (<.001)	2.5 (.154)	CD81 T cells
ELA2	Leukocyte elastase (neutrophil elastase)	3.7 (.002)	12.7 (.013)	CD81 T cells
CD24	CD24 molecule	3.6 (<.001)	3.5 (.015)	CD81 T cells
LCN2	Lipocalin 2	3.3 (<.001)	14.8 (.01)	CD81 T cells
EIF2S3	Eukaryotic translation initiation factor 2, subunit 3 g, 52 kd	3.3 (.045)	1.5 (.232)	CD81 T cells
ANXA3	Annexin A3	3.2 (.001)	9.6 (.008)	CD81 T cells
ARG1	Arginase, liver	3.2 (.001)	4.0 (.04)	CD81 T cells
SEPT6	Septin 6	3.1 (.010)		CD81 T cells
HSP90AB1	Heat shock protein 90 kd a (cytosolic), class B member 1	3.1 (.013)		CD81 T cells
CEACAM6	Carcinoembryonic antigen–related cell adhesion molecule 6 (nonspecific cross-reacting antigen)	2.9 (<.001)	4.6 (.030)	CD81 T cells
AZU1	Azurocidin	2.9 (.003)		CD81 T cells
LEF1	Lymphoid enhancer–binding factor 1	2.9 (.026)		CD81 T cells
BPI	Bactericidal/permeability-increasing protein	2.8 (<.001)	29.1 (.001)	CD81 T cells
SF1	Splicing factor 1	2.8 (.030)		CD81 T cells
SAMHD1	SAM domain and HD domain 1	2.7 (.006)		CD81 T cells
S100B	S100 calcium-binding protein B	2.7 (.046)		CD81 T cells
TCN1	Transcobalamin I (vitamin B12–binding protein, R binder family)	2.7 (.002)		CD81 T cells
