Probe set	Class of lncRNA	Ensembl gene ID	Transcript	Name	P value	Fold change
220459_at	Antisense	ENSG00000215424	MCM3APAS	Minichromosome maintenance complex component 3–associated protein antisense RNA	0.00014	1.73
1557008_at	Intergenic	ENSG00000248908	RP11-730N24.1		0.00015	21.8
1556453_at	Intergenic	ENSG00000229727	AC_013460.1		0.00107	21.59
210794_s_at	Intergenic	ENSG00000214548	MEG3	Maternally expressed 3 (non-protein coding)	0.00002	21.54
215011_at	Intergenic	ENST00000413987	SNHG3	Small nucleolar RNA host gene 3 (non-protein coding)	0.00148	1.53
1553449_at	Intergenic	ENSG00000180422	C16orf81	Chromosome 16 open reading frame 81	0	21.86
228913_at	Intergenic	ENSG00000170919	XXyac-R12DG2.2-010		0	1.56
1554447_at	Intergenic	ENSG00000225470	NCRNA00183	Non–protein-coding RNA 183	0.00152	2.27
223725_at	Intergenic	ENSG00000240288	GHRLOS	Ghrelin opposite strand (non-protein coding)	0.0003	1.53
243656_at	Intergenic	ENSG00000215447	BX322557.10		0.00021	21.6
1563088_a_at	Intergenic	ENSG00000215458	AP_001053.11		0.00005	21.53
1557505_a_at	Intergenic	ENSG00000251153	AL049776.2		0	1.67
241270_at	Intergenic	ENSG00000250233	AC_015802.2		0.00002	21.62
1564211_at	Intergenic	ENSG00000246223	C14orf64		0.00115	1.67
1564426_x_at	Intergenic	ENSG00000247397	AC_130352.1		0.00151	21.95
237544_at	Pseudogene	ENSG00000107679	PLEKHA1	Pleckstrin homology domain containing, family A pseudogene	0.00003	1.81
1562250_at	Pseudogene	ENSG00000176993	AL590233.1	Known pseudogene	0.0008	1.99
1555890_at	Pseudogene	ENSG00000170356	OR2A20P	Olfactory receptor, family 2, subfamily A, member 20 pseudogene	0.00095	1.7
244071_at	Pseudogene	ENSG00000188573	FBLL1	Fibrillarin-like 1	0.00141	21.74
