Gene	Fold increase
CBX1	2.02
SPCS1	2.2
KPNA2	2.34
HTATSF1	2.4
YWHAH	2.5
C20orf3	2.54
EEF1B2	2.55
ENTPD4	2.71
ACTB	2.73
SCG5	2.79
SRF	2.85
NME1	2.86
EPHX2	2.91
ZNF189	2.93
ITM2B	2.98
TPD52	3
FOS	3.02
MLLT11	3.11
RABEPK	3.12
RFK	3.34
DDOST	3.34
RBM3	3.4
SGCE	3.42
RCN1	3.43
KIF5B	3.44
DUSP6	3.47
GNAS	3.51
BMS1	3.66
ARPC5 L	3.68
ZNF177	3.7
CELF2	3.74
SPINT2	3.76
IMPA2	3.9
ARG2	3.91
IRF9	3.92
SHC1	3.95
MIDN	4.21
CD63	4.3
LEPROT	4.33
SLC38A1	4.47
GNG3	4.51
THBS4	4.59
PBXIP1	5.05
B2M	5.06
GADD45A	5.53
IL13RA2	5.91
PIP5K1B	6.02
SLC15A2	6.05
SGK1	6.74
FOSB	6.8
ERP29	7.09
CTSH	7.15
DCLK1	7.73
NTS	8.72
HLA-B	9.1
THBS2	9.58
DUSP5	10.57
VGF	11.08
PENK	11.78
