Unique id	Gene symbol
ILMN_1748661	AKT1
ILMN_2388507	AKT1
ILMN_2410909	AKT1
ILMN_1662681	AMBRA1
ILMN_1653283	APP
ILMN_2404063	APP
ILMN_2404065	APP
ILMN_2047240	ARSA
ILMN_1656477	ARSA
ILMN_2206098	ATG10
ILMN_1748968	ATG10
ILMN_1673898	ATG12
ILMN_2188204	ATG12
ILMN_1725707	ATG16L1
ILMN_2365881	ATG16L1
ILMN_1664644	ATG16L2
ILMN_1769566	ATG3
ILMN_2163732	ATG3
ILMN_2313782	ATG4A
ILMN_1768960	ATG4A
ILMN_1691173	ATG4B
ILMN_2411915	ATG4B
ILMN_1700923	ATG4C
ILMN_2383727	ATG4C
ILMN_1801905	ATG4D
ILMN_2180315	ATG4D
ILMN_1718265	ATG5
ILMN_1790978	ATG7
ILMN_1739008	ATG9A
ILMN_2296290	ATG9A
ILMN_2410975	ATG9A
ILMN_1734655	ATG9B
ILMN_1720360	BAD
ILMN_1685398	BAD
ILMN_1738652	BAD
ILMN_1805990	BAK1
ILMN_1683300	BAX
ILMN_2258383	BAX
ILMN_2321064	BAX
ILMN_1801119	BCL2
ILMN_2246956	BCL2
ILMN_1701120	BCL2
ILMN_2363250	BCL2
ILMN_1654118	BCL2L1
ILMN_1742410	BCL2L1
ILMN_1744822	BECN1
ILMN_1763386	BID
ILMN_2259495	BID
ILMN_2372413	BID
ILMN_1724658	BNIP3
ILMN_1731639	CASP3
ILMN_2388155	CASP3
ILMN_1809313	CASP8
ILMN_2377733	CASP8
ILMN_1787749	CASP8
ILMN_1669565	CASP8
ILMN_1673757	CASP8
ILMN_1722811	CDKN1B
ILMN_2196347	CDKN1B
ILMN_1717714	CDKN2A
ILMN_1757255	CDKN2A
ILMN_1744295	CDKN2A
ILMN_1669281	CLN3
ILMN_2394381	CLN3
ILMN_2359742	CTSB
ILMN_1696360	CTSB
ILMN_1743032	CTSS
ILMN_2246410	CXCR4
ILMN_2320888	CXCR4
ILMN_1801584	CXCR4
ILMN_1708340	DAPK1
ILMN_1669376	DRAM
ILMN_1724984	EIF2AK3
ILMN_1672902	EIF4G1
ILMN_1768470	EIF4G1
ILMN_2370772	EIF4G1
ILMN_1678244	EIF4G1
ILMN_1678535	ESR1
ILMN_1758658	FADD
ILMN_1808132	FAS
ILMN_2319077	FAS
ILMN_1765801	GAA
ILMN_2410783	GAA
ILMN_2050109	GABARAP
ILMN_2151281	GABARAPL1
ILMN_1796458	GABARAPL2
ILMN_2046315	GABARAPL2
ILMN_1727458	HDAC1
ILMN_1715994	HGS
ILMN_1687546	HSP90AA1
ILMN_1691097	HSP90AA1
ILMN_2373515	HSP90AA1
ILMN_1686367	HSPA8
ILMN_2413084	HSPA8
ILMN_1698186	IFNA2
ILMN_1782448	IFNA4
ILMN_2202096	IFNA4
ILMN_2207291	IFNG
ILMN_1709613	IGF1
ILMN_2056087	IGF1
ILMN_1666966	INS
ILMN_1687277	IRGM
ILMN_1772958	MAP1LC3A
ILMN_1711986	MAP1LC3A
ILMN_1776188	MAP1LC3A
ILMN_1703244	MAP1LC3B
ILMN_1737627	MAPK14
ILMN_1788002	MAPK14
ILMN_1720656	MAPK14
ILMN_2388090	MAPK14
ILMN_2364574	MAPK8
ILMN_2308806	MAPK8
ILMN_1714965	NFKB1
ILMN_1687896	PIK3C3
ILMN_1770433	PIK3CG
ILMN_1715832	PIK3R4
ILMN_1783889	PRKAA1
ILMN_2357577	PRKAA1
ILMN_1668778	PRKAA2
ILMN_1701134	PTEN
ILMN_1677843	RAB24
ILMN_1714393	RAB24
ILMN_2278850	RAB24
ILMN_2379718	RAB24
ILMN_1799765	RAB24
ILMN_1696591	RB1
ILMN_1656011	RGS1
ILMN_1704557	RPS6KB1
ILMN_1701933	SNCA
ILMN_1766165	SNCA
ILMN_1662618	SQSTM1
ILMN_2129668	TGFB1
ILMN_1705750	TGM2
ILMN_1679267	TGM2
ILMN_1797236	TGM2
ILMN_1702973	TMEM166
ILMN_2066534	TMEM74
ILMN_1808634	TMEM77
ILMN_1728106	TNF
ILMN_1801307	TNFSF10
ILMN_1779356	TP53
ILMN_1778188	TP73
ILMN_1705144	ULK1
ILMN_1735052	ULK1
ILMN_1744560	ULK1
ILMN_1761288	ULK1
ILMN_1715482	ULK2
ILMN_1761069	UVRAG
ILMN_1909466	UVRAG
