Feature	rank=-log(p-value)
RNF10	8.278099758
ID4	7.987441453
SLAMF7	7.175049768
HOXA4	7.050937221
CD79A	6.564216564
CA2	6.195377391
RALA	5.659108096
SLC25A15	5.63209919
GPR88	5.542064146
RSHL1	5.421529749
RND1	5.292412976
ALOX12	5.138114459
PSRC1	4.955744298
C1ORF114	4.95368704
RYR2	4.938274287
CAMKK2	4.904983273
CSNK1E	4.85757303
CHIT1	4.742061289
PGM5	4.675811531
GNE	4.657763243
hsa-miR-449b	4.59303262
PSMD5	4.535352174
PGRMC1	4.411672418
TIPARP	4.394826334
WEE1	4.353014523
RALBP1	4.298624345
PCCB	4.291911513
IGFALS	4.244817074
RSRC2	4.210905374
DSC3	4.009510378
GYPB	3.999792655
SLC25A32	3.983401908
PPA2	3.949353474
ABHD8	3.899966625
hsa-miR-624	3.897340437
KCTD20	3.889137828
SDF2L1	3.584374659
C12ORF43	3.563876179
SSTR2	3.479454275
ESRRG	3.401849501
NTS	3.246300598
TULP2	3.243825826
hsa-miR-449a	3.203489361
SLC26A2	3.20328602
TM4SF5	3.156469617
CDCA3	3.146191628
TRAF3IP2	3.13768396
EIF5B	3.105509926
CEACAM3	3.089939521
SLC2A11	2.971802741
MDM1	2.922832641
ITGAX	2.901331984
ETNK2	2.89805163
POLR3C	2.845874036
CCL18	2.730209601
MAT2B	2.670653323
ITGA4	2.626533491
MTHFD2L	2.599701937
BRP44L	2.570400788
CLCC1	2.545387692
ANKRA2	2.544916215
RRAS2	2.543076459
NSMAF	2.497603677
PPIB	2.439225644
PARP4	2.438038824
RNF4	2.312928573
PPAT	2.244786196
KL	2.204388011
STX18	2.180372396
PHKA1	2.158038267
TREML2	2.135124725
HMOX2	2.100628611
KIAA1107	2.077718507
CITED2	2.074345142
SDF4	2.001742654
TNFRSF10C	1.961521862
DHX29	1.955332559
has-miR-206	1.887399088
has-miR-100	1.805906288
CCR10	1.802526843
MLLT4	1.765523063
CAMK1G	1.698543297
PRPF19	1.690852102
RMND5B	1.663631357
NPLOC4	1.650822762
ASGR2	1.650288943
DAZAP1	1.638907776
EPHB3	1.522348218
NDUFV2	1.506480147
PYGB	1.465495205
A4GALT	1.416827034
KAZALD1	1.414230922
TMPRSS3	1.398523525
has-miR-193b	1.385925814
L3MBTL	1.363380786
H1F0	1.350300065
DGCR2	1.331489657
GNG12	1.326347415
CUL1	1.314117749
ABCB7	1.256350521
TARS	1.238703707
DCUN1D4	1.227561844
ART4	1.227437649
MAD2L1	1.216645216
CLDN4	1.216130193
LEMD3	1.185555907
ZMYM5	1.172875382
DVL1	1.103009838
NFIL3	1.082233801
PIPOX	1.045249478
CILP	1.033476549
ZNF132	1.017005037
AKAP10	0.978495605
DPYSL4	0.960638109
ARHGEF2	0.910965364
BRCA2	0.904859769
PRSS21	0.882448685
PDLIM7	0.87450589
SHOC2	0.805796088
PLA2G5	0.786926955
PNLIPRP2	0.786553427
C15ORF44	0.701851563
SAV1	0.653083454
RASL11B	0.635264323
DHRS7B	0.632239964
NEUROD2	0.62998745
RABGEF1	0.613112376
TFRC	0.607399081
NLGN1	0.591967122
RNASEN	0.590133064
PRB4	0.588133534
CHPT1	0.544159306
BTK	0.532000337
NPPA	0.52761081
ECEL1	0.488971797
OCA2	0.425136613
PRKACG	0.398230352
TTC23	0.386436155
PCTK1	0.346709502
GPS2	0.314944052
PSMB1	0.276911283
GPR157	0.265627223
RECK	0.262567557
FANCA	0.239068558
PDLIM2	0.218533963
LAMC3	0.21315431
CD151	0.203163853
THBS3	0.138726852
SH3YL1	0.113537555
CD244	0.106307348
C10ORF26	0.087266507
SLC37A4	0.086953614
MFNG	0.071109341
ATP5G3	0.008140634
AFF1	0.005586289
DDX56	0.001337108
