Probe Set ID	Gene Symbol	Corrected p-value	Regulation ([PF] vs [SP])1	Regulation ([PF] vs [ST])1	Regulation ([SP] vs [ST])1
206140_at	LHX2	1.70E-20	down	down	down
207443_at	NR2E1	1.92E-15	down	down	down
237269_at		5.35E-15	up	up	up
221884_at	EVI1	5.35E-15	up	up	up
232424_at	PRDM16	9.96E-15	down	down	down
226420_at	EVI1	9.96E-15	up	up	up
206018_at	FOXG1	1.42E-14	up	down	down
211219_s_at	LHX2	4.29E-14	down	down	down
229103_at	WNT3	4.29E-14	up	up	up
1558945_s_at	CACNA1A	5.60E-14	up	up	up
221950_at	EMX2	8.62E-13	down	down	down
1558944_at	CACNA1A	8.83E-13	up	up	up
232531_at	EMX2OS	1.06E-12	down	down	down
204069_at	MEIS1	1.06E-12	down	up	up
205923_at	RELN	2.63E-12	up	up	up
204187_at	GMPR	5.12E-12	up	up	up
228766_at	CD36	6.15E-12	up	up	up
206930_at	GLYAT	1.60E-11	down	down	up
209905_at	HOXA9	1.60E-11	down	up	up
204990_s_at	ITGB4	1.60E-11	up	up	up
214651_s_at	HOXA9	2.02E-11	down	down	up
209569_x_at	D4S234E	2.28E-11	up	up	up
209047_at	AQP1	2.97E-11	up	up	up
236360_at	FLJ42875	3.15E-11	up	down	down
218763_at	STX18	7.11E-11	up	up	up
1555396_s_at	CXorf67	7.45E-11	up	up	up
211905_s_at	ITGB4	8.88E-11	up	up	up
205372_at	PLAG1	9.16E-11	up	up	up
235377_at	C6orf142	9.45E-11	up	up	up
221496_s_at	TOB2	1.50E-10	up	up	down
209570_s_at	D4S234E	1.50E-10	up	up	down
222243_s_at	TOB2	1.55E-10	up	up	up
209555_s_at	CD36	1.70E-10	up	up	up
231666_at	PAX3	1.87E-10	up	up	up
203889_at	SCG5	2.16E-10	up	down	down
203397_s_at	GALNT3	3.35E-10	down	up	up
237058_x_at	SLC6A13	3.35E-10	up	up	up
203911_at	RAP1GAP	3.52E-10	up	down	down
229616_s_at	GRAMD2	3.68E-10	up	up	up
211031_s_at	CLIP2	4.08E-10	up	up	up
238125_at	ADAMTS16	4.35E-10	down	up	up
217965_s_at	SAP30BP	4.76E-10	up	up	up
214974_x_at	CXCL5	4.76E-10	up	up	up
226272_at	RCAN3	5.72E-10	down	up	up
1559477_s_at	MEIS1	6.37E-10	down	up	up
208464_at	GRIA4	6.64E-10	up	up	up
220432_s_at	CYP39A1	6.85E-10	up	up	up
228473_at	MSX1	6.88E-10	up	up	up
205946_at	VIPR2	6.88E-10	up	up	up
202206_at	ARL4C	6.92E-10	up	up	up
207679_at	PAX3	1.04E-09	down	up	up
202208_s_at	ARL4C	1.43E-09	up	up	up
242269_at	FLJ42875	1.45E-09	up	down	down
225699_at	C7orf40	1.68E-09	down	down	down
206488_s_at	CD36	1.74E-09	up	up	up
223063_at	C1orf198	1.84E-09	up	up	up
207542_s_at	AQP1	1.84E-09	down	up	up
205031_at	EFNB3	1.97E-09	up	up	up
233249_at	LOC730200	2.12E-09	up	up	up
206878_at	DAO	2.18E-09	up	up	up
211427_s_at	KCNJ13	2.18E-09	down	down	up
240847_at		2.34E-09	up	up	up
215749_s_at	GORASP1	2.62E-09	up	up	up
238763_at	RBM20	2.72E-09	down	up	up
227377_at	IGF2BP1	3.04E-09	up	up	up
64408_s_at	CALML4	3.34E-09	up	up	up
205208_at	ALDH1L1	3.57E-09	up	up	up
220709_at	ZNF556	3.70E-09	up	up	up
202588_at	AK1	3.98E-09	up	up	up
242172_at	MEIS1	4.37E-09	down	up	up
227848_at	PEBP4	4.62E-09	up	up	up
1563589_at	LOC340184	4.72E-09	down	up	up
205043_at	CFTR	4.86E-09	down	down	up
236901_at		4.86E-09	down	down	down
236045_x_at		4.86E-09	down	down	down
220979_s_at	ST6GALNAC5	5.01E-09	down	down	down
1553485_at	CCDC140	5.28E-09	down	up	up
204932_at	TNFRSF11B	5.28E-09	up	up	up
235892_at		5.28E-09	up	up	up
207695_s_at	IGSF1	5.28E-09	up	up	up
214183_s_at	TKTL1	5.36E-09	down	up	up
230595_at	LOC572558	6.22E-09	down	up	up
215518_at	STXBP5L	6.34E-09	up	up	down
1557720_s_at	MYO16	6.85E-09	up	up	up
221879_at	CALML4	7.83E-09	up	up	up
216059_at	PAX3	7.91E-09	down	up	up
238077_at	KCTD6	8.15E-09	down	up	up
201957_at	PPP1R12B	8.15E-09	up	up	up
1558874_a_at		8.15E-09	up	up	up
90265_at	ADAP1	8.56E-09	up	down	down
205737_at	KCNQ2	8.56E-09	up	down	down
229371_at		9.44E-09	up	up	up
229889_at	C17orf76	9.53E-09	down	down	down
214822_at	FAM5B	1.02E-08	down	down	down
205100_at	GFPT2	1.02E-08	up	up	up
1558508_a_at	C1orf53	1.18E-08	down	down	down
225961_at	KLHDC5	1.29E-08	up	down	down
224219_s_at	TRPC4	1.29E-08	down	up	up
205443_at	SNAPC1	1.29E-08	up	up	up
213533_at	D4S234E	1.29E-08	up	up	up
211598_x_at	VIPR2	1.30E-08	up	up	up
227444_at	ARMCX4	1.31E-08	down	down	down
230307_at	SLC25A21	1.47E-08	down	up	up
205947_s_at	VIPR2	1.47E-08	up	up	up
1557553_at	PPP1R12B	1.48E-08	up	up	up
213592_at	APLNR	1.55E-08	up	up	up
1556147_at		1.68E-08	down	up	up
239222_at	C9orf9	1.72E-08	down	up	up
233700_at		1.72E-08	up	up	up
204584_at	L1CAM	1.76E-08	up	down	down
204517_at	PPIC	1.87E-08	up	up	up
228523_at	NANOS1	1.87E-08	up	up	up
232887_at	hCG_1776018	2.16E-08	up	up	up
225224_at	C20orf112	2.29E-08	down	down	down
207680_x_at	PAX3	2.38E-08	up	up	up
230258_at	GLIS3	2.44E-08	up	up	up
214292_at	ITGB4	2.58E-08	up	up	up
229341_at	TFCP2L1	2.72E-08	up	up	up
204933_s_at	TNFRSF11B	2.72E-08	up	up	up
212909_at	LYPD1	2.85E-08	down	up	up
243369_at		2.87E-08	down	up	up
218090_s_at	BRWD2	2.88E-08	up	up	up
1559086_at		2.96E-08	down	up	up
213965_s_at	CHD5	2.96E-08	up	down	down
206028_s_at	MERTK	2.99E-08	down	down	down
241190_at		2.99E-08	up	up	down
227202_at	CNTN1	3.05E-08	up	up	up
204044_at	QPRT	3.06E-08	up	up	up
201911_s_at	FARP1	3.20E-08	up	up	up
