Gene symbol	Gene annotation	Fold change	Domain
SPBC1271.08c	sequence orphan	6.801654858	CESR
ght3	hexose transporter Ght3 (PMID 10735857)	4.49080766	CESR
SPBC1271.07c	N-acetyltransferase (predicted)	6.516101907	CESR
SPBPB2B2.12c	UDP-glucose 4-epimerase	6.455934314	CESR
ght4	hexose transporter Ght4 (PMID 10735857)	5.458862405	CESR
SPBC1683.06c	uridine ribohydrolase (predicted)	5.452011606	CESR
SPBP26C9.01c	hydroxyacid dehydrogenase (predicted)	2.521750132	CESR
SPCC70.08c	methyltransferase (predicted)	2.667895208	CESR
SPBC4F6.17c	mitochondrial matrix chaperone Hsp78 (predicted)	2.507718367	CESR
SPCC191.01	sequence orphan	2.160802629	CESR
SPAC11D3.09	agmatinase (predicted)	2.276599214	CESR
psi	DNAJ domain protein Psi1	2.116711771	CESR
ero11	ER oxidoreductin Ero1a	1.847046687	CESR
SPAC1F8.04c	hydrolase (predicted)	2.270608484	CESR
SPAC17G6.13	sequence orphan	2.521758581	CESR
SPAC17G6.03	phosphoprotein phosphatase	1.991281338	CESR
SPCC1739.08c	short chain dehydrogenase	6.906164666	CESR
SPCC338.18	sequence orphan	4.490559889	CESR
SPAC2E1P3.01	zinc binding dehydrogenase	1.730194627	CESR
SPBC1105.13c	sequence orphan	1.898592251	CESR
SPAPJ691.02	yippee-like protein	2.022390792	CESR
SPBC16D10.08c	heat shock protein Hsp104 (predicted)	2.157897991	CESR
SPAC11D3.17	zinc finger protein	2.436150788	CESR
SPAC22H12.01c	sequence orphan	2.552601508	CESR
SPACUNK4.16c	alpha,alpha-trehalose-phosphate synthase (predicted)	1.848975361	CESR
SPAC27D7.09c	S. pombe specific But2 family protein	2.380005653	CESR
SPAC186.03 /// SPBPB21E7.09	L-asparaginase /// L-asparaginase (predicted)	2.326284533	CESR
SPBP4H10.10	rhomboid family protease	2.527950884	CESR
mug39	UBX domain protein Ubx3	1.90083328	CESR
SPAC11D3.01c	conserved fungal protein	1.887686909	CESR
pas1	cyclin Pas1	1.849813084	CESR
ppr1	L-azetidine-2-carboxylic acid acetyltransferase (PMID 12761200)	1.951194144	CESR
SPAC3A11.10c	dipeptidyl aminopeptidase (predicted)	1.573910313	CESR
SPBPB2B2.13	galactokinase Gal1 (predicted)	1.627946927	CESR
SPBC119.03	S-adenosylmethionine-dependent methyltransferase (predicted)	1.556868399	CESR
SPBC30D10.14	dienelactone hydrolase family	1.632537729	CESR
hsp16	heat shock protein Hsp16	1.851772671	CESR
