# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|204470_at|204470_at	hgnc_symbol|CXCL1|CXCL1
affy_hg_u133a|202859_x_at|202859_x_at	hgnc_symbol|IL8|IL8
affy_hg_u133a|211506_s_at|211506_s_at	hgnc_symbol|IL8|IL8
affy_hg_u133a|209774_x_at|209774_x_at	hgnc_symbol|CXCL2|CXCL2
affy_hg_u133a|200632_s_at|200632_s_at	hgnc_symbol|NDRG1|NDRG1
affy_hg_u133a|210513_s_at|210513_s_at	hgnc_symbol|VEGF|VEGF
affy_hg_u133a|211527_x_at|211527_x_at	hgnc_symbol|VEGF|VEGF
affy_hg_u133a|210512_s_at|210512_s_at	hgnc_symbol|VEGF|VEGF
affy_hg_u133a|212171_x_at|212171_x_at	hgnc_symbol|VEGF|VEGF
affy_hg_u133a|202912_at|202912_at	hgnc_symbol|ADM|ADM
affy_hg_u133a|221009_s_at|221009_s_at	hgnc_symbol|ANGPTL4|ANGPTL4
affy_hg_u133a|206102_at|206102_at	hgnc_symbol|KIAA0186|KIAA0186
affy_hg_u133a|209172_s_at|209172_s_at	hgnc_symbol|CENPF|CENPF
affy_hg_u133a|203418_at|203418_at	hgnc_symbol|CCNA2|CCNA2
affy_hg_u133a|204026_s_at|204026_s_at	hgnc_symbol|ZWINT|ZWINT
affy_hg_u133a|203213_at|203213_at	hgnc_symbol|CDC2|CDC2
affy_hg_u133a|203214_x_at|203214_x_at	hgnc_symbol|CDC2|CDC2
affy_hg_u133a|210559_s_at|210559_s_at	hgnc_symbol|CDC2|CDC2
affy_hg_u133a|204170_s_at|204170_s_at	hgnc_symbol|CKS2|CKS2
affy_hg_u133a|204092_s_at|204092_s_at	hgnc_symbol|STK6|STK6
affy_hg_u133a|208079_s_at|208079_s_at	hgnc_symbol|STK6|STK6
affy_hg_u133a|203362_s_at|203362_s_at	hgnc_symbol|MAD2L1|MAD2L1
affy_hg_u133a|213226_at|213226_at	hgnc_symbol|CCNA2|CCNA2
affy_hg_u133a|202095_s_at|202095_s_at	hgnc_symbol|BIRC5|BIRC5
affy_hg_u133a|202613_at|202613_at	hgnc_symbol|CTPS|CTPS
affy_hg_u133a|201291_s_at|201291_s_at	hgnc_symbol|TOP2A|TOP2A
affy_hg_u133a|201292_at|201292_at	hgnc_symbol|TOP2A|TOP2A
affy_hg_u133a|222039_at|222039_at	hgnc_symbol|LOC146909|LOC146909
affy_hg_u133a|204822_at|204822_at	hgnc_symbol|TTK|TTK
affy_hg_u133a|202954_at|202954_at	hgnc_symbol|UBE2C|UBE2C
affy_hg_u133a|203755_at|203755_at	hgnc_symbol|BUB1B|BUB1B
affy_hg_u133a|202705_at|202705_at	hgnc_symbol|CCNB2|CCNB2
affy_hg_u133a|204962_s_at|204962_s_at	hgnc_symbol|CENPA|CENPA
affy_hg_u133a|209642_at|209642_at	hgnc_symbol|BUB1|BUB1
affy_hg_u133a|202870_s_at|202870_s_at	hgnc_symbol|CDC20|CDC20
affy_hg_u133a|209408_at|209408_at	hgnc_symbol|KIF2C|KIF2C
affy_hg_u133a|221520_s_at|221520_s_at	hgnc_symbol|CDCA8|CDCA8
affy_hg_u133a|218039_at|218039_at	hgnc_symbol|NUSAP1|NUSAP1
affy_hg_u133a|206364_at|206364_at	hgnc_symbol|KIF14|KIF14
affy_hg_u133a|204641_at|204641_at	hgnc_symbol|NEK2|NEK2
