Gene symbol	Ref Seq ID	Unigene ID	P-value	Difference in expression (Ca-Ad)
FAM55D	NM_152315	Hs.374720	1.48E-09	-2.38
PRKACB	NM_002731	Hs.87773	1.87E-09	-1.43
CLIC3	NM_004669	Hs.64746	2.17E-09	-2.12
ENTPD5	NM_001249	Hs.80975	2.72E-09	-1.24
ATOH8	NM_032827	Hs.135569	3.67E-09	-1.23
SLITRK6	NM_032229	Hs.306201	4.59E-09	-2.28
PTGER4	NM_000958	Hs.199248	4.59E-09	-0.81
CACNA2D2	NM_006030	Hs.127436	5.32E-09	-1.88
TBX3	NM_016569	Hs.267182	6.17E-09	-1.39
RETNLB	NM_032579	Hs.307047	6.64E-09	-3.59
GLYATL1	NM_080661	Hs.38085	6.64E-09	-2.43
-	AW975332	-	8.90E-09	-1.27
ID4	NM_001546	Hs.34853	1.19E-08	-1.56
FLJ37828	AK095147	Hs.103262	1.28E-08	-2.57
UGT1A6	NM_001072	Hs.375555	1.28E-08	-1.33
LOC645904	BM545871	-	1.70E-08	-2.66
VSIG2	NM_014312	Hs.112377	2.27E-08	-1.58
-	BC039491	Hs.407577	2.43E-08	-1.7
KLHL18	BC015962	Hs.287312	2.61E-08	-1.15
-	AK026378	Hs.375732	2.80E-08	-2.24
QPCT	NM_012413	Hs.79033	3.00E-08	-1.63
-	NM_153751	Hs.163682	3.22E-08	-1.06
RASD2	NM_014310	Hs.248222	3.46E-08	-1.28
-	BG186690	Hs.261927	3.71E-08	-2.09
DAPK2	NM_014326	Hs.129208	4.57E-08	-0.68
VPS13C	AB037842	Hs.117268	6.91E-08	-0.85
CLIC4	NM_013943	Hs.25035	7.40E-08	-1.91
SLC22A11	NM_018484	Hs.283078	7.40E-08	-1.23
ID3	NM_002167	Hs.76884	7.93E-08	-1.25
GABRB2	NM_021911	Hs.103998	9.72E-08	-2.49
-	AI546979	-	1.11E-07	-1.32
-	AF304443	Hs.381749	1.27E-07	-2.21
GALNT4	BC036390	Hs.271923	1.36E-07	-0.75
CRYM	NM_001888	Hs.924	1.46E-07	-1.32
MYB	NM_005375	Hs.1334	1.46E-07	-0.7
-	BC033971	Hs.373676	1.66E-07	-0.56
SMAD9	NM_005905	Hs.123119	1.85E-07	-1.58
SULT1B1	NM_014465	Hs.129742	2.48E-07	-1.15
BCAS1	NM_003657	Hs.400556	2.48E-07	-0.83
WISP1	NM_003882	Hs.194680	2.48E-07	-0.49
NOX5	NM_024505	Hs.160199	2.82E-07	-1.39
ST6GALNAC1	NM_018414	Hs.105352	3.02E-07	-1.95
-	BU167607	Hs.22607	3.19E-07	-0.92
CMPK	NM_016308	Hs.11463	3.67E-07	-0.69
TMEM16G	BC038852	Hs.351615	3.90E-07	-1.5
WDR21B	BC035027	Hs.173048	3.91E-07	-1.91
C4ORF34	BC008502	Hs.342655	3.91E-07	-0.97
MOGAT2	AK000245	Hs.272790	4.17E-07	-1.4
-	NM_024934	Hs.276833	4.17E-07	-0.82
C6ORF85	NM_021945	Hs.7734	4.45E-07	-1.03
-	AK022350	Hs.406815	4.75E-07	-0.83
FLJ21511	NM_025087	Hs.288462	5.06E-07	-1.64
DAB2	NM_001343	Hs.81988	5.06E-07	-0.98
CAPN9	NM_006615	Hs.113292	5.40E-07	-1.68
SYTL5	NM_138780	Hs.367758	5.40E-07	-0.9
FAM134B	NM_019000	Hs.82273	5.75E-07	-0.81
LOC145474	AK023718	Hs.85077	6.53E-07	-0.65
-	AL355711	Hs.6655	6.53E-07	-0.62
TNNC2	NM_003279	Hs.182421	6.96E-07	-2.23
-	BF683837	Hs.94499	6.96E-07	-0.68
SLC8A3	NM_033262	Hs.337696	7.90E-07	-1.21
L1TD1	NM_019079	Hs.150890	8.96E-07	-2.08
PDCD4	NM_145341	Hs.326248	9.54E-07	-0.67
SMAD7	NM_005904	Hs.100602	1.02E-06	-0.89
LIMA1	NM_016357	Hs.10706	1.08E-06	-0.76
-	AK095139	-	1.08E-06	-0.71
LOC440896	AK055091	Hs.189160	1.08E-06	-0.69
MAPRE3	NM_012326	Hs.172740	1.15E-06	-0.63
FLJ30092	BC006270	Hs.7314	1.15E-06	-0.6
CA12	NM_001218	Hs.5338	1.22E-06	-0.63
SAMD13	AK056937	Hs.105069	1.39E-06	-0.85
-	AK022116	-	1.39E-06	-0.82
-	AK024898	Hs.99785	1.42E-06	-0.86
SH3PXD2A	NM_014631	Hs.173448	1.47E-06	-0.58
TMEM61	BC029775	Hs.112554	1.57E-06	-0.88
-	NM_032385	Hs.10235	1.57E-06	-0.69
HMGCS2	NM_005518	Hs.59889	1.67E-06	-1.67
FANK1	NM_145235	Hs.316433	1.67E-06	-0.95
ABCG1	NM_004915	Hs.10237	1.67E-06	-0.52
PAQR8	NM_133367	Hs.239388	1.77E-06	-0.98
SPTBN2	NM_006946	Hs.26915	1.77E-06	-0.5
FYCO1	NM_024513	Hs.257267	1.77E-06	-0.44
CAMK2D	NM_172127	-	1.88E-06	-0.6
-	BG109597	Hs.116735	1.88E-06	-0.57
-	BC030750	Hs.124668	2.13E-06	-0.71
-	AK021913	Hs.296670	2.20E-06	-0.53
LOC253012	AK096002	Hs.39720	2.26E-06	-2.74
IGJ	NM_144646	Hs.76325	2.26E-06	-1.45
TMSB4Y	NM_004202	Hs.159201	2.26E-06	-1.09
EFNA2	NM_001405	Hs.158306	2.40E-06	-1.21
-	AL359603	Hs.375681	2.40E-06	-0.71
EAPP	NM_018453	Hs.433269	2.40E-06	-0.43
ETFDH	NM_004453	Hs.323468	2.55E-06	-0.64
ITM2A	NM_004867	Hs.17109	2.64E-06	-1.49
HSD11B2	NM_000196	Hs.1376	2.71E-06	-0.97
HR	NM_005144	Hs.272367	2.71E-06	-0.82
LOC152485	AK091130	Hs.351270	2.71E-06	-0.68
PEX11A	NM_003847	Hs.31034	2.88E-06	-0.41
-	BC008387	Hs.383211	2.99E-06	-0.67
ZDHHC2	NM_016353	Hs.5943	3.06E-06	-0.51
B3GNT6	NM_138706	Hs.352622	3.45E-06	-1.51
-	AL833742	Hs.376815	3.45E-06	-0.99
-	AF086547	Hs.59525	3.66E-06	-0.66
MGLL	NM_007283	Hs.6721	3.66E-06	-0.63
APOB48R	NM_018690	Hs.200333	3.88E-06	-0.96
FCGBP	NM_003890	Hs.111732	4.12E-06	-2.38
ADH1C	NM_000669	Hs.2523	4.12E-06	-1.83
-	NM_152583	Hs.399873	4.12E-06	-0.7
-	AK055850	-	4.30E-06	-0.7
GNE	NM_005476	Hs.5920	4.37E-06	-1.04
MTERFD3	NM_025198	Hs.5009	4.37E-06	-0.58
-	AK023072	Hs.30622	4.63E-06	-0.77
