# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133_plus_2|219439_at|219439_at	unigene|Hs.592180|Hs.592180	hgnc_symbol|C1GALT1|C1GALT1
affy_hg_u133_plus_2|49679_s_at|49679_s_at	unigene|Hs.567417|Hs.567417	hgnc_symbol|MMP24|MMP24
affy_hg_u133_plus_2|227401_at|227401_at	unigene|Hs.655142|Hs.655142	hgnc_symbol|IL17D|IL17D
affy_hg_u133_plus_2|226534_at|226534_at	unigene|Hs.1048|Hs.1048	hgnc_symbol|KITLG|KITLG
affy_hg_u133_plus_2|239909_at|239909_at	unigene|Hs.522019|Hs.522019	hgnc_symbol|ADAMTSL1|ADAMTSL1
affy_hg_u133_plus_2|200696_s_at|200696_s_at	unigene|Hs.522373|Hs.522373	hgnc_symbol|GSN|GSN
affy_hg_u133_plus_2|228312_at|228312_at	unigene|Hs.25391|Hs.25391	hgnc_symbol|PI16|PI16
affy_hg_u133_plus_2|217511_at|217511_at	unigene|Hs.632079|Hs.632079	hgnc_symbol|KAZALD1|KAZALD1
affy_hg_u133_plus_2|219500_at|219500_at	unigene|Hs.502977|Hs.502977	hgnc_symbol|CLCF1|CLCF1
affy_hg_u133_plus_2|228520_s_at|228520_s_at	unigene|Hs.709184|Hs.709184	hgnc_symbol|APLP2|APLP2
affy_hg_u133_plus_2|35666_at|35666_at	unigene|Hs.32981|Hs.32981	hgnc_symbol|SEMA3F|SEMA3F
affy_hg_u133_plus_2|229442_at|229442_at	unigene|Hs.208701|Hs.208701	hgnc_symbol|C18ORF54|C18ORF54
affy_hg_u133_plus_2|226722_at|226722_at	unigene|Hs.134742|Hs.134742	hgnc_symbol|FAM20C|FAM20C
