miRNA	Mean ± SD Group A (treated)	Mean ± SD Group B (untreated)	Group A/Group B	P-value
hsa-miR-206	1.192±0.058	0.938±0.046	1.26	0.014
hsa-miR-516b	1.191±0.066	0.923±0.137	1.28	0.08
hsa-miR-630	1.186±0.049	0.966±0.104	1.22	0.076
hsa-miR-617	1.184±0.081	0.979±0.078	1.2	0.096
hsa-miR-576-3p	1.263±0.164	0.833±0.154	1.51	0.075
hsa-miR-374b	1.136±0.047	0.913±0.083	1.24	0.053
hsa-miR-516a-5p	1.200±0.066	0.955±0.110	1.25	0.075
hsa-miR-488	1.216±0.168	0.867±0.096	1.4	0.092
hsa-miR-550	1.212±0.060	0.905±0.169	1.34	0.096
hsa-miR-491-5p	0.833±0.096	1.342±0.096	0.62	0.064
hsa-miR-487b	0.697±0.131	1.389±0.055	0.5	0.04
hsa-miR-S1-5p	0.855±0.107	1.472±0.336	0.58	0.082
hsa-miR-585	0.797±0.160	1.227±0.134	0.64	0.064
hsa-miR-671-5p	0.608±0.153	1.081±0.112	0.56	0.031
hsa-miR-377	0.866±0.048	1.100±0.032	0.78	0.006
