Marker Rank	Probeset ID	Gene Symbol	Gene Name	Cellular Function
1	213147_at	HOXA10	Homeobox A10	Transcription Factor
2	213707_s_at	DLX5	Distal-less homeobox 5	Transcription Factor
3	213823_at	HOXA11	Homeobox A11	Transcription Factor
4	204733_at	KLK6	Kallikrein-related peptidase 6	Serine protease
5	206125_s_at	KLK8	Kallikrein-related peptidase 8	Serine protease
6	207076_s_at	ASS1	Argininosuccinate synthase 1	Arginine Biosynthesis
7	205778_at	KLK7	Kallikrein-related peptidase 7	Serine protease
8	32625_at	NPR1	Natriuretic peptide receptor A/ guanylate cyclase A
9	214844_s_at	DOK5	Docking protein 5	Adaptor protein of MAP Kinase Pathway
10	206067_s_at	WT1	Wilms tumor 1	Transcription Factor
