Refseq ID	Gene symbol	Function	Localization	XBP1 (UPRE)	ATF4
NM_194430	ANG/RNASE4	RNase	extracellular matrix	1	1
NM_174921	C4orf34	Unknown	Membrane	0	1
NM_006368	CREB3	Transcriptional induction	ER/nucleus	0	1
NM_018217	EDEM2	ER-associated degradation	ER	0	0
NM_031412	GABARAPL1	Autophagy	Microtubule/autophagic vacuole/cytoplasm	0	4
NM_004968	ICA1	Type I diabetes mellitus	Golgi apparatus	0	0
NM_025182	KIAA1539	Unknown	Unknown	0	0
NM_197958	LARP6	Translational control	Nucleus/cytoplasm	0	0
NM_016494	LOC51255	Ubiquitin ligase	Unknown	0	0
NM_020347	LZTFL1	Transcriptional control	Unknown	0	0
NM_032718	MFSD9	Transporter plasma	Membrane	0	0
NM_006096	NDRG1	Apoptosis	Nucleus/cytoplasm/plasma membrane	0	0
NM_015723	PNPLA8	Fatty acid metabolism	Intracellular	0	1
NM_018845	RAG1AP1	Transcriptional induction	Nucleus	1	1
NM_198490	RAB43	GTPase, vesicle transport	ER/Golgi apparatus	0	0
NM_012249	RHOQ	GTPase, GULT transport	Cytoplasm/plasma membrane	0	0
NM_012248	SEPHS2	Selenium metabolism	Cytoplasm	0	2
NM_017905	TMCO3	pH control	Membrane	0	0
NM_016127	TMEM66	Unknown	Membrane	0	0
NM_017983	WIPI1	Autophagy	Golgi apparatus/endosome	0	0
