Affymetrix Probe ID	Gene Symbol	BiModal_Index	Mean1_lowMode	Mean2_highMode	Standard_Deviation	Pvalue
232523_at	MEGF10	2.09	3.47	6.85	0.68	0
204915_s_at	SOX11	1.91	4.8	8.53	0.8	0
229554_at	LUM	1.97	5.19	8.09	0.72	0
206439_at	EPYC	2.27	3.6	8.47	1.04	0
219937_at	TRHDE	2.81	3.1	6.76	0.3	0.01
230865_at	LIX1	1.94	3.47	7.02	0.83	0.01
228780_at	POU3F3	2.91	3.08	8.63	0.55	0.01
218468_s_at	GREM1	2.01	3.64	7.16	0.83	0.01
229479_at	unknown	2.37	3.83	7.63	0.78	0.01
218469_at	GREM1	1.94	3.92	7.59	0.91	0.03
209613_s_at	ADH1B	2.34	3.16	7.95	0.93	0.03
228598_at	DPP10	2.02	3.14	6.73	0.58	0.03
203980_at	FABP4	2.58	4.24	10.02	1.03	0.04
207802_at	CRISP3	2.29	3.23	7.48	0.61	0.04
1560698_a_at	LOC283392	2.08	3.32	6.05	0.29	0.04
209612_s_at	ADH1B	2.26	3.96	8.7	0.94	0.05
