Gene	Pathway	Survivalb	P‡
ATM	ATM	high	0.12
H2AFX	ATM	high	0.026
MDC1	ATM	high	0.1
RNF8	ATM	high	0.02
TOP2A	ATM	high	0.11
BRCA2	FA/HR	low	0.069
C17orf70	FA/HR	high	0.059
FANCB	FA/HR	high	0.11
FANCE	FA/HR	high	0.055
FANCF	FA/HR	high	0.006
FANCG	FA/HR	high	0.047
FANCI	FA/HR	high	0.13
PALB2	FA/HR	high	0.034
MUS81	FA/HR	high	0.11
NBN	FA/HR	low	0.083
SHFM1	FA/HR	high	0.12
DDB1	NER	high	0.045
ERCC8	NER	low	0.11
RAD23A	NER	high	0.034
XPA	NER	low	0.14
MAD2L2	TLS	high	0.11
POLH	TLS	high	0.15
UBE2I	TLS	high	0.049
