AgilentProbeID	Agilent GeneName	Description	logFC
A_24_P187218	PCDH9	protocadherin 9	3.24
A_23_P94501	ANXA1	annexin A1	2.51
A_23_P170233	CSTA	cystatin A (stefin A)	2.42
A_23_P114903	HSPA6	heat shock 70kDa protein 6 (HSP70B)	2.29
A_23_P169437	LCN2	lipocalin 2	2.23
A_23_P19663	CTGF	connective tissue growth factor	2.17
A_23_P204630	NTN4	netrin 4	2.09
A_23_P125233	CNN1	calponin 1; basic; smooth muscle	2.07
A_23_P81219	PLAC8	placenta-specific 8	1.94
A_23_P371729	GJA5	gap junction protein; alpha 5; 40kDa	1.94
A_23_P24129	DKK1	dickkopf homolog 1 (Xenopus laevis)	1.91
A_23_P62099	MAGEC2	melanoma antigen family C; 2	1.85
A_24_P187799	FLJ21986	chromosome 7 open reading frame 58	1.82
A_23_P121716	ANXA3	annexin A3	1.8
A_24_P207995	L1CAM	L1 cell adhesion molecule	1.8
A_32_P130734	THC2724145	NA	1.76
A_23_P107351	NLRP1	NLR family; pyrin domain containing 1	1.65
A_23_P15101	TMC5	transmembrane channel-like 5	1.65
A_23_P39955	ACTG2	actin; gamma 2; smooth muscle; enteric	1.65
A_32_P154473	KIF5C	kinesin family member 5C	1.63
A_23_P161352	PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine); member A	1.62
A_32_P107372	GBP1	guanylate binding protein 1; interferon-inducible; 67kDa	1.62
A_23_P42575	CALD1	caldesmon 1	1.58
A_23_P16523	GDF15	growth differentiation factor 15	1.56
A_23_P79302	LOC130576	hypothetical protein LOC130576	1.52
A_23_P128974	BATF	basic leucine zipper transcription factor; ATF-like	1.43
A_23_P126869	PADI3	peptidyl arginine deiminase; type III	1.42
A_24_P750817	LOC147710	hypothetical LOC147710	1.42
A_24_P141707	INHBE	inhibin; beta E	1.42
A_32_P68504	KIAA1571	zinc finger; DBF-type containing 2	1.4
A_23_P252981	ACE2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	1.39
A_23_P89431	CCL2	chemokine (C-C motif) ligand 2	1.39
A_23_P413641	PREX1	phosphatidylinositol 3;4;5-trisphosphate-dependent RAC exchanger 1	1.37
A_24_P887857	LOC650517	keratin 17 pseudogene 3	1.37
A_23_P35617	PLCE1	phospholipase C; epsilon 1	1.35
A_23_P101564	FGF21	fibroblast growth factor 21	1.33
A_23_P2674	KRT4	keratin 4	1.32
A_23_P393620	TFPI2	tissue factor pathway inhibitor 2	1.29
A_23_P27556	EMR1	egf-like module containing; mucin-like; hormone receptor-like 1	1.3
A_23_P134734	FLJ20366	Golgi-localized protein	1.28
A_24_P222872	UGT1A6	UDP glucuronosyltransferase 1 family; polypeptide A6	1.26
A_23_P207905	SECTM1	secreted and transmembrane 1	1.25
A_23_P52207	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	1.25
A_23_P365738	ARC	activity-regulated cytoskeleton-associated protein	1.25
A_23_P168836	PTK2B	PTK2B protein tyrosine kinase 2 beta	1.24
A_23_P127948	ADM	adrenomedullin	1.23
A_23_P163697	SYT17	synaptotagmin XVII	1.21
A_23_P56898	KYNU	kynureninase (L-kynurenine hydrolase)	1.2
A_23_P148609	PLAC1	placenta-specific 1	1.2
A_23_P80491	RBP2	retinol binding protein 2; cellular	1.17
A_24_P226008	MGLL	monoglyceride lipase	1.16
A_24_P11384	ERRFI1	ERBB receptor feedback inhibitor 1	1.16
A_23_P18078	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	1.16
A_24_P233786	FAM129A	family with sequence similarity 129; member A	1.14
A_24_P196528	CRB1	crumbs homolog 1 (Drosophila)	1.13
A_23_P353524	IVL	involucrin	1.13
A_23_P96158	KRT17	keratin 17	1.12
A_32_P135336	LOC388242	LOC112869 pseudogene	1.13
A_23_P162579	HSPB8	heat shock 22kDa protein 8	1.13
A_23_P104996	BEST1	bestrophin 1	1.12
A_23_P136041	PRKG1	protein kinase; cGMP-dependent; type I	1.11
