miRNA	Welch t-test  P-value	Fold change
hsa-mir-205	0.00127	11.7804
hsa-mir-146a	0.000693	7.33415
hsa-mir-193a	0.00384	4.31891
hsa-mir-494	0.00879	3.94522
hsa-mir-135b	0.00368	3.39828
hsa-mir-96	0.00403	2.89271
hsa-mir-424	0.00456	2.83982
hsa-mir-365	0.00563	2.79782
hsa-mir-886	0.00261	2.72994
hsa-mir-340	0.0029	2.66247
hsa-mir-210	0.00385	2.61775
hsa-mir-517a	0.0196	2.60692
hsa-mir-200a	0.0265	2.45554
hsa-mir-521	0.00856	2.42654
hsa-mir-26b	0.0207	2.41395
hsa-mir-517c	0.0254	2.38547
hsa-mir-21	0.013	2.37583
hsa-mir-31	0.0247	2.34642
hsa-mir-7	0.000204	2.32079
hsa-mir-29b	0.01	2.31852
hsa-mir-522	0.00152	2.29752
hsa-mir-516a	0.0101	2.29596
hsa-mir-33a	0.0255	2.28197
hsa-mir-183	0.000939	2.25637
hsa-mir-340	0.0000243	2.2503
hsa-mir-449a	0.00276	2.1729
hsa-mir-200b	0.0143	2.13023
hsa-mir-455	0.00331	2.10618
hsa-mir-425	0.00889	2.05804
hsa-mir-181a	0.00688	2.05351
hsa-mir-34a	0.00155	2.0393
hsa-mir-100	0.00509	2.02263
hsa-let-7f	0.0193	2.01977
hsa-mir-107	0.0182	2.00025
hsa-mir-1202	0.0134	0.41997
hsa-mir-1181	0.023	0.47041
hsa-mir-1207	0.00905	0.49464
