Rank Order	Symbol	GenBank ID	LocusLink	Affymetrix HG-U133Plus2.0 Probeset ID	log2 Fold Change from LUC R1881 vs. EtOH	Average Expression from all Experimental Conditions	t Statistic	p-value	adjusted p-value	B: Log odds of Differential Expression
1	CRIM1	BG546884	51232	202551_s_at	3.013	4.053	38.347	1.90E-11	2.29E-09	17.849
2	SLC26A3	NM_000111	1811	206143_at	3.314	3.491	35.723	3.62E-11	2.29E-09	17.377
3	SDK1	AL042166	221935	229912_at	2.915	3.232	33.334	6.81E-11	2.29E-09	16.897
4	ACTA2	NM_001613	59	200974_at	2.658	6.189	32.879	7.72E-11	2.29E-09	16.799
5	NA	AW014022	NA	230577_at	4.287	3.918	32.429	8.75E-11	2.29E-09	16.7
6	ERN1	AW194689	2081	239045_at	1.821	2.998	30.652	1.46E-10	3.19E-09	16.288
7	CRIM1	AW243081	51232	228496_s_at	2.618	4.06	29.057	2.38E-10	4.45E-09	15.886
8	ADAM32	NM_145004	203102	1552266_at	2.417	3.989	27.941	3.39E-10	5.55E-09	15.585
9	FMO5	NM_001461	2330	205776_at	2.671	3.176	27.225	4.29E-10	6.25E-09	15.383
10	NA	BU632652	NA	1561542_at	2.435	2.557	24.242	1.23E-09	1.61E-08	14.453
11	GBP3	AW014593	2635	231577_s_at	3.234	4.209	21.54	3.58E-09	4.26E-08	13.469
12	NA	AI090874	NA	240110_at	2.537	4.463	20.64	5.25E-09	5.73E-08	13.106
13	NA	BF507344	NA	229370_at	1.546	3.777	20.428	5.77E-09	5.81E-08	13.017
14	SLITRK6	AI680986	84189	235976_at	2.338	4.29	17.548	2.25E-08	2.11E-07	11.694
15	CNN2	NM_004368	1265	201605_x_at	1.146	6.696	16.762	3.39E-08	2.96E-07	11.288
16	NHP2L1	AI288202	4809	230443_at	2.033	3.026	16.575	3.75E-08	3.07E-07	11.188
17	CITED2	AF109161	10370	209357_at	1.137	9.763	16.132	4.77E-08	3.68E-07	10.946
18	LAMA1	AI990816	284217	227048_at	2.524	2.765	15.869	5.52E-08	3.82E-07	10.799
19	DNAH7	AB023161	56171	214222_at	2.195	3.788	15.865	5.54E-08	3.82E-07	10.797
20	WFS1	NM_006005	7466	202908_at	1.39	7.798	15.421	7.12E-08	4.66E-07	10.543
21	WWTR1	NM_015472	25937	202134_s_at	2.447	3.21	15.171	8.23E-08	5.13E-07	10.396
22	AHNAK	NM_024060	79026	220016_at	2.024	4.035	15.077	8.70E-08	5.18E-07	10.341
23	GBP1	BC002666	2633	202269_x_at	2.485	4.019	14.947	9.39E-08	5.31E-07	10.263
24	CNTNAP2	AC_005378	26047	215145_s_at	1.769	3.238	14.888	9.72E-08	5.31E-07	10.228
25	CYR61	NM_001554	3491	201289_at	1.585	6.66	14.533	1.20E-07	6.13E-07	10.01
26	ITGAV	AU144005	3685	232797_at	1.962	4.062	14.516	1.22E-07	6.13E-07	10
27	F5	AI740541	2153	231029_at	2.401	3.201	14.29	1.40E-07	6.78E-07	9.859
28	UBE2J1	NM_016021	51465	217826_s_at	1.619	9.414	14.083	1.59E-07	7.43E-07	9.727
29	LMO7	AA100793	4008	242722_at	2.66	3.851	13.519	2.28E-07	1.01E-06	9.357
30	SLITRK6	R70320	84189	232176_at	2.939	3.967	13.468	2.35E-07	1.01E-06	9.324
31	NA	AI194016	NA	244116_at	1.708	3.251	13.436	2.40E-07	1.01E-06	9.302
32	SLC22A5	AI768445	6584	239615_at	1.437	4.457	13.193	2.82E-07	1.15E-06	9.137
33	FLJ13137	AA129774	400793	227019_at	2.276	3.955	13.026	3.15E-07	1.25E-06	9.022
34	WDFY2	T87542	115825	227490_at	1.568	3.812	12.625	4.14E-07	1.60E-06	8.739
35	CNNM2	BC021222	54805	1554522_at	1.858	4.615	12.289	5.24E-07	1.96E-06	8.495
36	OTUD7B	NM_020205	56957	220031_at	1.276	3.068	12.197	5.59E-07	2.03E-06	8.427
37	NA	AW967747	NA	235360_at	1.798	5.76	12.031	6.30E-07	2.23E-06	8.303
38	CCDC4	AA833830	389206	230896_at	2.77	5.274	11.854	7.16E-07	2.47E-06	8.169
39	DGKB	AB018261	1607	216307_at	1.24	6.839	11.787	7.52E-07	2.47E-06	8.118
40	NA	H19488	NA	238573_at	1.601	6.542	11.782	7.55E-07	2.47E-06	8.113
41	GBP1	NM_002053	2633	202270_at	2.074	3.373	11.637	8.41E-07	2.69E-06	8.002
42	ARL4A	NM_005738	10124	205020_s_at	1.274	3.894	11.563	8.88E-07	2.77E-06	7.944
43	SLC39A3	AA535975	29985	229677_at	1.054	5.021	11.497	9.34E-07	2.84E-06	7.892
44	GOLGA2	NM_004486	2801	204384_at	1.334	6.93	11.203	1.17E-06	3.47E-06	7.659
45	NNMT	NM_006169	4837	202238_s_at	1.388	3.574	10.991	1.38E-06	4.00E-06	7.486
46	LIN7A	T82147	8825	241652_x_at	1.147	4.795	10.884	1.50E-06	4.26E-06	7.398
47	TTC12	BC032355	54970	1554531_at	1.368	2.772	10.778	1.63E-06	4.53E-06	7.31
48	TM4SF18	AI721164	116441	228489_at	1.034	2.347	10.625	1.84E-06	5.02E-06	7.181
49	IL10RB	AI202642	3588	230631_s_at	2.265	3.015	10.581	1.90E-06	5.09E-06	7.144
