Pattern	Class	Signal to noise	Feature	Descriptions
Overexpressed in	Unfavorable	0.86	31895_at	Cluster Incl. AB002803:Homo sapiens BACH1 mRNA, complete cds /cds=(118,2328) /gb=AB002803 /gi=2911115 /ug=Hs.154276 /len=5475
Overexpressed in	Unfavorable	0.84	1319_at	X74764 /FEATURE=cds /DEFINITION=HSRPTK H.sapiens mRNA for receptor protein tyrosine kinase
Overexpressed in	Unfavorable	0.81	36941_at	Cluster Incl. U16954:Human (AF1q) mRNA, complete cds /cds=(355,627) /gb=U16954 /gi=687589 /ug=Hs.75823 /len=1628
Overexpressed in	Favorable	0.8	32837_at	Cluster Incl. U56418:Human lysophosphatidic acid acyltransferase-beta mRNA, complete cds /cds=(39,875) /gb=U56418 /gi=2155239 /ug=Hs.209119 /len=1356
Overexpressed in	Unfavorable	0.77	31720_s_at	Cluster Incl. M10905:Human cellular fibronectin mRNA /cds=(0,2383) /gb=M10905 /gi=182696 /ug=Hs.118162 /len=2384
Overexpressed in	Unfavorable	0.76	41530_at	Cluster Incl. D16294:Human mRNA for mitochondrial 3-oxoacyl-CoA thiolase, complete cds /cds=(48,1241) /gb=D16294 /gi=452590 /ug=Hs.32500 /len=1584
Overexpressed in	Favorable	0.76	786_at	X06745 /FEATURE=mRNA /DEFINITION=HSPOLAR Human mRNA for DNA polymerase alpha-subunit
Overexpressed in	Unfavorable	0.75	39182_at	Cluster Incl. U87947:Human hematopoietic neural membrane protein (HNMP-1) mRNA, complete cds /cds=(241,732) /gb=U87947 /gi=2358251 /ug=Hs.9999 /len=817
Overexpressed in	Favorable	0.75	37179_at	Cluster Incl. S77763:nuclear factor erythroid 2 isoform f=basic leucine zipper protein {alternatively spliced, exon 1f} [human, fetal liver, mRNA, 1678 nt] /cds=(273,1394) /gb=S77763 /gi=998573 /ug=Hs.75643 /len=1655
Overexpressed in	Unfavorable	0.74	311_s_at	Fibronectin, Alt. Splice 1
Overexpressed in	Unfavorable	0.73	37747_at	Cluster Incl. U05770:Human annexin V (ANX5) gene /cds=(164,1126) /gb=U05770 /gi=2182176 /ug=Hs.79274 /len=1597
Overexpressed in	Unfavorable	0.72	33440_at	Cluster Incl. U19969:Human two-handed zinc finger protein ZEB mRNA, partial cds /cds=(0,3464) /gb=U19969 /gi=644839 /ug=Hs.232068 /len=5126
Overexpressed in	Unfavorable	0.72	32210_at	Cluster Incl. M83088:Human phosphoglucomutase 1 (PGM1) mRNA, complete cds /cds=(62,1750) /gb=M83088 /gi=189925 /ug=Hs.1869 /len=2320
Overexpressed in	Favorable	0.72	160043_at	X66087 /FEATURE=cds /DEFINITION=HSAMYB2 H.sapiens a-myb mRNA /NOTE=replacement of probe set 1502_s_at
Overexpressed in	Favorable	0.72	39617_at	Cluster Incl. X61615:H.sapiens mRNA for leukemia inhibitory factor (LIF) receptor /cds=(178,3471) /gb=X61615 /gi=34365 /ug=Hs.2798 /len=3591
Overexpressed in	Unfavorable	0.71	36119_at	Cluster Incl. AF070648:Homo sapiens clone 24651 mRNA sequence /cds=UNKNOWN /gb=AF070648 /gi=3283922 /ug=Hs.74034 /len=1313
Overexpressed in	Unfavorable	0.71	31719_at	Cluster Incl. X02761:Human mRNA for fibronectin (FN precursor) /cds=(0,6987) /gb=X02761 /gi=31396 /ug=Hs.118162 /len=7680
Overexpressed in	Favorable	0.71	40001_r_at	Cluster Incl. AB023203:Homo sapiens mRNA for KIAA0986 protein, partial cds /cds=(0,4378) /gb=AB023203 /gi=4589615 /ug=Hs.53542 /len=4779
Overexpressed in	Favorable	0.7	34453_at	Cluster Incl. H19081:yn51e03.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-171964 /clone_end=5  /gb=H19081 /gi=885321 /ug=Hs.110194 /len=388
Overexpressed in	Favorable	0.69	35874_at	Cluster Incl. D87845:Homo sapiens mRNA for platelet-activating factor acetylhydrolase 2, complete cds /cds=(203,1381) /gb=D87845 /gi=1765863 /ug=Hs.184853 /len=2547
Overexpressed in	Favorable	0.69	40030_at	Cluster Incl. Y15801:Homo sapiens mRNA for PRKY protein /cds=UNKNOWN /gb=Y15801 /gi=2696011 /ug=Hs.56336 /len=7268
Overexpressed in	Favorable	0.69	1585_at	M34309 /FEATURE= /DEFINITION=HUMHER3A Human epidermal growth factor receptor (HER3) mRNA, complete cds
Overexpressed in	Favorable	0.69	39181_at	Cluster Incl. U00928:Human clone CE29 4.1 (CAC)n/(GTG)n repeat-containing mRNA /cds=UNKNOWN /gb=U00928 /gi=405042 /ug=Hs.99969 /len=1176
Overexpressed in	Unfavorable	0.68	36993_at	Cluster Incl. M33210:Human colony stimulating factor 1 receptor (CSF1R) gene /cds=(0,283) /gb=M33210 /gi=532592 /ug=Hs.76144 /len=2206
Overexpressed in	Unfavorable	0.68	38118_at	Cluster Incl. U73377:Human p66shc (SHC) mRNA, complete cds /cds=(194,1945) /gb=U73377 /gi=1658387 /ug=Hs.81972 /len=3664
Overexpressed in	Unfavorable	0.67	40567_at	Cluster Incl. X01703:Human gene for alpha-tubulin (b alpha 1) /cds=(213,1568) /gb=X01703 /gi=37491 /ug=Hs.169476 /len=1764
Overexpressed in	Unfavorable	0.67	40203_at	Cluster Incl. AJ012375:Homo sapiens mRNA for SUI1 protein translation initiation factor /cds=UNKNOWN /gb=AJ012375 /gi=4468342 /ug=Hs.150580 /len=1350
Overexpressed in	Unfavorable	0.67	33116_f_at	Cluster Incl. AA977163:oq25a04.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1587342 /clone_end=3  /gb=AA977163 /gi=3154609 /ug=Hs.82148 /len=524
Overexpressed in	Favorable	0.67	34292_at	Cluster Incl. X92475:H.sapiens mRNA for ITBA1 protein /cds=(284,1069) /gb=X92475 /gi=1488607 /ug=Hs.23119 /len=1411
Overexpressed in	Favorable	0.65	37956_at	Cluster Incl. U37519:Human aldehyde dehydrogenase (ALDH8) mRNA, complete cds /cds=(616,1773) /gb=U37519 /gi=1051280 /ug=Hs.87539 /len=2827
Overexpressed in	Unfavorable	0.63	38664_at	Cluster Incl. AB009285:Homo sapiens BCNT mRNA, complete cds /cds=(109,1008) /gb=AB009285 /gi=3341898 /ug=Hs.10496 /len=1244
Overexpressed in	Unfavorable	0.63	36577_at	Cluster Incl. Z24725:H.sapiens mitogen inducible gene mig-2, complete CDS /cds=(0,2164) /gb=Z24725 /gi=505032 /ug=Hs.75260 /len=3270
Overexpressed in	Unfavorable	0.63	33328_at	Cluster Incl. W28612:49b3 Homo sapiens cDNA /gb=W28612 /gi=1308560 /ug=Hs.184724 /len=809
Overexpressed in	Favorable	0.63	41022_r_at	Cluster Incl. U36310:Human glycerol-3-phosphate dehydrogenase mRNA, nuclear gene encoding mitochondrial protein, complete cds /cds=(103,2286) /gb=U36310 /gi=1020314 /ug=Hs.93201 /len=2667
Overexpressed in	Unfavorable	0.62	33860_at	Cluster Incl. AB007931:Homo sapiens mRNA for KIAA0462 protein, partial cds /cds=(0,6831) /gb=AB007931 /gi=3413885 /ug=Hs.239686 /len=7150
Overexpressed in	Unfavorable	0.62	38465_at	Cluster Incl. M37721:Human peptidylglycine alpha-amidating monooxygenase mRNA, complete cds /cds=(188,3112) /gb=M37721 /gi=189594 /ug=Hs.83920 /len=3748
Overexpressed in	Unfavorable	0.61	37675_at	Cluster Incl. X60036:H.sapiens mRNA for mitochondrial phosphate carrier protein /cds=(48,1133) /gb=X60036 /gi=38261 /ug=Hs.78713 /len=1314
Overexpressed in	Unfavorable	0.61	39066_at	Cluster Incl. L38486:Human microfibril-associated glycoprotein 4 (MFAP4) mRNA, 3  end of cds /cds=(0,771) /gb=L38486 /gi=790816 /ug=Hs.118223 /len=1757
