miRBase	Chromosomal location	Average level in MCL samples	Average level in normal CD19  cells	Fold change (MCL/N	P
hsa-mir-142	17q23.2	0.494	2.918	0.17	<.001
hsa-mir-142	17q23.2	0.142	0.721	0.2	<.001
hsa-mir-27a	19p13.12	0.067	0.256	0.26	0.004
hsa-mir-21	17q23.2	0.162	0.6	0.27	0.004
hsa-mir-29b-1	7q32.3	0.192	0.685	0.28	0.003
hsa-let-7a-1	9q22.32	0.053	0.183	0.29	0.87
hsa-mir-29a	7q32.3	0.137	0.486	0.28	0.008
hsa-mir-195	17p13.1	0.081	0.28	0.29	0.99
hsa-mir-29c	1q32.2	0.18	0.512	0.35	0.002
hsa-mir-150	19q13.33	0.14	0.379	0.37	0.007
hsa-mir-27b	9q22.32	0.096	0.23	0.42	0.03
hsa-mir-15b	3q25.33	0.17	0.39	0.44	0.79
hsa-mir-16-1	13q14.2	0.094	0.197	0.48	0.38
hsa-mir-26b	2q35	0.149	0.309	0.48	0.08
hsa-mir-30b	8q24.22	0.097	0.185	0.52	0.67
hsa-mir-26a-1	3p22.3	0.229	0.407	0.56	0.11
hsa-mir-30a	6q13	0.095	0.156	0.61	0.23
hsa-mir-15a	13q14.2	0.195	0.298	0.65	0.37
