Putative Identification	E-Value	Organism	GenBank Accession Number	Tissue Database
Peptidoglycan recognition protein 3 precursor (RpiPGRP1)	1.00E-30	Euprymna scolopes	AY956813	T
PGRP SC3 precursor (RpiPGRP2)	9.00E-15	Branchiomonas manjavacas	FJ829250	B
PGRP 2 (RpiPGRP3)	7.00E-10	Mus musculus	Q8VCS0	P
PGRP S1S (RpiPGRP4)	6.00E-12	Crassostrea gigas	AB425335	P
PGRP-LE (RpiPGRP5)	1.00E-26	Drosophila melanogaster	AF313391	P
Macrophage mannose receptor 1-like protein 1	8.00E-11	Homo sapiens	Q5VSK2	B
Lipoprotein receptor-related protein	2.00E-22	Homo sapiens	Q9NZR2	B
Toll-like receptor 2 precursor	8.00E-07	Cricetulus griseus	Q9R1F8	B
Galectin	3.00E-38	Saccoglossus kowalevskii	XM_002731539	P
NF-kB inhibitor (cactus)	6.00E-14	Drosophila melanogaster	Q03017	B
NF-kB inhibitor (I kappa-B alpha)	5.00E-13	Gallus gallus	Q91974	B
NF-kB inhibitor epsilon (I kappa-B-epsilon)	3.00E-13	Mus musculus	Q54910	P
NF-kB repressing factor	7.00E-12	Mus musculus	Q8BY02	B
B-cell receptor associated protein (Bap31)	6.00E-46	Pongo abelii	Q5R8H3	B
Lipopolysaccharide-induced tumor necrosis factor-alpha	3.00E-15	Gallus gallus	Q8QGW7	B
Notch 1	1.00E-71	Rattus norvegicus	Q5BJL5	B
Macrophage migration inhibitory factor	4.00E-28	Xenopus tropicalis	A9JSE7	P
Ubiquitin	4.00E-19	Caenorhabditis elegans	P14792	B
dnaJ (apoptosis)	1.00E-108	Homo sapiens	P59910	B
skpA	2.00E-29	Drosophila melanogaster	NM_166861	B
MADS-box	3.00E-12	Triticum aestivum	DQ512346.1	B
T-complex protein 1	7.00E-25	Rattus norvegicus	Q5XIM9	B
Zonadehsin precursor	1.00E-12	Mus musculus	O88799	B
GRIM 19 cell death regulatory protein	4.00E-22	Bos taurus	Q95KV7	B
DAD-1 defender against cell death	4.00E-41	Drosophila melanogaster	Q9VLM5	B
LITAF-like cell death inducing protein	2.00E-15	Homo sapiens	Q9H305	B
Apoptosis-inducing factor 1	1.00E-136	Homo sapiens	O95831	P
Programmed cell death 6	2.00E-61	Mus musculus	P12815	P
Cytokine induced apoptosis inhibitor 1	2.00E-69	Bos taurus	Q5EAC7	P
BCL2-antagonist/killer	4.00E-30	Mus musculus	O08734	P
BIRC4	9.00E-50	Rattus norvegicus	Q9R0I6	P
Tumor suppressor candidate 3	1.00E-120	Homo sapiens	Q13454	B
Translationally-controlled tumor protein homolog (TCTP)	4.00E-61	Lumbricus rubellus	O18477	B
BAT1 ATP-dependent helicase (inflammation)	5.00E-29	Crassostrea gigas	AF075691.1	B
Heat shock protein 10(mitochondrial)	3.00E-30	Rattus norvegicus	P26772	B
Heat shock protein 70	1.00E-138	Caenorhabditis elegans	P27420	B
Heat shock protein 75	1.00E-28	Mus musculus	Q9CQN1	B
Heat shock protein 90	1.00E-176	Homo sapiens	P14625	B
Heat shock protein betat1	1.00E-22	Gallus gallus	Q00649	B
Stress-induced protein SAM-22	1.00E-22	Glycine max	P26987	T
Zinc finger stress associated protein	2.00E-14	Oryza sativa	Q7Y1W9	B
Alpha-2 macroglobulin receptor	9.00E-13	Mus musculus	Q91ZX7	B
Alpha-2 macroglobulin receptor associated protein	3.00E-28	Homo sapiens	P30533	B
Plasminogen precursor	5.00E-52	Macropus eugenii	O18783	B
Growth and differentiation factor-associated serum protein	7.00E-10	Mus musculus	Q7TQN3	B
Leucine-rich repeat and IG-like nogo receptor	1.00E-12	Mus musculus	Q3URE9	P
Sushi EGF domain-containing protein	3.00E-51	Mus musculus	Q70E20	B
DC-Sign C-type lectin	1.00E-09	Mus musculus	Q8CJ91	B
Lipopolysaccharide-induced TNF alpha	3.00E-15	Gallus gallus	Q8QGW7	B
Disease-resistance protein	2.00E-14	Pisum sativum	P14710	T
Bactericidal permeability increasing protein	4.00E-37	Homo sapiens	P17213	P
Autophagy related 5 homolog	5.00E-75	Sus scrofa	Q3MQ04	P
Reactive oxygen species modulator 1	4.00E-24	Xenopus laevis	Q4V7T9	P
