Gene name	Accession no.	Symbol	Ratio (mean ± SD, range)	Function
v-Myb avian myeloblastosis viral oncogene homolog-like 12	AA911236	MYBL1	3.5 ± 0.7	Transcription factors/nuclear proteins
Homo sapiens CAGHIa (CAGH1) (? Role in neurodevelopment/neuroplasticity)	AA147043	CAGH1	3.3 ± 1.2	Transcription factors/nuclear proteins
Nucleoprotein interactor 1 (karyopherin alpha 1)	AA180046	KPNA1	2.7 ± 0.7	Transcription factors/nuclear proteins
Transcription factor ERF-1 (zinc finger protein)1	AA399334	ZFP36L1	2.2 ± 0.3	Transcription factors/nuclear proteins
UDP-glucuronosyl transferase 2B4 precursor, microsomal	N53031	UGT2B4	3.6 ± 1.0	Stress response: oxidative stress/xenobiotic response/detoxification
UDP-glucuronosyl transferase precursor (UGT2BI5)1	T50788	UGT2B15	3.4 ± 1.0	Stress response: oxidative stress/xenobiotic response/detoxification
UDP-glucuronosyl transferase 2B7 precursor, microsomal1	AI000188	UGT2B7	3.0 ± 0.7	Stress response: oxidative stress/xenobiotic response/detoxification
Human metallothionein-le gene (hMT-le)1	AA872383	MT1E	3.0 ± 0.1	Stress response: oxidative stress/xenobiotic response/detoxification
Metallothionein-1f gene1	N55459	MT1F	2.2 ± 0.2	Stress response: oxidative stress/xenobiotic response/detoxification
Heme oxygenase (decycling) 11	T71757	HMOX1	2.1 ± 0.1	Stress response: oxidative stress/xenobiotic response/detoxification
ATL-derived PMA-responsive (APR) peptide2	AA458838	APR	1.8 ± 0.0	Stress response: oxidative stress/xenobiotic response/detoxification
Intestinal trefoil factor precursor (protection of gastrointestinal mucosa)12	N74131	TFF3	1.7 ± 0.11	Stress response: oxidative stress/xenobiotic response/detoxification
M phase phosphoprotein 10	AA504113	MPP10	2.4 ± 0.5	Cell cycle and DNA replication/repair/metabolism
DNA-directed RNA polymerase II 23 kDa (XAP4, RPB25)	AA027042	POLR2E	2.4 ± 0.3	Cell cycle and DNA replication/repair/metabolism
Nucleoside phosphorylase	AA430382	NP	2.3 ± 0.0	Cell cycle and DNA replication/repair/metabolism
E1B 19K/Bcl-2-binding protein Nip3	AA063521	BNIP3	2.3 ± 0.0	Cell cycle and DNA replication/repair/metabolism
Chromosome segregation gene homolog (CAS)	N69204	CSE1L	2.1 ± 0.2	Cell cycle and DNA replication/repair/metabolism
Nucleoside diphosphate kinase A (NME1)12	AA644092	NM23A	1.8 ± 0.1	Cell cycle and DNA replication/repair/metabolism
Ligase I, DNA, ATP-dependent1	AA291715	LIG1	1.6 ± 0.1	Cell cycle and DNA replication/repair/metabolism
Cdc42-interacting protein 4 (CIP4)	R49671	CIP4	4.2 ± 0.7	Signal transduction
Putative tumor suppressor protein (123F2, RAS association domain family 1)	AA679341	RASSF1	2.9 ± 0.7	Signal transduction
Pim-1 oncogene (protein kinase up-regulated in prostate cancer)1	AA453663	PIM1	2.6 ± 0.5	Signal transduction
Caveolin, caveolae protein, 22 kDa12	AA055835	CAV1	2.4 ± 0.2	Signal transduction
GPI-H (phosphatidylinositol glycan, class H)	AA460986	PIGH	2.2 ± 0.1	Signal transduction
CDC28 protein kinase 11	AA459292	CKS1	2.1 ± 0.2	Signal transduction
Low-Mr GTP-binding protein (RAB31)12	T96083	RAB31	1.8 ± 0.1	Signal transduction
Prolyl 4-hydroxylase alpha (II) subunit	W49522	P4HA2	2.1 ± 0.1	Biosynthesis and metabolism
Alpha-galactosidase A precursor (GALA)	AA251784	GLA	2.1 ± 0.1	Biosynthesis and metabolism
Carnitine acetyltransferase1	AA621218	CRAT	1.9 ± 0.2	Biosynthesis and metabolism
S-adenosylmethionine decarboxylase 1	R82299	AMD1	1.9 ± 0.1	Biosynthesis and metabolism
Lactate dehydrogenase A12	AA489611	LDHA	1.7 ± 0.1	Biosynthesis and metabolism
Neuropeptide Y receptor Y112	R19478	NPY1R	2.9 ± 0.8	Ligands and receptors
Prepro-relaxin H2 (RLXH2) [insulin gene superfamily]	AA935560	RLN2	2.2 ± 0.1	Ligands and receptors
IL-1 receptor antagonist (IL1ra)12	T72877	IL1RN	2.0 ± 0.2	Ligands and receptors
KIAA0166 (kinetochore-associated 1)	AA157787	KNTC1	2.8 ± 0.7	Cell adhesion/cytoskeleton/cell structure/organelles
Kallmann syndrome 1 sequence (? Role in neural cell adhesion)1	H17882	KAL1	2.5 ± 0.3	Cell adhesion/cytoskeleton/cell structure/organelles
Tubulin, gamma polypeptide1	T77733	TUBG	2.1 ± 0.3	Cell adhesion/cytoskeleton/cell structure/organelles
Integral membrane protein E16 (solute carrier family 7, member 5)12	AA419177	SLC7A5	2.5 ± 0.4	Membrane proteins/transport/ion channels
Clone 23876 neuronal olfactomedin-related ER localized protein1	H23124	OLFM1	2.5 ± 0.5	Membrane proteins/transport/ion channels
Mucin 5, subtype B, tracheobronchial	AA159577	MUC5B	2.3 ± 0.3	Membrane proteins/transport/ion channels
Ezrin-radixin-moesin binding phosphoprotein-50 (SLC9A3R1)1	AA425299	EBP50	2.0 ± 0.2	Membrane proteins/transport/ion channels
Keratin 151	AA878048	KRT15	2.0 ± 0.5	Differentiation/development/tissue-specific expression
Duplicate spinal muscular atrophy, clone 5G7 (survival of motor neuron 1)	AA448194	SMN1	1.9 ± 0.2	Differentiation/development/tissue-specific expression
Keratin 1912	AA464250	KRT19	1.6 ± 0.0	Differentiation/development/tissue-specific expression
HEM45 (interferon stimulated gene 20 kDa)2	AA479795	ISG20	2.6 ± 0.1	Immune response/inflammation/antiviral responses
Annexin VIII	AA252968	ANX8	1.7 ± 0.0	Immune response/inflammation/antiviral responses
Von Hippel-Lindau syndrome	H73054	VHL	2.8 ± 0.3	RNA and protein processing/metabolism
Eukaryotic translation initiation factor 3 subunit (p42)12	AA668703	EIF3S4	2.8 ± 0.4	RNA and protein processing/metabolism
CHL 1-like helicase (DEAD box protein 11; CHL1)	AA402879	DDX11	2.6 ± 0.3	RNA and protein processing/metabolism
mRNA in region near the btk gene involved in agammaglobulinemia1	AA485442	NA	2.7 ± 0.7	Other: miscellaneous and unknown function
Homo sapiens 39-kDa protein mRNA	AA972352	NA	2.6 ± 0.5	Other: miscellaneous and unknown function
Chromosome 16 BAC clone CIT987SK-44M2	AA490338	NA	2.2 ± 0.3	Other: miscellaneous and unknown function
