Gene Name	Accession Number	Gene Symbol
Proliferating cell nuclear antigen	J05614	PCNA
Tumor protein p53 (Li-Fraumeni syndrome)	X02469	TP53
Ankyrin repeat and SOCS box-containing 4	NM_016116	ASB4
Histone 1, H3i	NM_003533	HIST1H3I
Solute carrier family 28	NM_004212	SLC28A2
ST3 beta-galactoside alpha-2,3-sialyltransferase 4	NM_006278	ST3GAL4
Peptidase D	NM_000285	PEPD
Rh blood group, CcEe antigens	NM_020485	RHCE
Matrix metalloproteinase 17 (membrane-inserted)	NM_016155	MMP17
Ferritin, light polypeptide	NM_000146	FTL
G protein-coupled receptor 3	NM_005281	GPR3
