PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
218728_s_at	CNIH4	intracellular signaling cascade
211306_s_at	FCAR	immune response
221308_at	FRS2	transmembrane receptor protein tyrosine phosphatase signaling pathway /// G-protein coupled receptor protein signaling pathway /// fibroblast growth factor receptor signaling pathway
217673_x_at	GNAS	signal transduction /// signal transduction /// G-protein coupled receptor protein signaling pathway /// G-protein signaling, adenylate cyclase activating pathway /// pregnancy /// protein secretion
204786_s_at	IFNAR2	cell surface receptor linked signal transduction /// JAK-STAT cascade /// response to virus
220034_at	IRAK3	protein amino acid phosphorylation /// signal transduction /// cytokine and chemokine mediated signaling pathway /// regulation of protein complex disassembly /// protein amino acid phosphorylation
208730_x_at	RAB2	ER to Golgi vesicle-mediated transport /// small GTPase mediated signal transduction /// protein transport /// transport
208641_s_at	RAC1	small GTPase mediated signal transduction /// lamellipodium biogenesis /// actin filament polymerization /// ruffle organization and biogenesis /// positive regulation of Rho protein signal transduction /// negative regulation of receptor mediated endocyt
206636_at	RASA2	intracellular signaling cascade /// regulation of small GTPase mediated signal transduction /// signal transduction
204803_s_at	RRAD	small GTPase mediated signal transduction /// small GTPase mediated signal transduction
208095_s_at	SRP72	protein amino acid phosphorylation /// signal transduction
203508_at	TNFRSF1B	apoptosis /// cytokine and chemokine mediated signaling pathway
206411_s_at	ABL2	protein amino acid phosphorylation /// intracellular signaling cascade /// protein modification /// signal transduction
207510_at	BDKRB1	inflammatory response /// signal transduction /// G-protein coupled receptor protein signaling pathway /// elevation of cytosolic calcium ion concentration
202624_s_at	CABIN1	cell surface receptor linked signal transduction
209002_s_at	CALCOCO1	transcription /// signal transduction /// steroid hormone receptor signaling pathway
35150_at	CD40	protein complex assembly /// apoptosis /// inflammatory response /// immune response /// signal transduction /// development /// antimicrobial humoral response (sensu Vertebrata) /// platelet activation /// B cell proliferation /// positive regulation of
204533_at	CXCL10	cell motility /// chemotaxis /// inflammatory response /// cell surface receptor linked signal transduction /// cell-cell signaling /// muscle development /// circulation /// positive regulation of cell proliferation /// chemotaxis /// inflammatory respon
207486_x_at	CHN2	intracellular signaling cascade /// signal transduction
1007_s_at	DDR1	protein amino acid phosphorylation /// cell adhesion /// transmembrane receptor protein tyrosine kinase signaling pathway /// cell adhesion
204858_s_at	ECGF1	mitochondrial genome maintenance /// angiogenesis /// pyrimidine base metabolism /// pyrimidine nucleotide metabolism /// DNA replication /// chemotaxis /// cell surface receptor linked signal transduction /// cell-cell signaling /// metabolism /// cell d
211131_s_at	EDA	phosphate transport /// immune response /// signal transduction /// ectoderm development /// cell differentiation /// activation of NF-kappaB transcription factor /// development
