GO ID	Go Term	P-Value	Probe Set ID	Gene Symbol	Fold Change	Gene Title
GO:0005201	extracellular matrix structural constituent	2.61E-07	211964_at	COL4A2	1.51	collagen, type IV, alpha 2
GO:0005201	extracellular matrix structural constituent	2.61E-07	215076_s_at	COL3A1	1.57	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
GO:0005201	extracellular matrix structural constituent	2.61E-07	201852_x_at	COL3A1	1.58	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
GO:0005201	extracellular matrix structural constituent	2.61E-07	202310_s_at	COL1A1	1.64	collagen, type I, alpha 1
GO:0005201	extracellular matrix structural constituent	2.61E-07	213622_at	COL9A2	1.66	collagen, type IX, alpha 2
GO:0005201	extracellular matrix structural constituent	2.61E-07	211719_x_at	FN1	1.72	fibronectin 1
GO:0005201	extracellular matrix structural constituent	2.61E-07	211980_at	COL4A1	1.73	collagen, type IV, alpha 1
GO:0005201	extracellular matrix structural constituent	2.61E-07	212464_s_at	FN1	1.75	fibronectin 1
GO:0005201	extracellular matrix structural constituent	2.61E-07	210495_x_at	FN1	1.75	fibronectin 1
GO:0005201	extracellular matrix structural constituent	2.61E-07	221729_at	COL5A2	1.78	collagen, type V, alpha 2
GO:0005201	extracellular matrix structural constituent	2.61E-07	216442_x_at	FN1	1.79	fibronectin 1
GO:0005201	extracellular matrix structural constituent	2.61E-07	203417_at	MFAP2	1.94	microfibrillar-associated protein 2
GO:0005581	collagen	9.30E-07	211964_at	COL4A2	1.51	collagen, type IV, alpha 2
GO:0005581	collagen	9.30E-07	215076_s_at	COL3A1	1.57	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
GO:0005581	collagen	9.30E-07	201852_x_at	COL3A1	1.58	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
GO:0005581	collagen	9.30E-07	202310_s_at	COL1A1	1.64	collagen, type I, alpha 1
GO:0005581	collagen	9.30E-07	213622_at	COL9A2	1.66	collagen, type IX, alpha 2
GO:0005581	collagen	9.30E-07	211980_at	COL4A1	1.73	collagen, type IV, alpha 1
GO:0005581	collagen	9.30E-07	221729_at	COL5A2	1.78	collagen, type V, alpha 2
GO:0005576	extracellular	4.09213E-06	213451_x_at	TNXB	0.42	tenascin XB
GO:0005576	extracellular	4.09213E-06	216333_x_at	TNXB	0.42	tenascin XB
GO:0005576	extracellular	4.09213E-06	206093_x_at	TNXB	0.44	tenascin XB
GO:0005576	extracellular	4.09213E-06	208609_s_at	TNXB	0.49	tenascin XB
GO:0005576	extracellular	4.09213E-06	213258_at	TFPI	0.54	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
GO:0005576	extracellular	4.09213E-06	208747_s_at	C1S	0.60	complement component 1, s subcomponent
GO:0005576	extracellular	4.09213E-06	221087_s_at	APOL3	0.63	apolipoprotein L, 3
GO:0005576	extracellular	4.09213E-06	212067_s_at	C1R	0.64	complement component 1, r subcomponent
GO:0005576	extracellular	4.09213E-06	219549_s_at	RTN3	0.65	reticulon 3
GO:0005576	extracellular	4.09213E-06	202729_s_at	LTBP1	0.65	latent transforming growth factor beta binding protein 1
GO:0005576	extracellular	4.09213E-06	211964_at	COL4A2	1.51	collagen, type IV, alpha 2
GO:0005576	extracellular	4.09213E-06	215076_s_at	COL3A1	1.57	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
GO:0005576	extracellular	4.09213E-06	201852_x_at	COL3A1	1.58	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
