GenBank Accession No.	Symbol	Gene Name	Fold Regulation by Progestin at 48 h PRA:PRB = 1.8	PRA:PRB = 5.1	Functional Category
AA988203	GRB2	Growth factor receptor-bound protein 2	?1.50 ± 0.14, 0.13	2.04 ± 0.08, 0.09	Transcriptional Regulation/Signal Transduction
AA451716	NFKB1	NF-?B polypeptide 1 (p105)	1.06 ± 0.02, 0.02	2.04 ± 0.12, 0.13	Transcriptional Regulation/Signal Transduction
AA701502	PDGFA	Platelet-derived growth factor A	1.17 ± 0.03, 0.03	3.11 ± 0.23, 0.25	Transcriptional Regulation/Signal Transduction
AA258001	RELB	v-rel homolog B, NF-?B3	?1.14 ± 0.05, 0.05	2.37 ± 0.07, 0.07	Transcriptional Regulation/Signal Transduction
AA115076	CITED2	Cbp/p300-interacting transactivator 2	3.81 ± 0.04, 0.04	1.04 ± 0.10, 0.11	Transcriptional Regulation/Signal Transduction
AI286222	EPAS1	Endothelial PAS domain protein 1	3.31 ± 0.68, 0.86	?1.22 ± 0.02, 0.02	Transcriptional Regulation/Signal Transduction
AA446928	ERBB2	v-erb-b2 oncogene	2.17 ± 0.16, 0.18	?1.57 ± 0.15, 0.13	Transcriptional Regulation/Signal Transduction
AA482119	ID3	Inhibitor of DNA binding 3	2.99 ± 0.11, 0.11	?1.95 ± 0.05, 0.05	Transcriptional Regulation/Signal Transduction
AA476294	NCL	Nucleolin	3.10 ± 0.30, 0.33	?1.00 ± 0.02, 0.02	Transcriptional Regulation/Signal Transduction
AA478480	TCEAL1	Transcription elongation factor A (SII)-like 1	2.12 ± 0.12, 0.13	?1.42 ± 0.05, 0.05	Transcriptional Regulation/Signal Transduction
AA485371	BST2	Bone marrow stromal cell antigen 2	?1.12 ± 0.03, 0.03	?2.70 ± 0.10, 0.10	Cell Cycle Regulation/Survival/Apoptosis
AA863383	PIM2	Pim-2 protooncogene	?1.05 ± 0.04, 0.04	6.58 ± 0.42, 0.44	Cell Cycle Regulation/Survival/Apoptosis
AA010079	PRKR	Protein kinase interferon-inducible dsRNA dependent	?1.08 ± 0.06, 0.05	?2.06 ± 0.33, 0.29	Cell Cycle Regulation/Survival/Apoptosis
N50554	RBL2	Retinoblastoma-like 2 (p130)	?1.03 ± 0.02, 0.02	2.69 ± 0.09, 0.09	Cell Cycle Regulation/Survival/Apoptosis
AA489647	CCNG2	Cyclin G2	2.97 ± 0.09, 0.10	?1.59 ± 0.11, 0.10	Cell Cycle Regulation/Survival/Apoptosis
T89383	NALP1	NACHT, leucine-rich repeat and PYD containing 1	?2.24 ± 0.28, 0.25	1.12 ± 0.08, 0.08	Cell Cycle Regulation/Survival/Apoptosis
N35241	CDC42BPA	CDC42 binding protein kinase ? (DMPK-like)	?1.19 ± 0.03, 0.03	?2.41 ± 0.07, 0.07	Cell Shape/Adhesion/Membrane-Associated Functions
AA418564	CDH12	Br-cadherin	?1.00 ± 0.03, 0.03	?2.10 ± 0.31, 0.27	Cell Shape/Adhesion/Membrane-Associated Functions
AA598787	CKAP4	Cytoskeleton-associated protein 4	1.16 ± 0.19, 0.23	2.22 ± 0.14, 0.15	Cell Shape/Adhesion/Membrane-Associated Functions
R73545	FLOT2	Flotillin 2	?1.09 ± 0.23, 0.19	?2.26 ± 0.06, 0.06	Cell Shape/Adhesion/Membrane-Associated Functions
N23898	GRK4	G protein-coupled receptor kinase 4	1.03 ± 0.01, 0.01	2.04 ± 0.20, 0.22	Cell Shape/Adhesion/Membrane-Associated Functions
R77293	ICAM1	Intercellular adhesion molecule 1	?1.04 ± 0.10, 0.09	2.01 ± 0.47, 0.61	Cell Shape/Adhesion/Membrane-Associated Functions
AA157813	IFI27	Interferon, ?-inducible protein 27	?1.12 ± 0.03, 0.03	?2.11 ± 0.02, 0.02	Cell Shape/Adhesion/Membrane-Associated Functions
AA664179	KRT18	Keratin 18	?1.04 ± 0.06, 0.06	?2.70 ± 0.07, 0.07	Cell Shape/Adhesion/Membrane-Associated Functions
AA056013	MAGP2	Microfibril-associated glycoprotein-2	?1.15 ± 0.05, 0.04	2.59 ± 0.19, 0.20	Cell Shape/Adhesion/Membrane-Associated Functions
R89615	PCDHGC3	Protocadherin 43	?1.01 ± 0.06, 0.06	?2.17 ± 0.01, 0.01	Cell Shape/Adhesion/Membrane-Associated Functions
AA040703	PFN2	Profilin 2	?1.16 ± 0.27, 0.22	2.30 ± 0.31, 0.36	Cell Shape/Adhesion/Membrane-Associated Functions
AA074511	SDC1	Syndecan 1	?1.17 ± 0.11, 0.10	?2.23 ± 0.19, 0.18	Cell Shape/Adhesion/Membrane-Associated Functions
AA425299	SLC9A3R1	Ezrin-radixin-moesin binding phosphoprotein-50	?1.18 ± 0.08, 0.08	?2.53 ± 0.15, 0.14	Cell Shape/Adhesion/Membrane-Associated Functions
AA486728	VCL	Vinculin	1.01 ± 0.03, 0.03	3.93 ± 0.28, 0.30	Cell Shape/Adhesion/Membrane-Associated Functions
H11003	EDN1	Endothelin 1	3.25 ± 0.01, 0.01	1.10 ± 0.02, 0.02	Cell Shape/Adhesion/Membrane-Associated Functions
AA291259	GPR160	G protein-coupled receptor 160	4.36 ± 0.26, 0.28	1.21 ± 0.09, 0.10	Cell Shape/Adhesion/Membrane-Associated Functions
AA485668	ITGB4	Integrin ?-4 subunit	2.44 ± 0.13, 0.13	?1.32 ± 0.05, 0.05	Cell Shape/Adhesion/Membrane-Associated Functions
R65993	PSG9	Pregnancy specific ?1-glycoprotein 9	4.02 ± 0.18, 0.19	?1.06 ± 0.01, 0.01	Cell Shape/Adhesion/Membrane-Associated Functions
AA086471	S100A8	S100 calcium-binding protein A8 (calgranulin A)	16.33 ± 2.60, 3.09	2.12 ± 0.31, 0.37	Cell Shape/Adhesion/Membrane-Associated Functions
N68159	ABCC5	ATP-binding cassette, subfamily C, member 5	?1.15 ± 0.09, 0.08	?2.22 ± 0.17, 0.16	Enzyme Activity/Ion Homeostasis/Metabolism
AA156988	ACO1	Aconitase 1	?1.14 ± 0.05, 0.05	2.19 ± 0.06, 0.06	Enzyme Activity/Ion Homeostasis/Metabolism
AA446120	ADM	Adrenomedullin	?1.02 ± 0.02, 0.02	3.13 ± 0.18, 0.19	Enzyme Activity/Ion Homeostasis/Metabolism
R93124	AKR1C1	Dihydrodiol dehydrogenase	1.09 ± 0.00, 0.00	2.17 ± 0.61, 0.86	Enzyme Activity/Ion Homeostasis/Metabolism
AA455235	ALDH1A3	Aldehyde dehydrogenase 6	?1.05 ± 0.01, 0.01	3.11 ± 0.14, 0.14	Enzyme Activity/Ion Homeostasis/Metabolism
AA676466	ASS	Argininosuccinate synthetase	?1.10 ± 0.02, 0.02	?3.08 ± 0.11, 0.11	Enzyme Activity/Ion Homeostasis/Metabolism
AA171613	CA12	Carbonic anhydrase precursor	1.17 ± 0.11, 0.12	?3.72 ± 0.13, 0.12	Enzyme Activity/Ion Homeostasis/Metabolism
AA873604	CRIP2	Cysteine-rich heart protein	1.01 ± 0.04, 0.04	?2.23 ± 0.17, 0.16	Enzyme Activity/Ion Homeostasis/Metabolism
AA397824	DDT	Dopachrome tautomerase	1.02 ± 0.05, 0.05	2.20 ± 0.54, 0.72	Enzyme Activity/Ion Homeostasis/Metabolism
AA875933	EFEMP1	Epidermal growth factor-containing fibulin-like extracellular matrix protein 1	?1.05 ± 0.09, 0.08	?2.83 ± 0.35, 0.31	Enzyme Activity/Ion Homeostasis/Metabolism
AA629804	ENDOG	Endonuclease G	1.08 ± 0.07, 0.08	2.45 ± 0.11, 0.11	Enzyme Activity/Ion Homeostasis/Metabolism
T69450	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase 1	1.09 ± 0.04, 0.04	?3.01 ± 0.27, 0.25	Enzyme Activity/Ion Homeostasis/Metabolism
AA497038	ENSA	Endosulfine ?	?1.04 ± 0.04, 0.04	?2.03 ± 0.12, 0.11	Enzyme Activity/Ion Homeostasis/Metabolism
AA017175	GLUD1	Glutamate dehydrogenase	1.04 ± 0.03, 0.03	?2.46 ± 0.13, 0.13	Enzyme Activity/Ion Homeostasis/Metabolism
AA410375	GMPR	Guanosine monophosphate reductase	1.14 ± 0.05, 0.06	2.17 ± 0.05, 0.05	Enzyme Activity/Ion Homeostasis/Metabolism
H87471	KYNU	L-Kynurenine hydrolase	1.55 ± 0.10, 0.11	0.27 ± 0.60, 0.51	Enzyme Activity/Ion Homeostasis/Metabolism
AA028921	na	?-Glucuronidase pseudogene	?1.19 ± 0.11, 0.10	?2.29 ± 0.37, 0.32	Enzyme Activity/Ion Homeostasis/Metabolism
AA461467	ODC1	Ornithine decarboxylase 1	?1.05 ± 0.00, 0.00	2.12 ± 0.13, 0.13	Enzyme Activity/Ion Homeostasis/Metabolism
AA428335	PPP1R2	Protein phosphatase 1, regulatory (inhibitor) subunit 2	?1.02 ± 0.06, 0.05	2.62 ± 0.09, 0.09	Enzyme Activity/Ion Homeostasis/Metabolism
AA432271	PRKAB1	Protein kinase, AMP-activated, ?1 noncatalytic subunit	?1.10 ± 0.04, 0.04	2.85 ± 0.45, 0.54	Enzyme Activity/Ion Homeostasis/Metabolism
AA181300	PSMB8	Proteasome (prosome, macropain) subunit, ? type, 8	1.19 ± 0.11, 0.13	2.44 ± 0.15, 0.16	Enzyme Activity/Ion Homeostasis/Metabolism
AA497051	SIAT7B	Sialyltransferase 7B	?1.07 ± 0.10, 0.09	?2.43 ± 0.08, 0.08	Enzyme Activity/Ion Homeostasis/Metabolism
AA292074	UBE2L6	Ubiquitin-conjugating enzyme	?1.11 ± 0.06, 0.06	?2.68 ± 0.14, 0.14	Enzyme Activity/Ion Homeostasis/Metabolism
