M. tb genes ID	M. tb. gene name	M. ap gene ID	M. ap Gene Name	LNN_PDE	Fold Change in M. ap
Rv0101	nrp	MAP1870c		0.544705374	-92.03564675
Rv3012c	gatC	MAP3046c	gatC	0.180158333	-81.26488653
Rv3156	nuoL	MAP3212	nuoL	0.970166875	-76.47649269
Rv3335c	Rv3335c	MAP1682c		0.947293153	-72.34487358
Rv3148	nuoD	MAP3204	nuoD	0.95718177	-70.88647382
Rv2150c	ftsZ	MAP1894c	ftsZ	0.131313426	-56.94457929
Rv1613	trpA	MAP1307	trpA	0.122015397	-52.41517548
Rv3070	Rv3070	MAP3148		0.116893151	-49.9316324
Rv3308	pmmB	MAP3430	pmmB	0.872232433	-47.33735405
Rv2604c	Rv2604c	MAP2708c		0.957470347	-43.50302061
Rv3900c	Rv3900c	MAP4326c		0.292888951	-41.05962644
Rv1024	Rv1024	MAP0991		0.08652443	-35.36332164
Rv2845c	proS	MAP2913c	proS	0.069405857	-27.26603403
Rv1011	ispE	MAP0976		0.07675006	-25.32332403
Rv3311	Rv3311	MAP3433		0.060317262	-23.00627674
Rv2783c	gpsI	MAP2891c	gpsI	0.058184758	-22.01164534
Rv0713	Rv0713	MAP4175		0.050207872	-18.31146781
Rv3102c	ftsE	MAP3172c	ftsE	0.044888082	-13.66026817
Rv3149	nuoE	MAP3205	nuoE	0.038585728	-12.23757504
Rv2568c	Rv2568c	MAP1069		0.033370018	-10.66600253
Rv2894c	xerC	MAP2958c	xerC	0.53084288	-9.85809747
Rv0883c	Rv0883c	MAP0822c		0.150090959	-8.139342132
Rv1023	eno	MAP0990	eno	0.034513895	-6.71568691
Rv3154	nuoJ	MAP3210	nuoJ	0.023068765	-6.215982808
Rv3158	nuoN	MAP3214	nuoN	0.475423851	-5.623627241
Rv0402c	mmpL1	MAP3049c	mmpL2	0.018669097	-4.427138452
Rv3476c	kgtP	MAP0133c		0.060299452	-4.369322336
Rv1527c	pks5	MAP2230c		0.056327838	-3.232690508
Rv2560	Rv2560	MAP1071c		0.025208222	-3.16874558
Rv0924c	mntH	MAP0869c	nramp	0.056763665	-3.132155397
Rv0402c	mmpL1	MAP3947	mmpL4_7	0.025381858	-3.128094129
Rv1689	tyrS	MAP1396	tyrS	0.070717932	-2.93374674
Rv0926c	Rv0926c	MAP2523c		0.02840645	-2.724268563
Rv0950c	Rv0950c	MAP0895c		0.030559839	-2.521273717
Rv1030	kdpB	MAP0998c		0.21046598	-2.510272431
Rv3692	moxR2	MAP0359c	moxR2	0.045936516	-2.500852597
Rv3648c	cspA	MAP0423	cspA_1	0.019074825	-2.402963412
Rv0402c	mmpL1	MAP3890	mmpL4_6	0.044701778	-2.381809708
Rv2294	Rv2294	MAP2055		0.013195715	-2.377028124
Rv2965c	kdtB	MAP3002c	kdtB	0.048569049	-2.318708769
Rv1096	Rv1096	MAP2696c		0.039051677	-2.30489352
Rv1824	Rv1824	MAP1537		0.037213093	-2.207642625
Rv1823	Rv1823	MAP1536		0.042166615	-2.140568294
Rv0635	Rv0635	MAP4107		0.364321652	-2.097294195
Rv3648c	cspA	MAP0669	cspA_2	0.019059691	-2.087642806
Rv1640c	lysX	MAP1351c	lysX	0.037148639	-2.080827711
Rv1668c	Rv1668c	MAP1374c		0.038665888	-2.059394377
Rv3587c	Rv3587c	MAP0471		0.033467655	-1.975628288
Rv3147	nuoC	MAP3203	nuoC	0.0293762	-1.92304464
Rv0785	Rv0785	MAP0621		0.034579098	-1.916711567
Rv0128	Rv0128	MAP3530		0.036064064	-1.868704064
Rv3146	nuoB	MAP3202	nuoB	0.031846083	-1.861897762
Rv0704	rplB	MAP4164	rplB	0.0345691	-1.832580273
Rv1695	ppnK	MAP1402		0.034541607	-1.824566585
Rv3155	nuoK	MAP3211	nuoK	0.031508312	-1.824482678
Rv2067c	Rv2067c	MAP1004		0.034360775	-1.783779145
Rv0762c	Rv0762c	MAP0596c		0.024544711	-1.758346008
Rv0178	Rv0178	MAP3613		0.148323368	-1.746942943
Rv0710	rpsQ	MAP4170	rpsQ	0.02855696	-1.742599125
Rv2917	Rv2917	MAP2985		0.033326101	-1.683125666
Rv1025	Rv1025	MAP0992		0.255362098	-1.644660085
Rv3100c	smpB	MAP3170c	smpB	0.032688322	-1.615658074
Rv1360	Rv1360	MAP0675		0.025119097	-1.612158358
Rv1709	Rv1709	MAP1411		0.032058989	-1.604516671
Rv0716	rplE	MAP4179	rplE	0.028456682	-1.601428638
Rv2860c	glnA4	MAP2931c	glnA4	0.017880261	-1.593264479
Rv0203	Rv0203	MAP3243		0.065186608	-1.56325143
Rv1193	fadD36	MAP2580c	fadD36	0.033873446	-1.557986158
Rv1023	eno	MAP3133c		0.034805324	-1.544116737
Rv0338c	Rv0338c	MAP3831c		0.02784904	-1.539843474
Rv3715c	recR	MAP0316c	recR	0.016233924	-1.502448493
Rv1272c	Rv1272c	MAP2500		0.035550203	-1.497396632
