Gene Name	Accession No.	Fold Change Expt. 1	Fold Change Expt. 2	Function
Activated leukocyte cell adhesion molecule	L25274	7.06	3.03	Cell adhesion molecules
Amine oxidase, copper containing 3	AF078705	6.48	7.34	Cell adhesion molecules
Spondin 1 (f-spondin) extracellular matrix protein	AW124931	5.59	3.73	Cell adhesion molecules
Extracellular link domain-containing 1	AI266876	4.77	7.87	Cell adhesion molecules
CD34 Ag	AI847784	4.74	4.06	Cell adhesion molecules
Integrin  &#1;6	X69902	4.15	4.39	Cell adhesion molecules
Rho family GTPase 3	AW210072	3.54	2.2	Cell adhesion molecules
Catenin  &#1;-like 1	AF006071	3.32	3.61	Cell adhesion molecules
Von Willebrand factor homolog	AI843063	3.29	2.5	Cell adhesion molecules
Dermatopontin	AA717826	2.96	2.49	Cell adhesion molecules
Activated leukocyte cell adhesion molecule	AI853494	2.86	5.33	Cell adhesion molecules
Melanoma cell adhesion molecule	AI853261	2.46	2.71	Cell adhesion molecules
Nidogen 1	L17324	2.22	2.77	Cell adhesion molecules
IL-6	X54542	13.23	4.48	Cytokines
Chemokine (C-X-C motif) ligand 1	J04596	4.9	13.49	Cytokines
Small chemokine (C-C motif) ligand 11	U77462	3.4	2.83	Cytokines
Chemokine (C-C motif) ligand 7	X70058	3.38	12.05	Cytokines
TNF (ligand) superfamily, member 11 (RANKL)	AF019048	3.09	2.67	Cytokines
Chemokine (C-C motif) ligand 2	M19681	2.59	5.66	Cytokines
Paired related homeobox 1	AI851714	193.01	65.55	Transcription factors
Mesenchyme homeobox 2	Z16406	64.31	81.95	Transcription factors
Homeobox A9	AI173898	24.73	63.35	Transcription factors
Spi-C transcription factor (Spi-1/PU.1 related)	AA182189	12.33	6	Transcription factors
Transducin-like enhancer of split 1, homolog of Drosophila E (spl)	U61362	6.89	3.6	Transcription factors
ISL1 transcription factor, LIM/homeodomain (islet-1)	AJ132765	6.27	18.46	Transcription factors
Forkhead box C2	AV251191	6.24	27.7	Transcription factors
Gastrulation brain homeobox 2	Z48800	5.87	9.1	Transcription factors
Early B cell factor 3	U92702	5.64	9	Transcription factors
Ets variant gene 5	AW214004	4.85	4.31	Transcription factors
GATA binding protein 6	AA667100	4.67	8.55	Transcription factors
Homeobox C9	X55318	4.63	7.31	Transcription factors
Heart and neural crest derivatives expressed transcript 2	AI661148	4.14	3.66	Transcription factors
Myelocytomatosis oncogene	L00039	3.2	2.72	Transcription factors
Early growth response 2	M24377	2.7	4.01	Transcription factors
Molecule possessing ankyrin-repeats induced by LPS	AA614971	2.53	4.24	Transcription factors
Homeobox only domain	AW123564	2.34	7.78	Transcription factors
TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor	AA763469	2.23	19.04	Transcription factors
Matrix metalloproteinase 8	U96696	70.9	5.61	Extracellular proteins
Nephroblastoma overexpressed gene	Y09257	21.74	40.97	Extracellular proteins
Reelin	U24703	17.02	23.49	Extracellular proteins
Amylase 2, pancreatic	X02578	12.57	216.76	Extracellular proteins
Wingless-related MMTV integration site 11	X70800	12.46	21.67	Extracellular proteins
Collagen triple helix repeat containing 1	AI847474	11.67	15.9	Extracellular proteins
Microfibrillar associated protein 5	AW121179	11.53	11.05	Extracellular proteins
Pancreatic lipase related protein 1	AA674409	8.12	3.64	Extracellular proteins
Retinol binding protein 4, plasma	U63146	8.08	5.64	Extracellular proteins
Angiopoietin 2	AF004326	5.94	18.19	Extracellular proteins
Tetranectin (plasminogen binding protein)	X79199	4.61	9.57	Extracellular proteins
H1 histone family, member 4	L04141	50.81		Intracellular proteins
Rap guanine nucleotide exchange factor (GEF) 5	AI413822	24.83	8.09	Intracellular proteins
Death-associated protein kinase 1	AI853387	18.63	8.05	Intracellular proteins
Odd-skipped related 1 (Drosophila)	AW049181	10.67	18.45	Intracellular proteins
A disintegrin and metallopeptidase domain 22	AI854032	9.37	13.77	Intracellular proteins
Cysteine dioxygenase 1, cytosolic	AI854020	9.03	41.9	Intracellular proteins
Neuron navigator 3	AA681750	8.48	11.07	Intracellular proteins
B cell translocation gene 1, antiproliferative	Z16410	2.8	2.34	Intracellular proteins
Cytochrome P450, 1b1, benz &#3;a &#4;anthracene inducible	X78445	345.84	413.4	Plasma membrane proteins
Superiorcervical ganglia, neural specific 10	AI840972	43.83	9.9	Plasma membrane proteins
Angiotensin II receptor, type 2	U04828	40.32	57.2	Plasma membrane proteins
Potassium voltage-gated channel, Shal-related family, member 3	AW045978	21.79	25.94	Plasma membrane proteins
Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	AI317360	11.16	5.99	Plasma membrane proteins
Potassium voltage-gated channel, Isk-related subfamily, gene 4	AW214619	9.78	25.84	Plasma membrane proteins
Annexin A1	AV003419	8.95	13.2	Plasma membrane proteins
Protocadherin 21	AI852446	3.17	3.79	Plasma membrane proteins
