Curated Gene Symbol	Domain	Gene Name	Gene Symbol	Reference Sequence	Description	Geometric mean of CD4+ T cell samples	Geometric mean of CD8+ T cell samples	Fold up-regulation in CD4+ T cells	P-value
PPIA	Immune	Cyclophilin A	PPIA	NM_021130	Secreted	4.59	2.72	1.69	0.0283
HLA-DRB4	Immune	MHC class II, DR beta 4 precursor	HLA-DRB4	NM_021983	MHC	4.59	2.93	1.57	0.0096
CCL4	Immune	Chemokine (C-C motif) ligand 4 precursor	CCL4	NM_002984	Chemokine	4.39	2.85	1.54	0.0252
C1QBP	Immune	Complement component 1, q subcomponent binding protein	C1QBP	NM_001212	Complement	4.44	2.95	1.5	0.01
HLA-DQB1	Immune	MHC Class II, DQ beta 1	HLA-DQB1	NM_002123	MHC	3.26	2.18	1.5	0.0363
IGSF1	Immune	Immunoglobulin superfamily, member 1	IGSF1	NM_001555	Adhesion	4.88	3.42	1.43	0.0136
CRIP1	Immune	Cysteine-rich protein 1 (intestinal)	CRIP1	NM_001311	Antimicrobial	4.08	2.86	1.43	0.0098
ITK	Immune	IL-2-inducible T-cell kinase	ITK	NM_005546	Signal transduction	1.31	0.94	1.39	0.0151
MBOAT7	Immune	Leukocyte receptor cluster (LRC) member 4	LENG4	NM_024298	Receptor	0.96	0.7	1.37	0.0026
TRA	Immune	T-cell receptor alpha locus	TRA	T29124	TCR	1.16	0.86	1.35	0.0012
ITGA3	Immune	Integrin, alpha 3 (CD49C)	ITGA3	NM_002204	Adhesion	3.68	2.72	1.35	0.0089
DARC	Immune	Duffy blood group	FY	NM_002036	Chemokine receptor	0.96	0.71	1.34	0.043
TREM1	Immune	Triggering receptor expressed on myeloid cells 1	TREM1	NM_018643	Receptor	1.59	1.19	1.34	0.0003
PVRL3	Immune	Poliovirus receptor-related 3	PVRL3	NM_015480	Adhesion	0.69	0.51	1.34	0.0028
C3AR1	Immune	Complement component 3a receptor 1	C3AR1	NM_004054	Complement	1.83	1.37	1.34	0.0031
BAG1	Immune	BCL2-associated athanogene	BAG1	NM_004323	Anti-apoptosis	2.8	2.09	1.34	0.0171
SIT1	Immune	SHP2 interacting transmembrane adaptor	SIT	NM_014450	Signal transduction	2.22	1.67	1.33	0.0047
CD99	Immune	CD99	MIC2	NM_002414	Receptor	6.58	5.01	1.31	0.0203
TMEM8A	Immune	Transmembrane protein 8 (five membrane-spanning domains)	TMEM8	NM_021259	Adhesion	0.96	1.25	0.77	0.0016
BTN2A2	Immune	Butyrophilin, subfamily 2, member A2	BTN2A2	NM_006995	Unknown	1.09	1.43	0.76	0.0352
HLA-C	Immune	MHC Class I, C precursor	HLA-C	NM_002117	MHC	7.2	9.52	0.76	0.0002
HCST	Immune	DNAX-activation protein 10	DAP10	NM_014266	Signal transduction	1.76	2.35	0.75	0.0008
SOCS1	Immune	Suppressor of cytokine signaling 1	SOCS1	NM_003745	Signal transduction	0.74	0.99	0.74	0.0083
TMC6	Immune	Epidermodysplasia verruciformis 1	EVIN1	NM_007267	Unknown	1.64	2.22	0.74	0.0021
SH3KBP1	Immune	SH3-domain kinase binding protein 1	SH3KBP1	NM_031892	Signal transduction	0.63	0.86	0.74	0.0028
VAV1	Immune	Vav 1 oncogene	VAV1	NM_005428	Kinase	1.01	1.44	0.7	0.0003
ISLR	Immune	Immunoglobulin superfamily containing leucine-rich repeat	ISLR	NM_005545	Adhesion	0.54	0.77	0.7	0.0194
IL7R	Immune	Interleukin 7 receptor	IL7R	NM_002185	Receptor	0.61	0.87	0.7	0.0142
SH3BGRL3	Immune	SH3 domain binding glutamic acid-rich protein like 3	SH3BGRL3	NM_031286	Signal transduction	1.57	2.24	0.7	0.0039
BCL2	Immune	B-cell CLL/lymphoma 2	BCL2	NM_000657	Anti-apoptosis	0.8	1.16	0.69	0.032
CD37	Immune	CD37	CD37	NM_001774	Vesicular	2.03	3	0.68	0.012
IL16	Immune	Interleukin 16	IL16	NM_004513	Cytokine	1.62	2.41	0.67	0.002
KLRK1	Immune	NKG2-D type II integral membrane protein	D12S2489E	NM_007360	Receptor	1.01	1.99	0.51	0.0321
YWHAQ	Signal Transduction	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	YWHAQ	NM_006826	14-3-3 protein	4.21	2.4	1.76	0.0199
CALM2	Signal Transduction	Calmodulin 2	CALM2	NM_001743	Calcium binding	6.53	3.93	1.66	0.0112
APPL1	Signal Transduction	Adaptor protein containing pH domain, PTB domain and leucine zipper motif	APPL	NM_012096	Adaptor	1.14	0.69	1.65	0.0041
DACT1	Signal Transduction	Dapper homolog 1, antagonist of beta-catenin	DAPPER1	NM_016651	MAPK pathway	1.36	0.88	1.54	0.0068
LGALS1	Signal Transduction	Lectin, galactoside-binding, soluble, 1 (galectin 1)	LGALS1	NM_002305	Inhibition	12.09	7.95	1.52	0.0445
PLIN2	Signal Transduction	Adipose differentiation-related protein	ADFP	NM_001122	Receptor	3.85	2.54	1.52	0.0041
PTP4A1	Signal Transduction	Protein tyrosine phosphatase type IVA, member 1	PTP4A1	NM_003463	Cell cycle	1.97	1.32	1.5	0.0017
STMN2	Signal Transduction	Stathmin-like 2	STMN2	NM_007029	Unknown	2.42	1.71	1.41	0.0244
JAG1	Signal Transduction	Jagged 1 precursor	JAG1	NM_000214	Receptor	2.19	1.57	1.4	0.003
CCNI	Signal Transduction	Cyclin I	CCNI	NM_006835	Cell cycle	7.94	5.71	1.39	0.0157
TMEM11	Signal Transduction	Putative receptor protein	PMI	NM_003876	Receptor	2.44	1.78	1.37	0.0039
LIMS1	Signal Transduction	LIM and senescent cell antigen-like domains 1	LIMS1	NM_004987	Adaptor	2.67	1.95	1.37	0.018
PGRMC1	Signal Transduction	Progesterone binding protein	PGRMC1	NM_006667	Receptor	1.21	0.88	1.36	0.0275
RPS6KA1	Signal Transduction	Ribosomal protein S6 kinase, 90kD, polypeptide	RPS6KA1	NM_002953	Kinase	1.81	1.35	1.34	0.0014
RANBP1	Signal Transduction	RAN binding protein 1	RANBP1	NM_002882	Cell cycle	3.93	2.93	1.34	0.047
ARHGDIA	Signal Transduction	Rho GDP dissociation inhibitor (GDI) alpha	ARHGDIA	NM_004309	Unknown	4.4	3.34	1.32	0.0113
GNB2L1	Signal Transduction	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GNB2L1	NM_006098	Scaffold	14.56	11.11	1.31	0.0255
PPP2R5D	Signal Transduction	Protein phosphatase 2, regulatory subunit B (B56), delta isoform	PPP2R5D	NM_006245	Regulation	1.99	1.52	1.31	0.0039
RHOA	Signal Transduction	Ras homolog gene family, member A	ARHA	NM_001664	Ras superfamily	2.18	1.67	1.31	0.0124
GADD45B	Signal Transduction	Growth arrest and DNA-damage-inducible, beta	GADD45B	NM_015675	Apoptosis	1.58	2.06	0.77	0.0026
ATM	Signal Transduction	Ataxia telangiectasia mutated (includes complementation groups A, C and D)	ATM	NM_000051	Cell cycle	1.63	2.13	0.76	0.0003
BAI2	Signal Transduction	Brain-specific angiogenesis inhibitor 2	BAI2	NM_001703	Receptor	0.79	1.03	0.76	0.0349
PYY	Signal Transduction	Peptide YY	PYY	NM_004160	Broad	0.49	0.65	0.75	0.0363
CLSTN1	Signal Transduction	Calsyntenin 1	CLSTN1	NM_014944.1	Calcium binding	0.6	0.8	0.75	0.0345
AKAP10	Signal Transduction	A kinase (PRKA) anchor protein 10	AKAP10	NM_007202	Scaffold	0.61	0.82	0.75	0.0249
CDK3	Signal Transduction	Cyclin-dependent kinase 3	CDK3	NM_001258	Cell cycle	0.99	1.36	0.73	0.0019
INPPL1	Signal Transduction	Inositol polyphosphate phosphatase-like 1	INPPL1	NM_001567	Inhibition	0.86	1.2	0.71	0.0041
