Order	F	Probe Set	Contrast	P value	Boot- strap	Gene	Chromosome	Description
1	102. 13	37471_at	2096.91	0.001	2.4	RNASEP1	6p25.1	ribonuclease P1
2	74.7 1	35523_at	1679.33	0.006	19.0	PGDS	4q22.3	prostaglandin D2 synthase, hematopoietic
3	65.8 2	41746_at	1263.68	0.006	19.3	NHP2L1	22q13.2-q13.31	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
4	62.2 7	37686_s_ at	1628.67	0.010	27.5	UNG	12q23-q24.1	uracil-DNA glycosylase
5	61.3 3	38513_at	638.27	0.011	35.3	POP1	8q22.1	processing of precursors 1
6	61.0 3	31838_at	498.08	0.008	36.6	HSU79274	12q24.13	protein predicted by clone 23733
7	57.4 8	34845_at	1032.14	0.005	29.8	CGI-51	22q13.31	CGI-51 protein
8	56.8 7	33255_at	1213.12	0.010	29.2	NASP	1p34.1	nuclear autoantigenic sperm protein (histone-binding)
9	55.2 7	1942_s_at	1249.39	0.010	40.1	CDK4	12q14	cyclin-dependent kinase 4
10	53.9 9	1782_s_at	1667.39	0.006	29.9	STMN1	1p36.1-p35	stathmin 1/oncoprotein 18
11	52.7 2	1081_at	2094.87	0.011	44.1	ODC1	2p25	ornithine decarboxylase 1
12	52.3 2	33334_at	1106.9	0.013	48.5	ACYP1	14q24.3	acylphosphatase 1, erythrocyte (common) type
13	51.2 8	38384_at	1268.79	0.011	47.9	GART	21q22.11	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
14	50.5 6	37887_at	763.39	0.022	59.1	CHEK2	22q12.1	CHK2 checkpoint homolog (S. pombe)
15	47.9 2	37540_at	636.31	0.055	94.9	MYOM2	8p23.3	myomesin (M-protein) 2, 165kDa
16	47.2 8	33865_at	1101.17	0.017	69.0	BS69	10p14	adenovirus 5 E1A binding protein
17	46.8 5	35621_at	961.9	0.060	80.6	PMVK	1p13-q23	phosphomevalonate kinase
18	46.5 8	1750_at	1197.28	0.051	113.2	FARSL	19p13.2	phenylalanine-tRNA synthetase-like
19	46.3 6	33252_at	853.62	0.037	113.2	MCM3	6p12	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
20	46.1 6	1248_at	965.71	0.023	67.6	POLR2H	3q28	polymerase (RNA) II (DNA directed) polypeptide H
21	44.9 7	40774_at	1130.02	0.034	72.9	CCT3	1q23	chaperonin containing TCP1, subunit 3 (gamma)
22	44.5 1	36102_at	1045.36	0.024	91.0	VDAC3	8p11.2	voltage-dependent anion channel 3
23	44.5	35631_at	850.76	0.020	82.7	POLR2H	3q28	polymerase (RNA) II (DNA directed) polypeptide H
24	44.0 9	41448_at	-1324.4	0.047	126.7	HOXA10	7p15-p14	homeo box A10
25	43.1 9	1884_s_at	1925.08	0.020	96.0	PCNA	20pter-p12	proliferating cell nuclear antigen
26	42.5 8	36027_at	1021.73	0.030	95.9	POLR2F	22q13.1	polymerase (RNA) II (DNA directed) polypeptide F
27	42.0 3	41569_at	1211.44	0.021	84.8	DNAJC9	10q22.3	DnaJ (Hsp40) homolog, subfamily C, member 9
28	41.9 3	36968_s_ at	760.15	0.053	122.7	OIP2	13q13.1	Opa-interacting protein 2
29	41.7 9	1154_at	921.21	0.054	132.9	EIF2S1	14q24.1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa
30	41.6 5	36203_at	1619.64	0.059	124.5	ODC1	2p25	ornithine decarboxylase 1
31	41.4 1	31863_at	1538.46	0.048	113.1	KIAA0179	21q22.3	KIAA0179 protein
32	41.1	38747_at	2622.99	0.064	141.1	CD34	1q32	CD34 antigen
