Function	Gene	Accession #
Cell cycle and growth factors	Igf2	NM_031511
Cell cycle and growth factors	Cdc14a	XM_227618
Cell cycle and growth factors	Smpd3	NM_053605
Cell signalling	Arl6	XM_344009
Cell signalling	Plxnb1	XM_236640
Cell signalling	Calm1	XM_579543
Cell signalling	Panx2	XM_579735
Chromatin remodeling – transcription	Smad4	NM_019275
Chromatin remodeling – transcription	Cbx6	XM_576309
Chromatin remodeling – transcription	Chc1l	NM_199084
Chromatin remodeling – transcription	Ttf2	XM_215670
Chromatin remodeling – transcription	Prickle1	XM_235609
Chromatin remodeling – transcription	Dnajb6	XM_342607
Chromatin remodeling – transcription	Mdc1	XM_227971
Cytoskeleton – cellular matrix		XM_226060
Cytoskeleton – cellular matrix	RGD1310323	NM_001008348
Cytoskeleton – cellular matrix	Add3	NM_031552
Cytoskeleton – cellular matrix	Cilp	XM_236348
Cytoskeleton – cellular matrix	Plekhh1	XM_234332
Electron transport – mitochondrion	Dhrs4	NM_153315
Ion channels – receptors	Boc	XM_340986
Ion channels – receptors	Ms4a11	XM_342028
Ion channels – receptors	LOC501049	XM_576464
Ion channels – receptors	Olfml2b	XM_222868
Ion channels – receptors	Trpv2	NM_017207
Oxidative stress	Prdx6	NM_053576
RNA processing and ribosomal	Mrps15	NM_001007653
RNA processing and ribosomal	Rps16	XM_341815
Vesicle trafficking	Sec24d	XM_227663
Vesicle trafficking	Sytl4	NM_080410
Other	Tekt2	XM_575908
Other	LOC500847	XM_576239
Other	Chst1	XM_575178
Other	Adhfe1	XM_342794
Other	Lypla2	NM_031342
Other	Pigl	NM_138901
Other	LOC365544	XM_345087
Other	Herpud1	NM_053523
Other	LOC367880	XM_579653
