Gene symbol	Gene name	P-value sub-group of survivors	P-value survivors
MUC5B	Mucin 5 subtype B. tracheobronchial	<0.001	0.063
ITGB3	Integrin beta 3 (platelet glycoprotein IIIa antigen CD61)	<0.001	0.097
DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59	<0.001	0.064
ALS2	Amyotrophic lateral sclerosis 2 (juvenile)	<0.001	0.16
SLC1A1	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter system Xag) member 1	<0.001	0.04
PSD	Pleckstrin and Sec7 domain protein	<0.001	0.064
EPPB9	B9 protein	<0.001	0.097
NULL	Homo sapiens?cDNA FLJ13268?fis?clone OVARC1000971	<0.001	0.142
PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	<0.001	0.176
TACC1	Transforming acidic coiled-coil containing protein 1	<0.001	0.025
CAPS	Calcyphosine	0.001	0.101
KIAA1698	KIAA1698?protein	0.001	0.064
DAF	Decay accelerating factor for complement?(CD55?Cromer blood group?system)	0.001	0.064
ZNF482	Zinc finger protein 482	0.001	0.101
SLC7A2	Solute carrier?family 7 (cationic?amino acid transporter.?y+ system). member 2	0.001	0.157
ITGB4	Integrin beta 4	0.003	0.101
SORL1	Sortilin-related receptor L(DLR class) A repeats-containing	0.003	0.16
C16orf45	Chromosome 16?open reading frame 45	0.003	0.097
MUM1	Melanoma associated antigen (mutated) 1	0.005	0.16
TIGA1	TIGA1	0.005	0.152
CDH3	Cadherin 3 type 1 P-cadherin (placental)	0.005	0.04
SEMA3B	Sema domain?immunoglobulin domain?(Ig) short basic domain secreted (semaphorin) 3B	0.005	0.192
CLU	clusterin?(complement lysis inhibitor.?SP-40.40.?sulfated glycoprotein 2.?testosterone-repressed prostate message 2.?apolipoprotein J)	0.006	0.064
DUX4	Double homeobox, 4	0.012	0.112
PLK2	Polo-like kinase 2 (Drosophila)	0.015	0.137
EGR1	Early growth response 1	0.016	0.166
P2RY5	Purinergic receptor?P2Y. G-protein coupled, 5	0.017	0.124
NULL	FLJ22528?fis?clone HRC12825	0.027	0.166
DHCR7	7-dehydrocholesterol reductase	0.027	0.193
SCARA3	Scavenger receptor class A. member 3	0.028	0.188
