Probe SetID	Gene Symbol	Gene Title
1053_at	RFC2	replication factor C (activator 1) 2, 40kDa
1729_at	TRADD	TNFRSF1A-associated via death domain
200737_at	PGK1	phosphoglycerate kinase 1
200738_s_at	PGK1	phosphoglycerate kinase 1
200795_at	SPARCL1	SPARC-like 1 (hevin)
200812_at	CCT7	chaperonin containing TCP1, subunit 7 (eta)
200853_at	H2AFZ	H2A histone family, member Z
200910_at	CCT3	chaperonin containing TCP1, subunit 3 (gamma)
200942_s_at	HSBP1	heat shock factor binding protein 1
200980_s_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
201000_at	AARS	alanyl-tRNA synthetase
201037_at	PFKP	phosphofructokinase, platelet
201463_s_at	LOC100133665 /// TALDO1	similar to transaldolase /// transaldolase 1
201467_s_at	NQO1	NAD(P)H dehydrogenase, quinone 1
201475_x_at	MARS	methionyl-tRNA synthetase
201491_at	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)
201494_at	PRCP	prolylcarboxypeptidase (angiotensinase C)
201581_at	TMX4	thioredoxin-related transmembrane protein 4
201584_s_at	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
201590_x_at	ANXA2	annexin A2
201648_at	JAK1	Janus kinase 1
201778_s_at	KIAA0494	KIAA0494
201790_s_at	DHCR7	7-dehydrocholesterol reductase
201791_s_at	DHCR7	7-dehydrocholesterol reductase
201821_s_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
201898_s_at	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
201924_at	AFF1	AF4/FMR2 family, member 1
201959_s_at	MYCBP2	MYC binding protein 2
201960_s_at	MYCBP2	MYC binding protein 2
201989_s_at	CREBL2	cAMP responsive element binding protein-like 2
202058_s_at	KPNA1	karyopherin alpha 1 (importin alpha 5)
202154_x_at	TUBB3	tubulin, beta 3
202188_at	NUP93	nucleoporin 93kDa
202432_at	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform
202533_s_at	DHFR	dihydrofolate reductase
202551_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
202552_s_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
202561_at	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
202570_s_at	DLGAP4	discs, large (Drosophila) homolog-associated protein 4
202671_s_at	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase
202697_at	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21
202705_at	CCNB2	cyclin B2
202712_s_at	CKMT1A /// CKMT1B	creatine kinase, mitochondrial 1A /// creatine kinase, mitochondrial 1B
202721_s_at	GFPT1	glutamine-fructose-6-phosphate transaminase 1
202771_at	FAM38A	family with sequence similarity 38, member A
202779_s_at	LOC731049 /// UBE2S	similar to Ubiquitin-conjugating enzyme E2S
203027_s_at	MVD	mevalonate (diphospho) decarboxylase
203339_at	SLC25A12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12
203350_at	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
203365_s_at	MMP15	matrix metallopeptidase 15 (membrane-inserted)
203418_at	CCNA2	cyclin A2
203420_at	FAM8A1	family with sequence similarity 8, member A1
203612_at	BYSL	bystin-like
203633_at	CPT1A	carnitine palmitoyltransferase 1A (liver)
203634_s_at	CPT1A	carnitine palmitoyltransferase 1A (liver)
203685_at	BCL2	B-cell CLL/lymphoma 2
203697_at	FRZB	frizzled-related protein
203755_at	BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)
203764_at	DLGAP5 discs, large (Drosophila) homolog-associated protein 5
203799_at	CD302	CD302 molecule
204106_at	TESK1	testis-specific kinase 1
204281_at	TEAD4	TEA domain family member 4
204565_at	ACOT13	acyl-CoA thioesterase 13
204603_at	EXO1	exonuclease 1
204793_at	GPRASP1	G protein-coupled receptor associated sorting protein 1
204825_at	MELK	maternal embryonic leucine zipper kinase
205024_s_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)
205219_s_at	GALK2	galactokinase 2
205224_at	SURF2	surfeit 2
205246_at	PEX13	peroxisomal biogenesis factor 13
205383_s_at	ZBTB20	zinc finger and BTB domain containing 20
205661_s_at	FLAD1	FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)
205933_at	SETBP1	SET binding protein 1
206199_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7
206240_s_at	ZNF136	zinc finger protein 136
206482_at	PTK6	PTK6 protein tyrosine kinase 6
206542_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
206555_s_at	THUMPD1	THUMP domain containing 1
206949_s_at	RUSC1	RUN and SH3 domain containing 1
207525_s_at	GIPC1	GIPC PDZ domain containing family, member 1
207833_s_at	HLCS	holocarboxylase synthetase (biotin-(proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)) ligase)
207933_at	ZP_2	zona pellucida glycoprotein 2 (sperm receptor)
208084_at	ITGB6	integrin, beta 6
208634_s_at	MACF1	microtubule-actin crosslinking factor 1
208785_s_at	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
208799_at	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5
208816_x_at	ANXA2P2	annexin A2 pseudogene 2
208968_s_at	CIAPIN1	cytokine induced apoptosis inhibitor 1
208977_x_at	TUBB2C	tubulin, beta 2C
209071_s_at	RGS5	regulator of G-protein signaling 5
209103_s_at	UFD1L	ubiquitin fusion degradation 1 like (yeast)
209199_s_at	MEF2C	myocyte enhancer factor 2C
209218_at	SQLE	squalene epoxidase
209260_at	SFN	stratifin
209285_s_at	C3orf63	chromosome 3 open reading frame 63
209336_at	PWP2	PWP2 periodic tryptophan protein homolog (yeast)
209642_at	BUB1	budding uninhibited by benzimidazoles 1 homolog (yeast)
209714_s_at	CDKN3	cyclin-dependent kinase inhibitor 3
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide
209825_s_at	UCK2	uridine-cytidine kinase 2
209832_s_at	CDT1	chromatin licensing and DNA replication factor 1
210235_s_at	PPFIA1	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
210427_x_at	ANXA2	annexin A2
210627_s_at	MOGS	mannosyl-oligosaccharide glucosidase
210688_s_at	CPT1A	carnitine palmitoyltransferase 1A (liver)
210761_s_at	GRB7	growth factor receptor-bound protein 7
210959_s_at	SRD5A1	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
211080_s_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2
211506_s_at	IL8	interleukin 8
211968_s_at	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1
212070_at	GPR56	G protein-coupled receptor 56
212141_at	MCM4	minichromosome maintenance complex component 4
212188_at	KCTD12	potassium channel tetramerisation domain containing 12
212189_s_at	COG4	component of oligomeric golgi complex 4
212205_at	H2AFV	H2A histone family, member V
212289_at	ANKRD12	ankyrin repeat domain 12
212498_at	---	---
212549_at	STAT5B	signal transducer and activator of transcription 5B
212581_x_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
212660_at	PHF15	PHD finger protein 15
212675_s_at	CEP68	centrosomal protein 68kDa
212914_at	CBX7	chromobox homolog 7
212936_at	FAM172A	family with sequence similarity 172, member A
212982_at	ZDHHC17	zinc finger, DHHC-type containing 17
212983_at	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
213016_at	BBX	bobby sox homolog (Drosophila)
213034_at	KIAA0999	KIAA0999 protein
213058_at	TTC28	tetratricopeptide repeat domain 28
213156_at	---	---
213158_at	---	---
213375_s_at	N4BP2L1	NEDD4 binding protein 2-like 1
213453_x_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
213476_x_at	TUBB3	tubulin, beta 3
213503_x_at	ANXA2	annexin A2
213562_s_at	SQLE	squalene epoxidase
213694_at	RSBN1	round spermatid basic protein 1
213721_at	SOX2	SRY (sex determining region Y)-box 2
213726_x_at	TUBB2C	tubulin, beta 2C
213796_at	SPRR1A	small proline-rich protein 1A
213911_s_at	H2AFZ	H2A histone family, member Z
214074_s_at	CTTN	cortactin
214118_x_at	PCM1	pericentriolar material 1
214444_s_at	PVR	poliovirus receptor
214686_at	ZNF266	zinc finger protein 266
214710_s_at	CCNB1	cyclin B1
215171_s_at	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
216977_x_at	SNRPA1	small nuclear ribonucleoprotein polypeptide A
217356_s_at	PGK1	phosphoglycerate kinase 1
217398_x_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
217562_at	FAM5C	family with sequence similarity 5, member C
217707_x_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
217733_s_at	TMSB10	thymosin beta 10
217755_at	HN1	hematological and neurological expressed 1
217772_s_at	MTCH2	mitochondrial carrier homolog 2 (C. elegans)
217957_at	C16orf80	chromosome 16 open reading frame 80
218039_at	NUSAP1	nucleolar and spindle associated protein 1
218057_x_at	COX4NB	COX4 neighbor
218074_at	FAM96B	family with sequence similarity 96, member B
218125_s_at	CCDC25	coiled-coil domain containing 25
218149_s_at	ZNF395	zinc finger protein 395
218259_at	MKL2	MKL/myocardin-like 2
218282_at	EDEM2	ER degradation enhancer, mannosidase alpha-like 2
218290_at	PLEKHJ1	pleckstrin homology domain containing, family J member 1
218336_at	PFDN2	prefoldin subunit 2
218353_at	RGS5	regulator of G-protein signaling 5
218497_s_at	RNASEH1	ribonuclease H1
218498_s_at	ERO1L	ERO1-like (S. cerevisiae)
218518_at	FAM13B	family with sequence similarity 13, member B
218614_at	C12orf35	chromosome 12 open reading frame 35
218662_s_at	NCAPG	non-SMC condensin I complex, subunit G
218663_at	NCAPG	non-SMC condensin I complex, subunit G
218739_at	ABHD5	abhydrolase domain containing 5
218755_at	KIF20A	kinesin family member 20A
218834_s_at	TMEM132A	transmembrane protein 132A
218990_s_at	SPRR3	small proline-rich protein 3
218996_at	TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)
