Fold increase	Map	Gene	Gene identity
2.02	17q	CBX1	Chromobox homolog 1 (HP1 ? homolog Drosophila)
2.2	3p21.31	SPCS1	Signal peptidase complex subunit 1 homolog (Saccharomyces cerevisiae)
2.34	17q23.1-q23.3	KPNA2	Karyopherin ? 2 (RAG cohort 1, importin ? 1)
2.5	22q12.3	YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, ? polypeptide
2.55	2q33-q34	EEF1B2	Eukaryotic translation elongation factor 1 ? 2
2.71	8p21.2	ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4
2.73	7p15-p12	ACTB	Actin, ?
2.79	15q13-q14	SCG5	Secretogranin V (7B2 protein)
2.85	6p21.1	SRF	Serum response factor (c-fos serum response element-binding transcription factor)
2.86	17q21.3	NME1	Nonmetastatic cells 1, protein (NM23A) expressed in
2.91	8p21-p12	EPHX2	Epoxide hydrolase 2, cytoplasmic
2.93	9q22-q31	ZNF189	Zinc finger protein 189
2.98	13q14.3	ITM2B	Integral membrane protein 2B
3	8q21	TPD52	Tumor protein D52
3.11	1q21	MLLT11	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11
3.12	9q34.11	RABEPK	Rab9 effector protein with kelch motifs
3.34	9q21.13	RFK	Riboflavin kinase
3.34	1p36.1	DDOST	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase
3.4	Xp11.2	RBM3	RNA binding motif (RNP1, RRM) protein 3
3.42	7q21-q22	SGCE	Sarcoglycan, ?
3.43	11p13	RCN1	Reticulocalbin 1, EF-hand calcium binding domain
3.47	12q22-q23	DUSP6	Dual specificity phosphatase 6
3.51	20q13.2-q13.3	GNAS	GNAS complex locus
3.66	10q11.21	BMS1	BMS1 homolog, ribosome assembly protein (yeast)
3.68	9q34.11	ARPC5 L	Actin-related protein 2/3 complex, subunit 5-like
3.7	19p13.2	ZNF177	Zinc finger protein 177
3.74	10p13	CELF2	CUGBP, Elav-like family member 2
3.76	19q13.1	SPINT2	Serine peptidase inhibitor, Kunitz type, 2
3.9	18p11.2	IMPA2	Inositol(myo)-1(or 4)-monophosphatase 2
3.91	14q24.1-q24.3	ARG2	Arginase, type II
3.92	14q11.2	IRF9	Interferon regulatory factor 9
3.95	1q21	SHC1	SHC (Src homology 2 domain containing) transforming protein 1
4.21	19p13.3	MIDN	Midnolin
4.3	12q12-q13	CD63	CD63 molecule
4.33	1p31.3	LEPROT	Leptin receptor overlapping transcript
4.47	12q12	SLC38A1	Solute carrier family 38, member 1
4.51	11p11	GNG3	Guanine nucleotide binding protein (G protein), ? 3
4.59	5q13	THBS4	Thrombospondin 4
5.05	1q21.3	PBXIP1	Pre-B-cell leukemia homeobox interacting protein 1
5.06	15q21-q22.2	B2M	?-2-microglobulin
5.53	1p31.2-p31.1	GADD45A	Growth arrest and DNA-damage-inducible, ?
5.91	Xq13.1-q28	IL13RA2	Interleukin 13 receptor, ? 2
6.02	9q13	PIP5K1B	Phosphatidylinositol-4-phosphate 5-kinase, type I, ?
6.05	3q13.33	SLC15A2	Solute carrier family 15 (H+/peptide transporter), member 2
6.74	6q23	SGK1	Serum/glucocorticoid regulated kinase 1
6.8	19q13.32	FOSB	FBJ murine osteosarcoma viral oncogene homolog B
7.09	12q24.13	ERP29	Endoplasmic reticulum protein 29
7.15	15q24-q25	CTSH	Cathepsin H
8.72	12q21	NTS	Neurotensin
9.1	6p21.3	HLA-B	Major histocompatibility complex, class I, B
9.58	6q27	THBS2	Thrombospondin 2
10.57	10q25	DUSP5	Dual specificity phosphatase 5
11.08	7q22	VGF	VGF nerve growth factor inducible
11.78	8q23-q24	PENK	Proenkephalin
