Rank	GenBank	Name	Symbol	Rank	HepG2	Hep3B
1	NM_014426	Sorting nexin 5	SNX5	11.7	2.39	0.2
2	NM_006302	Glucosidase I	GCS1	9.17	3.26	0.36
3	NM_000521	Hexosaminidase B	HEXB	7.98	2.18	0.27
4	AF080255	Transcription termination factor II	TTF2	4.45	2.27	0.51
5	AA011320	Spectrin, ß, erythrocytic	SPTB	4.42	2.98	0.67
6	NM_001966	EHHADH	EHHADH	4.41	3.38	0.77
7	NM_001281	Cytoskeleton associated protein 1	CKAP1	4.41	3.13	0.71
8	NM_000389	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1A	4.33	2.1	0.48
9	NM_000629	Interferon (·, ß and ˆ) receptor 1	IFNAR1	4.21	4.85	1.15
10	NM_006899	Isocitrate dehydrogenase 3 (NAD+) ß	IDH3B	4.07	2.79	0.69
11	NM_005815	Zinc finger protein 443	ZNF443	4.05	2.08	0.51
12	NM_022333	TIA1-like 1	TIAL1	4	2.11	0.53
13	AK027071	Transforming growth factor ß-stimulated protein TSC-22	TSC22	3.96	3.26	0.82
14	NM_017425	Sperm autoantigenic protein 17	SPA17	3.61	2.27	0.63
15	NM_002633	Phosphoglucomutase 1	PGM1	3.55	2.52	0.71
16	NM_003244	TGFB-induced factor (TALE family homeobox)	TGIF	3.42	2.26	0.66
17	D30612	Zinc finger protein 282	ZNF282	3.4	2.52	0.74
18	AF009674	Axin 1	AXIN1	3.36	4.2	1.25
19	NM_006704	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	SUGT1	3.22	2.46	0.76
20	AL080209	cAMP responsive element binding protein 3-like 2	CREB3L2	3.19	3.42	1.07
21	NM_016397	TH1-like (Drosophila)	TH1L	3.13	3.39	1.08
22	AL117407	MAP3K7IP2	MAP3K7IP2	3.08	2.36	0.77
23	NM_000745	Cholinergic receptor, nicotinic, · polypeptide 5	CHRNA5	3.06	2.5	0.82
24	BF698884	DC2 protein	DC2	3.04	3.08	1.01
25	NM_012288	Translocation associated membrane protein 2	TRAM2	3.03	2.49	0.82
26	NM_007273	Repressor of estrogen receptor activity	REA	3.01	3.02	1
27	NM_006084	Interferon-stimulated transcription factor 3, Á	ISGF3G	3.01	2.16	0.72
28	BC002971	Chaperonin containing TCP1, subunit 5 (Â)	CCT5	0.33	0.39	1.2
29	NM_002999	Syndecan 4 (amphiglycan, ryudocan)	SDC4	0.29	0.42	1.45
30	NM_020167	Neuromedin U receptor 2	NMU2R	0.29	0.47	1.64
31	NM_005471	Glucosamine-6-phosphate deaminase 1	GNPDA1	0.26	0.24	0.94
32	NM_002276	Keratin 19	KRT19	0.24	0.45	1.84
33	NM_005143	Haptoglobin	HP	0.24	0.52	2.16
34	NM_032593	Histidine triad nucleotide binding protein 2	HINT2	0.15	0.47	3.15
35	BC012778	Calmodulin regulated spectrin-associated protein 1	CAMSAP1	0.04	0.49	13.15
