Unigene	Gene name	Description	Map	Avg tumor/avg mucosa
Hs.65377	MARCH9	membrane-associated ring finger (C3HC4) 9	12q14.1	2.504587156
Hs.511897	SEPT1	septin 1	16p11.1	2.369477912
Hs.335057	SEPT2	septin 2, transcript variant 4	2q37	1.696491228
Hs.105956	A4GALT	alpha 1,4-galactosyltransferase	22q11.2-q13.2	1.911242604
Hs.83347	AAMP	angio-associated, migratory cell protein	2q35	1.930455635
Hs.315137	AARS	alanyl-tRNA synthetase	16q22	1.845
Hs.158381	AARSL	alanyl-tRNA synthetase like	6p21.1	2.346303502
Hs.421202	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2, transcript variant 2	9q34	1.517482517
Hs.9573	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	6p21.33	1.519886364
Hs.480218	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	4q22	0.415447154
Hs.182476	ABHD11	abhydrolase domain containing 11, transcript variant 2	7q11.23	1.97721519
Hs.534400	ABHD14A	abhydrolase domain containing 14A	3p21.1	2.042435424
Hs.549108	ABHD2	abhydrolase domain containing 2, transcript variant 2	15q26.1	1.804577465
Hs.431048	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1, transcript variant b	9q34.1	1.710106383
Hs.159472	ABL2	V-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	1q24-q25	0.592551417
Hs.200051	ACBD6	acyl-Coenzyme A binding domain containing 6	1q25.2-q25.3	1.699453552
Hs.124490	ACIN1	apoptotic chromatin condensation inducer 1	14q11.2	1.765591398
Hs.42785	ACN9	ACN9 homolog (S. cerevisiae)	7q21.3	1.759668508
Hs.532492	ACP2	acid phosphatase 2, lysosomal	11p11.2-p11.11	1.469745223
Hs.293394	ACPT	acid phosphatase, testicular, transcript variant A3	19q13.4	0.583560152
Hs.514581	ACTG1	actin, gamma 1	17q25	1.94984326
Hs.393201	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	2p14	0.515250545
Hs.371585	ACTR5	ARP5 actin-related protein 5 homolog (yeast)	20q11.23	1.636363636
Hs.334707	ACY1	aminoacylase 1	3p21.1	1.936681223
Hs.312098	ADAM15	a disintegrin and metalloproteinase domain 15 (metargidin)), transcript variant 2	1q21.3	2.166666667
Hs.173716	ADAM33	a disintegrin and metalloproteinase domain 33, transcript variant 2	20p13	0.678618858
Hs.534115	ADAMTS1	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	21q21.2	0.411687459
Hs.131433	ADAMTS13	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 13, transcript variant 3	9q34	1.626213592
Hs.12341	ADAR	adenosine deaminase, RNA-specific, transcript variant ADAR-c	1q21.1-q21.2	1.979104478
Hs.525401	ADCY6	adenylate cyclase 6, transcript variant 2	12q12-q13	1.699669967
Hs.183706	ADD1	adducin 1 (alpha), transcript variant 1	4p16.3	0.418056919
Hs.501012	ADD3	adducin 3 (gamma), transcript variant 2	10q24.2-q24.3	2.41292876
Hs.78989	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	4q21-q25	0.646975089
Hs.441047	ADM	adrenomedullin	11p15.4	2.182662539
Hs.449099	ADM2	adrenomedullin 2	22q13.33	4
Hs.293736	ADNP	activity-dependent neuroprotector, transcript variant 2	20q13.13	1.897810219
Hs.83636	ADRBK1	adrenergic, beta, receptor kinase 1	11q13	1.961945032
Hs.90107	ADRM1	adhesion regulating molecule 1, transcript variant 2	20q13.33	2.680981595
Hs.375179	ADSSL1	adenylosuccinate synthase like 1, transcript variant 2	14q32.33	2.063324538
Hs.376780	AEGP	apical early endosomal glycoprotein precursor	9q34.3	1.556657224
Hs.515053	AES	Amino-terminal enhancer of split	19p13.3	1.681818182
Hs.513832	AFG3L1	AFG3 ATPase family gene 3-like 1 (yeast)	16q24.3	1.821852732
Hs.513832	AFG3L1	AFG3 ATPase family gene 3-like 1 (yeast)	16q24.3	1.527607362
Hs.518808	AFP	alpha-fetoprotein	4q11-q13	1.589552239
Hs.461532	AGMAT	Agmatine ureohydrolase (agmatinase)	1p36.13	0.598371479
Hs.516543	AGPS	Alkylglycerone phosphate synthase	2q31	2.23857868
Hs.19383	AGT	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8)	1q42-q43	1.85
Hs.144567	AGXT	Alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)	2q36-q37	1.601918465
Hs.388004	AHCY	S-adenosylhomocysteine hydrolase	20cen-q13.1	1.815513627
Hs.129829	AIRE	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy), transcript variant 3	21q22.3	1.60268714
Hs.105105	AKAP11	A kinase (PRKA) anchor protein 11, transcript variant 1	13q14.11	2.362190813
