Gene Name	P-value	Common	Genbank	Description
	7.02E-05	LOC51255	NM_016494.2	Homo sapiens hypothetical protein LOC51255 (LOC51255), mRNA.
	6.97E-05	DHX15	NM_001358.1	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 15 (DHX15), mRNA.
	6.91E-05	FLJ20772	NM_017956.1	Homo sapiens hypothetical protein FLJ20772 (FLJ20772), mRNA.
Hs.12867	6.90E-05		null	Cluster 12867 , UniGene build 163
	6.86E-05	LOC201191	NM_174920.2	Homo sapiens hypothetical protein LOC201191 (LOC201191), mRNA.
	6.83E-05	UBE2V2	NM_003350.2	Homo sapiens ubiquitin-conjugating enzyme E2 variant 2 (UBE2V2), mRNA.
Hs.438595	6.80E-05		null	Cluster 438595 , UniGene build 163
	6.78E-05	TRIM3	NM_006458.2	Homo sapiens tripartite motif-containing 3 (TRIM3), transcript variant 1, mRNA.
	6.71E-05	MORF4L2	NM_012286.1	Homo sapiens mortality factor 4 like 2 (MORF4L2), mRNA.
	6.68E-05	NDUFS7	NM_024407.3	Homo sapiens NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase) (NDUFS7), mRNA.
	6.58E-05	hmm36295	null	Gnomon gene hmm36295 , RefSeq build 34
	6.55E-05	FLJ37940	NM_178534.2	Homo sapiens hypothetical protein FLJ37940 (FLJ37940), mRNA.
	6.46E-05	POLDIP2	NM_015584.2	Homo sapiens polymerase (DNA-directed), delta interacting protein 2 (POLDIP2), mRNA.
	6.44E-05	ANAPC4	NM_013367.2	Homo sapiens anaphase promoting complex subunit 4 (ANAPC4), mRNA.
	6.38E-05	UTF1	NM_003577.1	Homo sapiens undifferentiated embryonic cell transcription factor 1 (UTF1), mRNA.
	6.36E-05	ZNF408	NM_024741.1	Homo sapiens zinc finger protein 408 (ZNF408), mRNA.
	6.30E-05	MYH14	NM_024729.2	Homo sapiens myosin, heavy polypeptide 14 (MYH14), mRNA.
	6.29E-05	DNCL2A	NM_177954.1	Homo sapiens dynein, cytoplasmic, light polypeptide 2A (DNCL2A), transcript variant 3, mRNA.
Hs.495192	6.15E-05		null	Cluster 495192 , UniGene build 163
	6.12E-05	LOC149659	XM_086622.2	Homo sapiens hypothetical LOC149659 (LOC149659), mRNA.
	6.09E-05	HIPK4	NM_144685.3	Homo sapiens homeodomain interacting protein kinase 4 (HIPK4), mRNA.
	6.02E-05	C19orf12	NM_031448.2	Homo sapiens chromosome 19 open reading frame 12 (C19orf12), mRNA.
	5.96E-05	hmm35094	null	Gnomon gene hmm35094 , RefSeq build 34
	5.91E-05	MLH1	NM_000249.2	Homo sapiens mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli) (MLH1), mRNA.
	5.85E-05	ASH2L	NM_004674.1	Homo sapiens ash2 (absent, small, or homeotic)-like (Drosophila) (ASH2L), mRNA.
	5.84E-05	TBCE	NM_003193.2	Homo sapiens tubulin-specific chaperone e (TBCE), mRNA.
	5.84E-05	PROL5	NM_012390.1	Homo sapiens proline rich 5 (salivary) (PROL5), mRNA.
	5.84E-05	hmm20047	null	Gnomon gene hmm20047 , RefSeq build 34
	5.79E-05	CSE1L	NM_001316.2	Homo sapiens CSE1 chromosome segregation 1-like (yeast) (CSE1L), transcript variant 1, mRNA.
	5.71E-05	TNFRSF13B	NM_012452.2	Homo sapiens tumor necrosis factor receptor superfamily, member 13B (TNFRSF13B), mRNA.
	5.70E-05	ZNF410	NM_021188.1	Homo sapiens zinc finger protein 410 (ZNF410), mRNA.
Hs.463343	5.67E-05		null	Cluster 463343 , UniGene build 163
	5.67E-05	PSMB9	NM_148954.1	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2) (PSMB9), transcript variant 2, mRNA.
	5.39E-05	BCR	NM_021574.1	Homo sapiens breakpoint cluster region (BCR), transcript variant 2, mRNA.
	5.35E-05	CHIC2	NM_012110.2	Homo sapiens cysteine-rich hydrophobic domain 2 (CHIC2), mRNA.
	5.33E-05	LRRFIP1	NM_004735.1	Homo sapiens leucine rich repeat (in FLII) interacting protein 1 (LRRFIP1), mRNA.
Hs.450384	5.27E-05		null	Cluster 450384 , UniGene build 163
	5.25E-05	CCL14	NM_032963.2	Homo sapiens chemokine (C-C motif) ligand 14 (CCL14), transcript variant 3, mRNA.
Hs.190160	5.25E-05		null	Cluster 190160 , UniGene build 163
	5.24E-05	FLJ14936	NM_032864.2	Homo sapiens hypothetical protein FLJ14936 (FLJ14936), mRNA.
	5.16E-05	FLJ14494	NM_032795.1	Homo sapiens hypothetical protein FLJ14494 (FLJ14494), mRNA.
	5.15E-05	LOC339260	XM_290787.1	Homo sapiens similar to Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (LOC339260), mRNA.
	5.14E-05	hmm29997	null	Gnomon gene hmm29997 , RefSeq build 34
	5.07E-05	THAP1	NM_018105.2	Homo sapiens THAP domain containing, apoptosis associated protein 1 (THAP1), transcript variant 1, mRNA.
	5.00E-05	DBN1	NM_080881.1	Homo sapiens drebrin 1 (DBN1), transcript variant 2, mRNA.
	4.92E-05	hmm25717	null	Gnomon gene hmm25717 , RefSeq build 34
	4.88E-05	PODN	NM_153703.3	Homo sapiens podocan (PODN), mRNA.
	4.85E-05	FOSL1	NM_005438.2	Homo sapiens FOS-like antigen 1 (FOSL1), mRNA.
	4.85E-05	hmm36432	null	Gnomon gene hmm36432 , RefSeq build 34
	4.84E-05	TDE2	NM_020755.2	Homo sapiens tumor differentially expressed 2 (TDE2), mRNA.
	4.83E-05	hmm20344	null	Gnomon gene hmm20344 , RefSeq build 34
	4.79E-05	LOC375811	XM_353506.1	Homo sapiens LOC375811 (LOC375811), mRNA.
	4.76E-05	LOC389065	XM_371584.1	Homo sapiens similar to RIKEN cDNA B830010L13 gene (LOC389065), mRNA.
