Gene symbol	Map	Gene name	P (CLL)	P (MEG-01)
ALDH6A1	14q24.3	Aldehyde dehydrogenase 6 family, member A1	0.0297	0.00798
ARFIP1	4q31.3	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	0.0114	0.0108
ARV1	1q42.2	ARV1 homolog (yeast)	0.0156	0.000825
ASXL2	2p24.1	additional sex combs like 2 (Drosophila)	0.00875	0.000503
C10orf104	10q22.1	chromosome 10 open reading frame 104	0.00863	0.000428
C14orf109	14q32.13	chromosome 14 open reading frame 109	0.00863	0.00994
CARD8	19q13.32	caspase recruitment domain family, member 8	0.00446	0.00078
CDC14B	9q22.33	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	0.0482	0.0017
CENPJ	13q12.12	centromere protein J	0.00946	0.0025
Cep63	3q22.1	centrosome protein Cep63	0.0049	0.0137
CREBL2	12p13	cAMP responsive element binding protein-like 2	0.00457	0.0199
ECHDC1	6q22.33	enoyl Coenzyme A hydratase domain containing 1	0.00323	0.00582
FLJ10287	1pter-q31.3	hypothetical protein FLJ10287	0.00552	0.0115
FLJ13955	8q22.2	NIPA-like domain containing 2	0.0137	0.00269
FLJ20534	4q33	hypothetical protein FLJ20534	0.00464	0.000531
FLJ21820	2p24.1	hypothetical protein FLJ21820	0.0287	0.00956
FLJ33167	4q35.1	hypothetical protein FLJ33167	0.0117	0.00192
GOLGA5	14q32.12	golgi autoantigen, golgin subfamily a, 5	0.0366	0.000362
GOLPH3L	1q21.2	golgi phosphoprotein 3-like	0.0382	0.00554
GTF2H1	11p15.1-p14	general transcription factor IIH, polypeptide 1, 62kDa	0.0217	0.00125
H3F3B	17q25	H3 histone, family 3B (H3.3B)	0.0415	0.000796
HACE1	6q21	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	0.0125	0.0115
HDHD2	18q21.1	haloacid dehalogenase-like hydrolase domain containing 2	0.0355	0.00905
HERC6	4q22.1	hect domain and RLD 6	0.0116	0.00107
HLC-8	17q25.1	lung cancer-related protein 8	0.0124	0.0164
HRSP12	8q22	heat-responsive protein 12	0.0114	0.00718
HSDL2	9q32	hydroxysteroid dehydrogenase like 2	0.00178	0.00254
HSPA1A	6p21.3	heat shock 70kDa protein 1A	0.0429	0.00506
JUN	1p32-p31	v-jun sarcoma virus 17 oncogene homolog (avian)	0.0281	0.00059
KIAA1935	5q33.3	KIAA1935 protein	0.0183	0.0136
LARS	5q32	leucyl-tRNA synthetase	0.00696	0.00239
LOC159091	Xq26.3	Hypothetical protein BC017868	0.0256	0.00396
LOC286052	8q24.13	hypothetical protein LOC286052	0.0127	0.011
LOC339804	2p15	hypothetical gene supported by AK075484; BC014578	0.00627	0.00229
LOC388650	1p22.1	Ribosomal protein L5	0.0408	0.000428
MCL1	1q21	Myeloid cell leukemia sequence 1 (BCL2-related)	0.00863	0.011
MSH2	2p22-p21	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	0.0242	0.00192
NT5C2L1	6q22.1	5-nucleotidase, cytosolic II-like 1	0.0172	0.0139
OMA1	1p32.2-p32.1	OMA1 homolog, zinc metallopeptidase (S. cerevisiae)	0.00446	0.0158
OSGEPL1	2q32.2	O-sialoglycoprotein endopeptidase-like 1	0.0128	0.0051
OTUD1	10p12.31	OTU domain containing 1	0.0291	0.00102
PDCD6IP	3p23	programmed cell death 6 interacting protein	0.0214	0.00276
PHKB	16q12-q13	Phosphorylase kinase, beta	0.013	0.000561
PMS1	2q31-q33	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	0.0228	0.0489
PNN	14q21.1	pinin, desmosome associated protein	0.0049	0.00359
PRIM1	12q13	primase, polypeptide 1, 49kDa	0.00627	0.000887
PTENP1	9p21	phosphatase and tensin homolog, pseudogene 1	0.00606	0.006
RAD51C	17q22-q23	RAD51 homolog C (S. cerevisiae)	0.0075	0.00334
RHOT1	17q11.2	ras homolog gene family, member T1	0.00695	0.0197
RNASEL	1q25	ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)	0.0059	0.00917
SCAP2	7p21-p15	src family associated phosphoprotein 2	0.0298	0.0108
SLC35A1	6q15	solute carrier family 35 (CMP-sialic acid transporter), member A1	0.00178	0.00341
SLC35B3	6p24.3	solute carrier family 35, member B3	0.00601	0.0208
TIA1	2p13	TIA1 cytotoxic granule-associated RNA binding protein	0.0116	0.0116
TRA1	12q24.2-q24.3	tumor rejection antigen (gp96) 1	0.00496	0.0211
UGDH	4p15.1	UDP-glucose dehydrogenase	0.0279	0.0192
UGP2	2p14-p13	UDP-glucose pyrophosphorylase 2	0.00446	0.000629
VPS45A	1q21-q22	vacuolar protein sorting 45A (yeast)	0.0117	0.000788
WASPIP	2q31.1	Wiskott-Aldrich syndrome protein interacting protein	0.00783	0.0108
ZNF559	19p13.2	zinc finger protein 559 ; zinc finger protein 559	0.0412	0.00252
