GenBank ID	Gene Symbol	Gene Name	Gene Information
V00478	ACTB	actin, beta	Known Genes
D26579	ADAM8	a disintegrin and metalloproteinase domain 8	Known Genes
D14874	ADM	adrenomedullin	Known Genes
H78430	AHSG	alpha-2-HS-glycoprotein	Known Genes
W92633	AIB3	thyroid hormone receptor binding protein	Known Genes
AF024714	AIM2	absent in melanoma 2	Known Genes
X60673	AK3	adenylate kinase 3	Known Genes
AF047002	ALY	transcriptional coactivator	Known Genes
AI341261	ANLN	anillin (Drosophila Scraps homolog), actin binding protein	Known Genes
J03578	ANXA6	annexin A6	Known Genes
U81504	AP3B1	adaptor-related protein complex 3, beta 1 subunit	Known Genes
AA916826	APP	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	Known Genes
L20688	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	Known Genes
AF006086	ARPC3	actin related protein 2/3 complex, subunit 3 (21 kD)	Known Genes
L24203	ATDC	ataxia-telangiectasia group D-associated protein	Known Genes
U51478	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	Known Genes
AA148566	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	Known Genes
W27948	ATP6S1	ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1	Known Genes
U75285	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	Known Genes
L13689	BMI1	murine leukemia viral (bmi) oncogene homolog	Known Genes
W91908	BRAG	B cell RAG associated protein	Known Genes
AF068760	BUB1B	budding uninhibited by benzimidazoles 1 (yeast homolog), beta	Known Genes
AF028824	C19ORF3	chromosome 19 open reading frame 3	Known Genes
J04080	C1S	complement component 1, s subcomponent	Known Genes
M15082	C2	complement component 2	Known Genes
AA600048	CALD1	caldesmon 1	Known Genes
AA621719	CAP-C	chromosome-associated polypeptide C	Known Genes
AA557142	CD2AP	CD2-associated protein	Known Genes
Z11697	CD83	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	Known Genes
H52870	CDC10	CDC10 (cell division cycle 10, S. cerevisiae, homolog)	Known Genes
AA421724	CDC20	CDC20 (cell division cycle 20, S. cerevisiae, homolog)	Known Genes
X63629	CDH3	cadherin 3, type 1, P-cadherin (placental)	Known Genes
AB011536	CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3, flamingo (Drosophila) homolog	Known Genes
X95404	CFL1	cofilin 1 (non-muscle)	Known Genes
X54941	CKS1	CDC28 protein kinase 1	Known Genes
X54942	CKS2	CDC28 protein kinase 2	Known Genes
AA001074	CNNM4	Cyclin M4	Known Genes
AA977821	COL1A1	collagen, type I, alpha 1	Known Genes
J03464	COL1A2	collagen, type I, alpha 2	Known Genes
X14420	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	Known Genes
AI140851	COL6A1	collagen, type VI, alpha 1	Known Genes
J04823	COX8	cytochrome c oxidase subunit VIII	Known Genes
AA523543	CRABP1	cellular retinoic acid-binding protein 1	Known Genes
AA905901	CRSP3	cofactor required for Sp1 transcriptional activation, subunit 3 (130kD)	Known Genes
X16312	CSNK2B	casein kinase 2, beta polypeptide	Known Genes
U16306	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	Known Genes
U40763	CYP	Clk-associating RS-cyclophilin	Known Genes
AA579959	CYP2S1	cytochrome P540 family member predicted from ESTs	Known Genes
AA863145	DAO	D-amino-acid oxidase	Known Genes
AI287670	DDEF1	Development and differentiation enhancing factor 1	Known Genes
AI159886	DDX21	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 21	Known Genes
U90426	DDXL	nuclear RNA helicase, DECD variant of DEAD box family	Known Genes
AA921756	DIA4	diaphorase (NADH/NADPH) (cytochrome b-5 reductase)	Known Genes
M91670	E2-EPF	ubiquitin carrier protein	Known Genes
AA457022	E2IG5	hypothetical protein, estradiol-induced	Known Genes
U32645	ELF4	E74-like factor 4 (ets domain transcription factor)	Known Genes
AF010314	ENC1	ectodermal-neural cortex (with BTB-like domain)	Known Genes
AF027299	EPB41L2	erythrocyte membrane protein band 4.1-like 2	Known Genes
L36645	EPHA4	EphA4	Known Genes
AA983304	ERH	enhancer of rudimentary (Drosophila) homolog	Known Genes
AI627919	Evi-1	ecotropic viral integration site 1	Known Genes
X02761	FN1	fibronectin 1	Known Genes
L16783	FOXM1	forkhead box M1	Known Genes
M14333	FYN	FYN oncogene related to SRC, FGR, YES	Known Genes
N36998	GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	Known Genes
AA418167	GATA3	GATA-binding protein 3	Known Genes
U78027	GLA	galactosidase, alpha	Known Genes
AF040260	GMDS	GDP-mannose 4,6-dehydratase	Known Genes
