LocusLink	Name
27	V-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)
51	Acyl-Coenzyme A oxidase 1, palmitoyl
86	Actin-like 6A
91	Activin A receptor, type IB
135	Adenosine A2a receptor
143	Poly (ADP-ribose) polymerase family, member 4
339	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
360	Aquaporin 3
396	Rho GDP dissociation inhibitor (GDI) alpha
439	ArsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
477	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide
489	ATPase, Ca++ transporting, ubiquitous
528	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1
545	Ataxia telangiectasia and Rad3 related
549	AU RNA binding protein/enoyl-Coenzyme A hydratase
590	Butyrylcholinesterase
604	B-cell CLL/lymphoma 6 (zinc finger protein 51)
622	3-hydroxybutyrate dehydrogenase (heart, mitochondrial)
624	Bradykinin receptor B2
644	Biliverdin reductase A
662	BCL2/adenovirus E1B 19kDa interacting protein 1
663	BCL2/adenovirus E1B 19kDa interacting protein 2
715	Complement component 1, r subcomponent
727	Complement component 5
773	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
846	Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)
883	Cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)
921	CD5 antigen (p56-62)
942	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)
954	Ectonucleoside triphosphate diphosphohydrolase 2
962	CD48 antigen (B-cell membrane protein)
994	Cell division cycle 25B
1004	Cadherin 6, type 2, K-cadherin (fetal kidney)
1014	Cadherin 16, KSP-cadherin
1039	Cerebellar degeneration-related protein 2, 62kDa
1164	CDC28 protein kinase regulatory subunit 2
1196	CDC-like kinase 2
1203	Ceroid-lipofuscinosis, neuronal 5
1282	Collagen, type IV, alpha 1
1288	Collagen, type IV, alpha 6
1359	Carboxypeptidase A3 (mast cell)
1371	Coproporphyrinogen oxidase
1384	Carnitine acetyltransferase
1386	Activating transcription factor 2
1396	Cysteine-rich protein 1 (intestinal)
1399	V-crk sarcoma virus CT10 oncogene homolog (avian)-like
1401	C-reactive protein, pentraxin-related
1421	Crystallin, gamma D
1457
1475	Cystatin A (stefin A)
1513	Cathepsin K (pycnodysostosis)
1514
1515	Cathepsin L2
1521	Cathepsin W (lymphopain)
1551	Cytochrome P450, family 3, subfamily A, polypeptide 7
1777	Deoxyribonuclease II, lysosomal
1781	Dynein, cytoplasmic, intermediate polypeptide 2
1811	Solute carrier family 26, member 3
1857	Dishevelled, dsh homolog 3 (Drosophila)
1902	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2
1945	Ephrin-A4
2022	Endoglin (Osler-Rendu-Weber syndrome 1)
2027	Enolase 3 (beta, muscle)
2059	Epidermal growth factor receptor pathway substrate 8
2071	Excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)
2099	Estrogen receptor 1
2120	Ets variant gene 6 (TEL oncogene)
2193	Phenylalanine-tRNA synthetase-like, alpha subunit
2220	Ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)
2242	Feline sarcoma oncogene
2322	Fms-related tyrosine kinase 3
2339	Farnesyltransferase, CAAX box, alpha
2395	Frataxin
2548	Glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
2590	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
