Category	GeneBank	Description	Fold change	t test
Lipid metabolism	NM_004915	ATP-binding cassette, subfamily G	>2.02	0.00465
Lipid metabolism	AL037401	Nuclear receptor subfamily 2, group F, member 2	>1.55	0.02867
Lipid metabolism	NM_005502	ATP-binding cassette subfamily A (ABC1), member1	>1.44	0.01149
Lipid metabolism	NM_001443	fatty acid-binding protein 1, liver	<1.34	0.02451
Enzymes	NM_004481	UDP-N-acetyl-a-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 2	>1.44	0.02236
Enzymes	NM_019885	Cytochrome P450, family 26, subfamily B, polypeptide 1	>1.42	0.03091
Enzymes	L14561	ATPase, Ca2+ transporting, plasma membrane 1	>1.41	0.03781
Enzymes	NM_000717	Carbonic anhydrase IV	<1.78	0.00265
Enzymes	NM_006169	Nicotinamide N-methyltransferase	<1.59	0.00223
Enzymes	NM_000713	Biliverdin reductase B (flavin reductase (NADPH)	<1.40	0.00224
Enzymes	NM_000767	Cytochrome P450, family 2, subfamily B, polypeptide 6	<1.36	0.00112
Transcription and other factors involved in regulation of mRNA level	BE675516	Trophoblast-derived noncoding RNA	>1.95	0.01542
Transcription and other factors involved in regulation of mRNA level	AI652633	cAMP responsive element-binding protein 1	>1.58	0.01878
Transcription and other factors involved in regulation of mRNA level	BG250310	Zinc finger protein 36, C3H type-like 1	>1.28	0.03537
Transcription and other factors involved in regulation of mRNA level	NM_021190	Polypyrimidine tract-binding protein 2	>1.27	0.04029
Transcription and other factors involved in regulation of mRNA level	AA524053	Splicing factor, arginine/serine-rich 7, 35 kDa	>1.27	0.02211
Transcription and other factors involved in regulation of mRNA level	AF065391	Zinc finger protein 265	>1.26	0.04986
Cytoskeleton	NM_003186	Transgelin	<1.61	0.01287
Secreted proteins	SAA2	Serum amyloid A2	<2.65	0.00096
Secreted proteins	AK026461	Angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	<1.80	0.01163
Secreted proteins	L10343	Protease inhibitor 3, skin-derived (SKALP)	<1.77	0.00304
Secreted proteins	NM_000608	Orosomucoid 1	<1.76	0.00844
Secreted proteins	NM_003064	Secretory leucocyte protease inhibitor	<1.71	0.00593
Secreted proteins	NM_002521	Natriuretic peptide precursor B	<1.62	0.04629
Secreted proteins	AF162690	Transthyretin (prealbumin, amyloidosis type I)	<1.49	0.00199
Secreted proteins	BG166705	Chemokine (C–X–C motif) ligand 5	<1.46	0.00413
Secreted proteins	AF043337	Interleukin 8	<1.40	0.04465
Secreted proteins	NM_000715	Complement component 4-binding protein, a	<1.40	0.03706
Cell adhesion	BF508848	Pinin, desmosome-associated protein	>1.33	0.00996
Cell adhesion	U07969	Cadherin 17, LI cadherin (liver—intestine)	<1.49	0.00711
Protein kinases	AI742210	PCTAIRE protein kinase 2	>1.58	0.00087
Protein kinases	NM_005813	Protein kinase C, nu activated by diacilglycerol	>1.55	0.04731
Protein kinases	AF212224	CDC-like kinase 1	>1.38	0.00513
Protein kinases	NM_005433	v-yes-1 Yamaguchi sarcoma viral oncogene homologue 1	>1.29	0.0075
Miscellaneous	NM_004405	Distal-less homeo box 2	>1.71	0.00209
Miscellaneous	NM_012238	Sirtuin (silent-mating type) information regulation 2 homologue) 1	>1.69	0.02864
Miscellaneous	AL524520	G-protein-coupled receptor 49	>1.67	0.00428
Miscellaneous	BF673013	abl-interactor 1	>1.35	0.00398
Miscellaneous	NM_006118	HS1-binding protein	>1.31	0.01178
Miscellaneous	AL096776	Ras homologue gene family, member U	>1.23	0.00283
Miscellaneous	NM_005980	S100 calcium-binding protein P	<1.66	0.0067
Miscellaneous	NM2812	Proteasome 26S subunit, non-ATPase, 8	<1.23	0.00741
Miscellaneous	AF152354	Translocase of inner mitochondrial membrane 10 homologue	<1.22	0.00741
ESTs and genes with unknown function	AL133653	Testis expressed sequence 15	>2.15	0.03453
ESTs and genes with unknown function	AA779297	KIAA0276 protein	>1.89	0.00476
ESTs and genes with unknown function	AK025933	KIAA0692 protein	>1.77	0.00062
ESTs and genes with unknown function	NM_017664	Ankyrin repeat domain 10	>1.58	0.02146
ESTs and genes with unknown function	AK021814	NTKL-binding protein 1	>1.56	0.04478
ESTs and genes with unknown function	AB051515	KIAA1728 protein	>1.4	0.00705
ESTs and genes with unknown function	NM_014873	Family with sequence similarity 34, member A	>1.4	0.03127
ESTs and genes with unknown function	AI400587	Hypothetical protein FLJ22490	>1.3	0.01542
ESTs and genes with unknown function	AB051480	Hypothetical protein FLJ20719	>1.15	0.02642
