Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
1405_i_at	M21121	6352	small inducible cytokine A5 (RANTES)	|5102|4871|8083|6935|6928|8151|6886|15031|6810|7155|7154|6955|6952|9607|9605|9615|9613|6950|7165|7267|6954|9611|30003|6873|19725|6968|6979|3800|3793|	|48|	|17|17q|17q11|	M21121 /FEATURE= /DEFINITION=HUMTCSM Human T cell-specific protein (RANTES) mRNA, complete cds
200001_at	NM_001749	826	calpain, small subunit 1	|4198|4197|8233|16787|3824|5509|5488|8284|8283|8151|		|19|19q|19q13|	gb:NM_001749.1 /DEF=Homo sapiens calpain 4, small subunit (30K) (CAPN4), mRNA. /FEA=mRNA /GEN=CAPN4 /PROD=calpain 4 small subunit /DB_XREF=gi:4502564 /UG=Hs.74451 calpain 4, small subunit (30K) /FL=gb:BC000592.1 gb:NM_001749.1
200006_at	NM_007262	11315	RNA-binding protein regulatory subunit	|5634|5622|5623|5737|7264|7242|7165|7154|		|1|1p|1p36|	gb:NM_007262.1 /DEF=Homo sapiens RNA-binding protein regulatory subunit (DJ-1), mRNA. /FEA=mRNA /GEN=DJ-1 /PROD=RNA-binding protein regulatory subunit /DB_XREF=gi:6005748 /UG=Hs.10958 RNA-binding protein regulatory subunit /FL=gb:AF021819.1 gb:NM_007262.
200015_s_at	NM_004404	4735	neural precursor cell expressed, developmentally down-regulated 5		|735|	|2|2q|	gb:NM_004404.1 /DEF=Homo sapiens neural precursor cell expressed, developmentally down-regulated 5 (NEDD5), mRNA.  /FEA=mRNA /GEN=NEDD5 /PROD=neural precursor cell expressed, developmentallydown-regulated 5 /DB_XREF=gi:4758157 /UG=Hs.155595 neural precur
200021_at	NM_005507	1072	cofilin 1 (non-muscle)	|5634|5622|5623|8092|5515|5488|6913|16482|6810|8151|7264|7242|7165|7154|	|241|	|11|11q|	gb:NM_005507.1 /DEF=Homo sapiens cofilin 1 (non-muscle) (CFL1), mRNA. /FEA=mRNA /GEN=CFL1 /PROD=cofilin 1 (non-muscle) /DB_XREF=gi:5031634 /UG=Hs.180370 cofilin 1 (non-muscle) /FL=gb:NM_005507.1
200037_s_at	NM_016587	11335	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	|5634|5622|5623|3682|3677|3676|	|385|1393|	|7|7p|7p15|	gb:NM_016587.1 /DEF=Homo sapiens heterochromatin-like protein 1 (HECH), mRNA. /FEA=mRNA /GEN=HECH /PROD=heterochromatin-like protein 1 /DB_XREF=gi:7705406 /UG=Hs.278554 heterochromatin-like protein 1 /FL=gb:AF136630.1 gb:NM_016587.1
200039_s_at	NM_002794	5690	proteasome (prosome, macropain) subunit, beta type, 2	|5829|5737|5622|5623|	|227|	|1|1p|1p34|	gb:NM_002794.1 /DEF=Homo sapiens proteasome (prosome, macropain) subunit, beta type, 2 (PSMB2), mRNA.  /FEA=mRNA /GEN=PSMB2 /PROD=proteasome (prosome, macropain) subunit, betatype, 2 /DB_XREF=gi:4506194 /UG=Hs.1390 proteasome (prosome, macropain) subunit
200043_at	NM_004450	2079	enhancer of rudimentary homolog (Drosophila)	|74|7049|8151|6139|8152|		|7|7q|	gb:NM_004450.1 /DEF=Homo sapiens enhancer of rudimentary (Drosophila) homolog (ERH), mRNA.  /FEA=mRNA /GEN=ERH /PROD=enhancer of rudimentary (Drosophila) homolog /DB_XREF=gi:4758301 /UG=Hs.118757 enhancer of rudimentary (Drosophila) homolog /FL=gb:D85758
200054_at	NM_003904	8882	zinc finger protein 259	|5634|5622|5623|5737|5730|8283|8151|7165|7154|		|11|11q|11q14|	gb:NM_003904.1 /DEF=Homo sapiens zinc finger protein 259 (ZNF259), mRNA. /FEA=mRNA /GEN=ZNF259 /PROD=zinc finger protein 259 /DB_XREF=gi:4508020 /UG=Hs.7165 zinc finger protein 259 /FL=gb:BC004256.1 gb:AF019767.1 gb:NM_003904.1
200083_at	AA621731	23326	ubiquitin specific protease 22			|17|17p|17p13|	Consensus includes gb:AA621731 /FEA=EST /DB_XREF=gi:2525670 /DB_XREF=est:af54h05.s1 /CLONE=IMAGE:1035513 /UG=Hs.12064 ubiquitin specific protease 22
