Cluster	GeneID	Symbol	Description	Probeset(s)	GO Name
1.Inv3-c5-overlap-GO	ENSMUSG00000003051	Elf3	E74-like factor 3	99059_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000055044	Pdlim1	PDZ and LIM domain 1 (elfin)	100554_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000002102	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	93734_i_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000029832	Nfe2l3	nuclear factor, erythroid derived 2, like 3	99527_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000031885	Cbfb	core binding factor beta	93546_s_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000031302	Nlgn3	neuroligin 3	103277_s_at	transcription coactivator activity
1.Inv3-c5-overlap-GO	ENSMUSG00000003873	Bax	Bcl2-associated X protein	93536_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000062078	Qk	quaking	95096_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000047730	9530053A07Rik	Fc fragment of IgG binding protein	97826_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000031996	Aplp2	amyloid beta (A4) precursor-like protein 2	93498_s_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000036478	Btg1	B-cell translocation gene 1, anti-proliferative	93104_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000049932	H2afx	H2A histone family, member X	93019_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000005672	Kit	kit oncogene	99956_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000022620	Arsa	arylsulfatase A	100931_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000002603	Tgfb1	transforming growth factor, beta 1	101918_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000031681	Smad1	MAD homolog 1 (Drosophila)	102984_g_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000020777	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	101515_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000063015	Ccni	cyclin I	94819_f_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000001729	Akt1	thymoma viral proto-oncogene 1	100970_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000001507	Itga3	integrin alpha 3	104210_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000030342	Cd9	CD9 antigen	95661_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000048776	Pthlh	parathyroid hormone-like peptide	104262_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000027907	S100a11	S100 calcium binding protein A11 (calizzarin)	98600_at	reproduction
1.Inv3-c5-overlap-GO	ENSMUSG00000037035	Inhbb	inhibin beta-B	160828_at	reproduction
