Chromosome	TCM score	Gene Symbol	Title	ProbeSet Affymetrix HG-U133A&B	Cytoband	Position (kb)
1	4.371	DVL1	dishevelled, dsh homolog 1 (Drosophila)	203230_at	1p36.33	1176
1	5.981	AKIP	aurora-A kinase interacting protein	225552_x_at	1p36.33	1215
1	3.658	CCNL2	cyclin L2	232274_at	1p36.33	1277
1	5.594	MRPL20	mitochondrial ribosomal protein L20	225934_at	1p36.33	1288
1	3.639	WARP	von Willebrand factor A domain-related protein	228651_at	1p36.33	1323
1	3.743	FLJ10709	hypothetical protein FLJ10709	219068_x_at	1p36.33	1420
1	3.526	HSPC182	HSPC182 protein	223051_at	1p36.33	1428
1	3.527	CDC2L2	cell division cycle 2-like 2	212401_s_at	1p36.33	1582
1	4.356	FLJ13052	NAD kinase	208919_s_at	1p36.33	1630
1	3.536	KIAA1185	KIAA1185 protein	212904_at	1p36.32	3479
1	3.611	FLJ23323	hypothetical protein FLJ23323	218754_at	1p36.31	6291
1	3.492	PHF13	PHD finger protein 13	225005_at	1p36.31	6393
1	3.5	PARK7	Parkinson disease (autosomal recessive, early onset) 7	200006_at	1p36.23	7747
1	3.67	H6PD	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	226160_at	1p36.22	9037
1	4.269	CTNNBIP1	catenin, beta interacting protein 1	203081_at	1p36.22	9617
1	4.294	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)	202317_s_at	1p36.22	9950
1	4.72	PGD	phosphogluconate dehydrogenase /// phosphogluconate dehydrogenase	201118_at	1p36.22	10186
1	3.88	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	223518_at	1p36.22	10232
1	5.175	PEX14	peroxisomal biogenesis factor 14	33760_at	1p36.22	10399
1	3.606	AF311304	hypothetical protein AF311304 /// hypothetical protein AF311304	221264_s_at	1p36.22	10794
1	4.282	MASP2	mannan-binding lectin serine protease 2	229111_at	1p36.22	10799
1	4.288	SRM	spermidine synthase	201516_at	1p36.22	10824
1	4.489	PMSCL2	polymyositis/scleroderma autoantigen 2, 100kDa	207541_s_at	1p36.22	10836
1	4.293	FRAP1	FK506 binding protein 12-rapamycin associated protein 1	202288_at	1p36.22	10876
1	4.143	MTHFR	5,10-methylenetetrahydrofolate reductase (NADPH)	226929_at	1p36.22	11556
1	3.762	PRDM2	PR domain containing 2, with ZNF domain	205277_at	1p36.21	13513
1	3.435	HSA9947	putative ATPase	218608_at	1p36.13	16693
1	3.771	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	213604_at	1p36.11	23557
1	4.601	HT014	HT014	223124_s_at	1p36.11	23583
1	3.981	LYPLA2	lysophospholipase II	202292_x_at	1p36.11	23591
1	3.44		hypothetical protein dJ462O23.2	225876_at	1p36.11	24150
1	3.679	SRRM1	serine/arginine repetitive matrix 1	201225_s_at	1p36.11	24350
1	3.77	SMP1	small membrane protein 1	222401_s_at	1p36.11	25233
1	3.849	ARH	LDL receptor adaptor protein	57082_at	1p36.11	25499
1	3.608	LOC56181	hypothetical protein RP1-317E23	224280_s_at	1p36.11	25763
1	4.162	HMGN2	high-mobility group nucleosomal binding domain 2	208668_x_at	1p36.11	26406
1	3.481	EYA3	eyes absent homolog 3 (Drosophila)	226170_at	1p35.3	27901
1	3.45	FLJ13213	hypothetical protein FLJ13213	227184_at	1p35.3	28078
1	3.841	ATPIF1	ATPase inhibitory factor 1	223339_at	1p35.3	28168
1	3.661	SESN2	sestrin 2	223195_s_at	1p35.3	28212
1	4.899	FLJ13171	hypothetical protein FLJ13171	219235_s_at	1p35.3	28510
1	4.228	LOC85028	PNAS-123	228990_at	1p35.3	28593
1	4.33	HGRG8	high-glucose-regulated protein 8	217812_at	1p35.3	28783
1	4.782	SFRS4	splicing factor, arginine/serine-rich 4	201696_at	1p35.3	29162
