Fisher score	Gene symbol	Gene name	Reporter	Accession number
9.888839712	HLF	Hepatic leukemia factor	H200016237	M95585
6.381218536	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	H200015131	NM_006290
5.557182956	EVA1	Epithelial V-like antigen 1	H200012016	AF275945
5.18189279	ACOX2	Acyl-Coenzyme A oxidase 2, branched chain	H200001836	NM_003500
4.874920549	DKFZP566N0	Hypothetical protein DKFZp566N034	H200019314	AK054738
4.796805059	TM4SF6	Transmembrane 4 superfamily member 6	H200012278	NM_003270
4.562734541	PLEKHA6	Pleckstrin homology domain containing, family A member 6	H200019960	BC010522
4.370632979	FOXA3	Forkhead box A3	H200004320	BC016024
4.069437591	MEG3	Maternally expressed 3	H200011844	AK055725
4.065066574	CD109	CD109 antigen (Gov platelet alloantigens)	H200010625	AL110152
3.803669351	SETBP1	SET binding protein 1	H200013788	NM_015559
3.803603704	PCDH9	Protocadherin 9	H200002133	NM_020403
3.689830206	PAMCI	Peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor	H200007431	NM_005447
3.672806829	BMP6	Bone morphogenetic protein 6	H200008838	NM_001718
3.639845055	FLJ14054	Hypothetical protein FLJ14054	H200002299	NM_024563
3.63200058	GARNL3	GTPase activating Rap/RanGAP domain-like 3	H200016432	NM_032293
3.616576982	BIRC3	Baculoviral IAP repeat-containing 3	H200012712	AF070674
3.543999368	TPBG	Trophoblast glycoprotein	H200006894	NM_006670
3.538405172	GBP2	Guanylate binding protein 2, interferon-inducible	H200007999	NM_004120
3.47855411	BC008967	Hypothetical gene BC008967	H200001208	AK057180
3.403645796	MGC61550	Hypothetical protein MGC61550	H200001293	AK055252
3.357440345	ABLIM1	Actin binding LIM protein 1	H200007298	NM_002313
3.239328698	SERPINB6	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	H200004503	AK057138
3.160865795	CYBRD1	Cytochrome b reductase 1	H200004077	AL136693
3.052854961	LOC340371	Hypothetical protein LOC340371	H200017079	AL137662
3.035991015	MAP3K12	Mitogen-activated protein kinase kinase kinase 12	H200015132	NM_006301
3.021277122	RBPMS	R binding protein with multiple splicing	H200011829	AK024192
2.984096063	TNS	Tensin	H200001865	AK057328
2.972664554	C14orf149	Chromosome 14 open reading frame 149	H200003946	AK058165
2.938752349	TncR	Trophoblast-derived noncoding R	H200018993	U60873
2.880489005	GABBR1	Gamma-aminobutyric acid (GABA) B receptor, 1	H200007709	NM_001470
2.857828107	SLC16A9	Solute carrier family 16 (monocarboxylic acid transporters), member 9	H200015633	AL122071
2.846846959	TPM2	Tropomyosin 2 (beta)	H200009924	NM_003289
2.830033908	NR4A2	Nuclear receptor subfamily 4, group A, member 2	H200006891	NM_006186
2.806458045	TFF2	Trefoil factor 2 (spasmolytic protein 1)	H200000716	NM_005423
2.79772163	DAPK1	Death-associated protein kinase 1	H200013916	NM_004938
2.792005961	LOC339483	Hypothetical protein LOC339483	H200019835	AK055560
2.791937651	ZFYVE21	Zinc finger, FYVE domain containing 21	H200007837	AK001921
2.788199965	TMEM30B	Transmembrane protein 30B	H200007150	AL080078
2.774996018	SQSTM1	Sequestosome 1	H200008571	NM_003900
2.770221067	C10orf35	Chromosome 10 open reading frame 35	H200010674	BC013587
2.743141192	ALOX12B	Arachidonate 12-lipoxygenase, 12R type	H200013218	NM_001139
2.724662789	CTDSPL	CTD (carboxy-terminal domain, R polymerase II, polypeptide A) small phosphatase-like	H200013596	NM_005808
2.723621114	RABGAP1	RAB GTPase activating protein 1	H200005154	NM_012197
2.700315495	EIF4A2	Eukaryotic translation initiation factor 4A, isoform 2	H200008181	NM_001967
2.696054797	AMOT	Angiomotin	H200001757	AF286598
2.669221908	PROM1	Prominin 1	H200011815	NM_006017
2.659552529	SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	H200000524	NM_001151
2.637817648	PGM5	Phosphoglucomutase 5	H200004778	AL137698
2.62890658	MAP1LC3A	Microtubule-associated protein 1 light chain 3 alpha	H200013123	NM_032514
2.605971801	BEXL1	Brain expressed X-linked-like 1	H200014313	BC015794
2.60324868	MLLT3	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	H200000108	NM_004529
2.540497332	CDCP1	CUB domain-containing protein 1	H200013546	NM_022842
2.536784614	AP3M2	Adaptor-related protein complex 3, mu 2 subunit	H200006445	NM_006803
2.533575367	CA5B	Inactivation escape 2	H200002295	AK057568
2.533130576	FOXO1A	Forkhead box O1A (rhabdomyosarcoma)	H200007907	NM_002015
2.532222697	MYH3	Myosin, heavy polypeptide 3, skeletal muscle, embryonic	H200008108	NM_002470
2.501961803	IL17D	Interleukin 17D	H300008939	NM_138284
2.491077982	C4orf7	Chromosome 4 open reading frame 7	H300008107	NM_152997
2.461236268	DSG2	Desmoglein 2	H200020356	BC014584
2.455106973	ALDOC	Aldolase C, fructose-bisphosphate	H200014052	NM_005165
2.44762277	NCKAP1	NCK-associated protein 1	H200017270	NM_013436
2.445965972	LEPREL2	Leprecan-like 2	H200004774	NM_014262
2.438421547	RXRA	Retinoid X receptor, alpha	H200002874	NM_002957
2.39709333	SALL2	Sal-like 2 (Drosophila)	H200006732	X98834
2.386987212	BEAN	Brain expressed, associated with Nedd4	H200011076	AK056142
2.385709331	HEMGN	Hemogen	H200008246	NM_018437
2.385331018	HIST1H1C	Histone 1, H1c	H200001466	NM_005319
2.37567543	KIAA0303	KIAA0303 protein	H200005139	AB002301
2.35503916	MPP3	Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	H200004385	NM_001932
2.329114234	PPM1F	Protein phosphatase 1F (PP2C domain containing)	H200017284	NM_014634
2.328381301	MANSC1	MANSC domain containing 1	H200001137	NM_018050
2.301149493	WWP1	WW domain containing E3 ubiquitin protein ligase 1	H200019098	NM_007013
2.30029366	IL11RA	Interleukin 11 receptor, alpha	H200005544	NM_004512
2.288912111	MYO5C	Myosin VC	H200011771	NM_018728
2.288118616	LY75	Lymphocyte antigen 75	H200013884	NM_002349
2.283125967	STX3A	Syntaxin 3A	H200006914	BC007429
2.273697566	BAG3	BCL2-associated athanogene 3	H200002463	NM_004281
2.265528495	RPN1	Ribophorin I	H200000581	NM_002950
2.262779456	EZH1	Enhancer of zeste homolog 1 (Drosophila)	H200014643	BC015882
2.259589425	LDOC1	Leucine zipper, down-regulated in cancer 1	H200004750	NM_012317
2.246748289	GPRASP2	G protein-coupled receptor associated sorting protein 2	H200020271	BC013576
2.2390694	SYTL4	Synaptotagmin-like 4 (granuphilin-a)	H200015872	BC014913
2.227511802	IQCA	IQ motif containing with AAA domain	H200007961	AK054711
2.226405464	KIAA0635	KIAA0635	H200009056	NM_025009
2.226142235	TUBG2	Tubulin, gamma 2	H200017466	NM_016437
2.219082016	PLCB4	Phospholipase C, beta 4	H200020364	AK057634
2.19310714	TOM1L1	Target of myb1-like 1 (chicken)	H200013880	NM_005486
2.180363897	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	H200007914	NM_002398
2.169705329	ZDHHC21	Zinc finger, DHHC domain containing 21	H200004719	AK026322
2.168841995	BA108L7.2	Similar to rat tricarboxylate carrier-like protein	H200017851	NM_030971
2.165484777	LMO7	LIM domain 7	H200001133	AF330045
2.157950883	SELK	Selenoprotein K	H200008409	AF161415
2.157101125	PIK3C2A	Phosphoinositide-3-kinase, class 2, alpha polypeptide	H200001113	AL049998
2.154121395	WASF3	WAS protein family, member 3	H200006929	AB020707
2.152230001	PDCL	Phosducin-like	H200001764	NM_005388
2.148755286	SNTB1	Syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	H200004686	AK025100
2.146255526	LPIN1	Lipin 1	H200006839	D80010
2.145283171	BEX1	Brain expressed, X-linked 1	H200019509	NM_018476
2.144316677	MGC18216	Hypothetical protein MGC18216	H200011325	BC010607
2.138983399	ATBF1	AT-binding transcription factor 1	H200017855	AL359599
2.125173879	GPRASP1	G protein-coupled receptor associated sorting protein 1	H200011858	NM_014710
2.120642028	LOC151963	Similar to BcD:GH11415 gene product	H200002092	AK056276
2.097682857	FLJ31265	Hypothetical protein FLJ31265	H200017600	AK055827
2.093880511	NFKBIZ	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	H200009979	NM_031419
2.091911109	ADAM28	A disintegrin and metalloproteinase domain 28	H200008192	NM_014265
2.091245052	FLJ14001	Hypothetical protein FLJ14001	H200010216	NM_024677
2.084651126	TFPI	Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	H200007928	NM_006287
2.076257737	CROCC	Ciliary rootlet coiled-coil, rootletin	H200009960	NM_014675
2.069202934	LOC201229	Hypothetical protein LOC201229	H200009648	AK055808
2.066929669	AMOTL2	Angiomotin like 2	H200010529	NM_016201
2.060512837	DKFZp434O0	Hypothetical protein DKFZp434O0213	H200016857	AL137651
2.059832574	ZNF337	Zinc finger protein 337	H200013299	AK056184
2.052302071	PRSS3	Protease, serine, 3 (mesotrypsin)	H300018413	NM_002771
2.045528035	PLSCR4	Phospholipid scramblase 4	H200008602	NM_020353
2.044021842	BIN1	Bridging integrator 1	H200014548	NM_004305
2.043655178	PHACTR1	Phosphatase and actin regulator 1	H200014492	AB051520
2.043341386	HRH4	Histamine receptor H4	H200008920	NM_021624
2.037502072	NPDC1	Neural proliferation, differentiation and control, 1	H200011379	NM_015392
2.034492099	HSPA1A	Heat shock 70kDa protein 1A	H200001719	NM_005345
2.03167056	SOCS2	Suppressor of cytokine signaling 2	H200011714	NM_003877
2.029840025	PDZK3	PDZ domain containing 3	H200008968	AK021922
1.997026651	DKFZp761D2	Hypothetical protein DKFZp761D221	H200002944	NM_032291
1.98954309	MST1	Macrophage stimulating 1 (hepatocyte growth factor-like)	H200020407	NM_020998
1.983219634	GPR56	G protein-coupled receptor 56	H200001248	AJ011001
1.978797504	FBXW12	F-box and WD-40 domain protein 12	H200009360	AK022174
1.973217633	HIST2H2BE	Histone 2, H2be	H200000553	NM_003528
1.950010756	PRKACB	Protein kinase, cAMP-dependent, catalytic, beta	H200007621	BC016285
1.947655306	LOC93556	Hypothetical protein BC011266	H200005194	BC011266
1.934964601	LRRC16	Leucine rich repeat containing 16	H200012011	NM_017640
1.928372756	KIAA1726	KIAA1726 protein	H200007604	AB051513
1.926858541	RNF103	Ring finger protein 103	H200014122	NM_005667
1.923479264	C20orf42	Chromosome 20 open reading frame 42	H200008438	NM_017671
1.92310692	ANK3	Ankyrin 3, node of Ranvier (ankyrin G)	H200006230	NM_020987
1.916327421	KRT10	Keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris)	H200011026	NM_000421
1.914353156	STARD4	START domain containing 4, sterol regulated	H200010613	AK026207
1.910072017	FHL1	Four and a half LIM domains 1	H200015640	NM_001449
1.909903473	PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	H200005977	NM_000311
1.90891561	KLF2	Kruppel-like factor 2 (lung)	H200011533	NM_016270
1.907045398	LRCH4	Leucine-rich repeats and calponin homology (CH) domain containing 4	H200012575	NM_002319
1.90660837	KIAA1530	KIAA1530 protein	H200014472	AL390128
1.904867808	ZBTB4	Zinc finger and BTB domain containing 4	H200004291	AB040971
1.891293549	CGI-62	CGI-62 protein	H200012156	NM_016010
1.887059843	GHR	Growth hormone receptor	H200012544	NM_000163
1.886994148	LOC150384	Hypothetical protein LOC150384	H200020346	BC015721
1.880301126	CAMTA2	Calmodulin binding transcription activator 2	H200011511	AB020716
1.872596871	TRIM2	Tripartite motif-containing 2	H200002118	NM_015271
1.866645625	NKTR	Natural killer-tumor recognition sequence	H200015751	NM_005385
1.858963512	GSTM1	Glutathione S-transferase M1	H200017990	NM_000561
1.856821047	TMOD2	Tropomodulin 2 (neuronal)	H200004913	AK025346
1.850350154	GATA3	GATA binding protein 3	H200007883	NM_002051
1.848829079	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	H200005484	NM_006726
1.842214961	FLJ20753	Hypothetical protein FLJ20753	H200010010	AB046860
1.840677677	SPRY1	Sprouty homolog 1, antagonist of FGF signaling (Drosophila)	H200010265	AK026960
1.838275749	MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2	H200006994	NM_004579
1.837315155	FLJ20481	Hypothetical protein FLJ20481	H200011182	NM_017839
1.830126277	MTPN	Myotrophin	H200003003	AK055660
1.826611961	BRD4	Bromodomain containing 4	H200014384	AF161369
1.826396788	LRRC6	Leucine rich repeat containing 6	H200005260	NM_012472
1.826013212	ZNF175	Zinc finger protein 175	H200012178	NM_007147
1.817252042	APBB3	Amyloid beta (A4) precursor protein-binding, family B, member 3	H200019908	NM_006051
1.808195232	ZNF133	Zinc finger protein 133 (clone pHZ-13)	H200006510	NM_003434
1.797644737	POLR2L	Polymerase (R) II (D directed) polypeptide L, 7.6kDa	H200005750	NM_021128
1.793297033	BTAF1	BTAF1 R polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	H200008485	AJ001017
1.789791833	ZNF295	Zinc finger protein 295	H200007238	AB033053
1.788730044	KIFC3	Kinesin family member C3	H200003244	BC001211
1.785402292	FLJ32702	Hypothetical protein FLJ32702	H200014961	AF264629
1.784485404	CLECSF2	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)	H200007143	NM_005127
1.784240686	PLA2G4B	Phospholipase A2, group IVB (cytosolic)	H200014781	NM_005090
1.783795608	STARD9	START domain containing 9	H200008175	AB037721
1.781137198	HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like	H200007934	NM_005463
1.775148673	VILL	Villin-like	H200011254	NM_015873
1.768054412	CABLES1	Cdk5 and Abl enzyme substrate 1	H200002687	AK025627
1.762162686	LOC90806	Similar to RIKEN cD 2610307I21	H200017953	BC016966
1.761163563	GDEP	Gene differentially expressed in prostate	H200011295	AK056825
1.747696972	BICD1	Bicaudal D homolog 1 (Drosophila)	H200009524	AK056007
1.742897644	NPD014	NPD014 protein	H200001587	AF267856
1.73877678	C21orf25	Chromosome 21 open reading frame 25	H200002526	AL050173
1.731981909	USP34	Ubiquitin specific protease 34	H200016205	AK024341
1.731977531	LOC115294	Similar to hypothetical protein FLJ10883	H200005398	BC010693
1.726877724	FLJ11259	Hypothetical protein FLJ11259	H200014286	NM_018370
1.719626013	ZSWIM5	Zinc finger, SWIM domain containing 5	H200005589	AB040944
1.718641939	PPP2CZ	Protein phosphatase 2a, catalytic subunit, zeta isoform	H200008373	NM_005167
1.718208005	OXT	Oxytocin, prepro- (neurophysin I)	H200011862	NM_000915
1.717672078	ZNF573	Zinc finger protein 573	H200017351	AK055483
1.715146321	NRIP1	Nuclear receptor interacting protein 1	H200014017	NM_003489
1.713901757	NDRG2	NDRG family member 2	H200015807	NM_016250
1.711198109	CPEB3	Cytoplasmic polyadenylation element binding protein 3	H200012979	NM_014912
1.706990015	CRI1	CREBBP/EP300 inhibitor 1	H200006215	NM_014335
1.704608434	KIF21B	Kinesin family member 21B	H200007790	AB007918
1.702716764	LOC283861	Hypothetical locus LOC283861	H200014498	BC009880
1.702464483	UNG2	Uracil-D glycosylase 2	H200000726	NM_021147
1.698039519	C9orf91	Chromosome 9 open reading frame 91	H200007922	AF038174
1.693103323	MAN2A2	Mannosidase, alpha, class 2A, member 2	H200009640	NM_006122
1.688041268	NKIRAS1	NFKB inhibitor interacting Ras-like 1	H200008121	AK027749
1.686325124	G1P3	Interferon, alpha-inducible protein (clone IFI-6-16)	H200016555	NM_022873
1.685694919	BEX2	Brain expressed X-linked 2	H200017789	NM_032621
1.681938525	FL	Filamin A, alpha (actin binding protein 280)	H200014710	NM_001456
1.67681068	TMEM1	Transmembrane protein 1	H200013835	AL050119
1.672573712	DUSP18	Dual specificity phosphatase 18	H200012774	AK056074
1.670825029	FLJ12681	Hypothetical protein FLJ12681	H200005317	NM_022773
1.665089023	FOXP1	Forkhead box P1	H200018550	AK025064
1.662777117	MYOG	Myogenin (myogenic factor 4)	H200000686	NM_002479
1.660237377	MGEA5	Meningioma expressed antigen 5 (hyaluronidase)	H200001097	NM_012215
1.653320416	PTPRF	Protein tyrosine phosphatase, receptor type, F	H200006033	NM_002840
1.652821177	SAS	Sarcoma amplified sequence	H200005023	NM_005981
1.652640444	TGFB1I4	Transforming growth factor beta 1 induced transcript 4	H200011918	AK027071
