ProbeID	UNQ	UNQ_Short_Name	HUGO Symbol	SRCNAME
227919_at	UNQ28863	YHRL28863	NA	NA
205428_s_at	UNQ9956	CALB2	CALB2	calbindin 2, 29kDa (calretinin)
227458_at	UNQ6713	PDL1/B7-H1	CD274	CD274 molecule
226140_s_at	UNQ16971	OTUD1	OTUD1	OTU domain containing 1
201042_at	UNQ7380	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
235911_at	NA	NA	NA	NA
205032_at	UNQ1682	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
226757_at	UNQ21425	IFIT2	IFIT2	interferon-induced protein with tetratricopeptide repeats 2
223961_s_at	UNQ5695	CISH	CISH	cytokine inducible SH2-containing protein
227475_at	UNQ24348	FOXQ1	FOXQ1	forkhead box Q1
215543_s_at	UNQ10018	LARGE	LARGE	like-glycosyltransferase
204363_at	UNQ11	TF	F3	coagulation factor III (thromboplastin, tissue factor)
209343_at	UNQ20640	EFHD1	EFHD1	EF-hand domain family, member D1
208250_s_at	UNQ5963	DMBT1	NA	NA
214434_at	UNQ14471	HSPA12A	HSPA12A	heat shock 70kDa protein 12A
203638_s_at	UNQ942	FGFR2	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrom
209011_at	UNQ1870	TRIO	TRIO	triple functional domain (PTPRF interacting)
203896_s_at	UNQ3146	PLCB4	PLCB4	phospholipase C, beta 4
209270_at	UNQ1262	LAMB3	LAMB3	laminin, beta 3
227314_at	UNQ1682	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
1555742_at	NA	NA	NA	NA
204508_s_at	UNQ13558	CA12	CA12	carbonic anhydrase XII
201566_x_at	UNQ3216	ID2	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
229450_at	UNQ13624	IFIT3	IFIT3	interferon-induced protein with tetratricopeptide repeats 3
213524_s_at	UNQ4406	G0S2	G0S2	G0/G1switch 2
204039_at	UNQ8046	mc/EPB	NA	NA
203963_at	UNQ13558	CA12	CA12	carbonic anhydrase XII
225847_at	UNQ11715	AADACL1	AADACL1	arylacetamide deacetylase-like 1
218086_at	UNQ7114	NPDC1	NPDC1	neural proliferation, differentiation and control, 1
201565_s_at	UNQ3216	ID2	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
212148_at	UNQ4995	PBX1	PBX1	pre-B-cell leukemia homeobox 1
214164_x_at	UNQ13558	CA12	CA12	carbonic anhydrase XII
217502_at	UNQ21425	IFIT2	IFIT2	interferon-induced protein with tetratricopeptide repeats 2
204747_at	UNQ13624	IFIT3	IFIT3	interferon-induced protein with tetratricopeptide repeats 3
201095_at	NA	NA	NA	NA
200672_x_at	UNQ7408	SPTBN1	SPTBN1	spectrin, beta, non-erythrocytic 1
218806_s_at	UNQ14258	VAV3	VAV3	vav 3 oncogene
218796_at	UNQ20949	C20orf42	C20orf42	chromosome 20 open reading frame 42
235457_at	UNQ12517	MAML2	NA	NA
201995_at	UNQ5295	EXT1	EXT1	exostoses (multiple) 1
