Gene ID	Gene Name	Hair (H) or Non-Hair (N) Gene	Description of Gene Product (from TAIR)	Gene Ontology (GO) Categories	Root Hair Regulatory Element (RHE) in Promoter?
AT1G01380	ETC1  (ENHANCER OF TRY AND CPC1)	N	Transcription Factor, involved in trichome and root  hair patterning in Arabidopsis	GO:0003677: DNA binding                                                                                       GO:0003700: transcription factor activity                                                                                            GO:0045449: regulation of transcription                                                                                      GO:0006355: regulation of transcription, DNA-dependent	No
AT1G01750	ADF11 (ACTIN DEPOLY-MERIZING FACTOR 11)	H	Functions in actin binding	GO:0005622: intracellular                                                                   GO:0003779: actin binding                                                                                  GO:0008150: biological process unknown                                                               GO:0005622: intracellular	No
AT1G03550		H	Secretory carrier membrane protein (SCAMP) family protein	GO:0022857: transmembrane transporter activity                                             GO:0015031: protein transport                                                                            GO:0016021: integral to membrane	Yes
AT1G04700		H	Protein kinase family protein	GO:0006468: protein amino acid phosphorylation                               GO:0004672: protein kinase activity                                                    GO:0004712: protein serine/threonine/tyrosine kinase activity                                                          GO:0005829: cytosol                                                                                 GO:0006468: protein amino acid phosphorylation	Yes
AT1G05630	5PTASE13, AT5PTASE13,	H	Inositol polyphosphate 5-phosphatase with phosphatase activity toward only Ins(1,4,5)P3	GO:0004437: inositol or phosphatidylinositol phosphatase activity                                          GO:0005634: nucleus                                                                                             GO:0010087: phloem or xylem histogenesis                                              GO:0009737: response to abscisic acid stimulus                                     GO:0009637: response to blue light                                                    GO:0048364: root development                                                               GO:0009743: response to carbohydrate stimulus                                 GO:0010252: auxin homeostasis                                                        GO:0009611: response to wounding                                                     GO:0010182 : sugar mediated signaling pathway                                              GO:0007584: response to nutrient	Yes
AT1G06550		N	Enoyl-CoA hydratase/isomerase family protein;  3-hydroxyisobutyryl-CoA hydrolase activity; involved in  fatty acid beta-oxidation	GO:0003860: 3-hydroxyisobutyryl-CoA hydrolase activity                                                                GO:0005575: cellular component unknown                                           GO:0008152: metabolic process                                                            GO:0006635: fatty acid beta-oxidation                                                   GO:0003824: catalytic activity	No
AT1G07795		H	Unknown protein	GO:0008150: biological process unknown                                              GO:0003674: molecular function unknown                                             GO:0005575: cellular component unknown	No
AT1G09170		H	Kinesin motor protein-related	GO:0003777: microtubule motor activity                                                     GO:0005524: ATP binding                                                                  GO:0005875: microtubule associated complex                                     GO:0007018: microtubule-based movement	No
AT1G10550	XTH33, XET	N	Xyloglucan:xyloglucosyl transferase; membrane-localized protein, predicted to function during cell wall modification	GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds                                                    GO:0005887: integral to plasma membrane                                                                                                 GO:0009831: plant-type cell wall modification during multidimensional cell growth                                                                                                                            GO:0016762: xyloglucan:xyloglucosyl transferase activity                                                                                                        GO:0016798: hydrolase activity, acting on glycosyl bonds	No
AT1G12040	LRX1 (Leucin-rich repeat/ Extensin1)	H	Chimeric leucine-rich repeat/extensin protein that regulates root hair morphogenesis and elongation	GO:0005199: structural constituent of cell wall                                               GO:0009505: plant-type cell wall                                                               GO:0009826: unidimensional cell growth                                                   GO:0009927: histidine phosphotransfer kinase activity                                                                                                   GO:0000904: cell morphogenesis involved in differentiation                                        GO:0010054: trichoblast differentiation                                                                 GO:0005515: protein binding	Yes
AT1G12560	EXP7, ATEXPA7,   (Expansins A7)	H	Member of Alpha-Expansin Gene Family, containing a conserved root hair-specific cis-element RHE, expressed specifically in root hair cell	GO:0005576: extracellular region                                                                 GO:0009831: plant-type cell wall modification during multidimensional cell growth             GO:0009826: unidimensional cell growth                                                           GO:0009828: plant-type cell wall loosening                                               GO:0012505: endomembrane system	Yes
AT1G12950		H	MATE efflux family protein; antiporter activity	GO:0015238: drug transporter activity                                                      GO:0015297: antiporter activity                                                                GO:0016020: membrane                                                                          GO:0005215: transporter activity                                                                   GO:0006855: multidrug transport	Yes
AT1G14685	BPC2, BBR/BPC2, ATBPC2 (Basic Pentacysteine 2)	H	Transcription Factor	GO:0003700: transcription factor activity                                                         GO:0006355: regulation of transcription, DNA-dependent                                                               GO:0003677: DNA binding                                                                                 GO:0005634: nucleus	No
AT1G15040		H	Glutamine amidotransferase-related	GO:0016787: hydrolase activity                                                                  GO:0006541: glutamine metabolic process                                                  GO:0005575: cellular component unknown	Yes
AT1G15880	GOS11, atgos11 (Golgi SNARE 11)	H	Golgi snare protein	GO:0016021: integral to membrane                                                                    GO:0000149: SNARE binding                                                                   GO:0006944: membrane fusion                                                                   GO:0006891: intra-Golgi vesicle-mediated transport	No
AT1G16260		H	Protein kinase family protein	GO:0006468: protein amino acid phosphorylation                                        GO:0016021: integral to membrane                                                         GO:0016301: kinase activity                                                                          GO:0012505: endomembrane system	No
AT1G16360		N	LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein	GO:0016020: membrane                                                                           GO:0008150: biological process unknown	No
AT1G16440		H	Kinase	GO:0016301: kinase activity                                                                      GO:0005886: plasma membrane                                                                        GO:0006468: protein amino acid phosphorylation	Yes
