Gene	Probe	v(s)	rank	p(s)	n(s)
MAPT	203929_s_at	0.22	780	0	28
MAPT	203930_s_at	0.291	218	2	30
BB_S4	212745_s_at	0.41	21	3	42
MAPT	203928_x_at	0.22	781	0	28
THRAP2	212207_at	0.46	5	8	34
MBTP_S1	217542_at	0.26	391	0	32
MAPT	206401_s_at	0.22	900	0	27
PDGFRA	215304_at	0.32	118	4	28
ZNF552	219741_x_at	0.24	564	1	27
RAMP1	204916_at	0.22	774	0	28
BECN1	208945_s_at	0.3	165	4	26
BTG3	213134_x_at	0.61	1	12	40
SCUBE2	219197_s_at	0.15	3078	0	19
MELK	204825_at	0.41	16	8	28
BTG3	205548_s_at	0.61	2	12	40
AMFR	202204_s_at	0.23	662	0	29
CTNND2	209617_s_at	0.27	337	0	33
GAMT	205354_at	0.38	38	7	27
CA12	204509_at	0.24	566	1	27
FGFR1OP	214124_x_at	0.37	52	6	28
KIAA1467	213234_at	0.25	475	3	22
METRN	219051_x_at	0.44	11	11	22
FLJ10916	219044_at	0.4	24	8	26
E2F3	203693_s_at	0.4	25	8	26
ERBB4	214053_at	0.21	1040	0	26
JMJD2B	215616_s_at	0.37	45	7	26
RRM2	209773_s_at	0.37	51	3	37
FLJ12650	219438_at	0.27	293	0	34
GFRA1	205696_s_at	0.18	1994	0	22
IGFBP4	201508_at	0.38	39	7	27
