Functional group	GeneBank accession number	Fold change	Function
Anti-acetylcholine receptor antibody gene, rearranged Ig gamma-2a chain, VDJC region	L22654	42.71	Immune reaction/inflammation
Immunoglobulin rearranged kappa-chain mRNA variable (V) region	L07407	17.84	Immune reaction/inflammation
Rearranged IgG-2b gene, last four exons	M28671	13.7	Immune reaction/inflammation
Ig germline kappa-chain C-region	M18532	13.3	Immune reaction/inflammation
Anti-NGF30 antibody light-chain	U39609	11.15	Immune reaction/inflammation
Anti-idiotype immunoglobulin M light chain	U75411	8.94	Immune reaction/inflammation
Complement protein C1q beta chain	X71127	5.76	Immune reaction/inflammation
mRNA expressed in carotid artery tissue (allograft inflammatory factor-1)	U10894	4.44	Immune reaction/inflammation
MHC class II-like beta chain (RT1.DMb)	U31599	3.64	Immune reaction/inflammation
Interleukin-1 (IL-1)-beta	M98820	3.43	Immune reaction/inflammation
C4 complement protein	U42719	3.36	Immune reaction/inflammation
RT1.D beta chain	X53054	3.05	Immune reaction/inflammation
MHC class II A-beta RT1.B-b-beta	M36151	2.93	Immune reaction/inflammation
MHC class II RT1.u-D-alpha chain	M15562	2.93	Immune reaction/inflammation
Fc gamma receptor	X73371	2.66	Immune reaction/inflammation
Interferon regulatory factor 1	M34253	2.55	Immune reaction/inflammation
Leukocyte antigen MRC-OX44	M57276	2.41	Immune reaction/inflammation
Signal regulatory protein alpha	AF055065	2.37	Immune reaction/inflammation
Mast cell protease 1 precursor (RMCP-1)	U67915	2.35	Immune reaction/inflammation
Chemokine CX3C	AF030358	2.2	Immune reaction/inflammation
Serine protease	L38482	-1.62	Immune reaction/inflammation
Complement component 1, s subcomponent	D88250	2.19	Immune reaction/inflammation
MHC class II-associated invariant chain	X14254	2.01	Immune reaction/inflammation
MHC class Ib RT1.S3 (RT1.S3)	AF029240	1.99	Immune reaction/inflammation
MHC RT1-B region class II (Ia antigen) A-alpha glycoprotein	K02815	1.84	Immune reaction/inflammation
CC chemokine ST38 precursor	AF053312	1.8	Immune reaction/inflammation
MHC class I non-RT1.A alpha-1-chain	M31038	1.78	Immune reaction/inflammation
CC chemokine receptor	E13732	1.62	Immune reaction/inflammation
MHC class I antigen (RT1.EC2)	AF074608	1.61	Immune reaction/inflammation
GATA-3	AB000217	-1.9	Immune reaction/inflammation
Ceruloplasmin	L33869	3.73	Anti-oxidants/stress response
Heme oxygenase-1 (HO-1)	J02722	3.57	Anti-oxidants/stress response
3-methylcholanthrene-Inducible UDP-glucuronosyltransferase	S56937	2.41	Anti-oxidants/stress response
NAD(P)H-menadione oxidoreductase	J02679	2.08	Anti-oxidants/stress response
UDP-glucuronosyltransferase 1A6 (UGT1A6)	J02612	2.01	Anti-oxidants/stress response
Transferrin	D38380	1.9	Anti-oxidants/stress response
