Probeset	Gene	Accession	EntrezGene	FIBA	Call	FIBB	Call	MSCA	call	MSCB	Call	foldD	pvalue
230493_at	TMEM46Clone	AW664964	387914	1.72	A	6.69	A	431.84	P	491.29	P	117.1	0.04073
242881_x_at	HLS_IMAGE_626842	BG285837	0	3.04	A	6.29	P	391.83	P	419.59	P	96.37	0.02018
231882_at	FLJ39632	AL530703	642477	3.12	A	11.37	A	584.51	P	614.16	P	83.41	0.01626
229479_at	Transcribedlocus	AI739132	0	9.91	A	6.64	A	465.43	P	457.21	P	54.39	0.00872
209395_at	CHI3L1Clone	M80927	1116	3.34	A	2.34	A	157.85	P	153.4	P	52.99	0.0153
228116_at	120162	AW167298	0	11.94	A	6.14	A	455.46	P	467.09	P	49.98	0.00046
206510_at	SIX2	AF332197	10736	7.74	A	4.94	A	311.75	P	292.54	P	49.03	0.01991
202436_s_at	CYP1B1	AU144855	1545	14.46	A	26.24	A	967.64	P	921.7	P	46.45	0.01278
226930_at	FNDC1	AI345957	84624	3.99	A	6.51	A	170.47	P	188.54	P	33.04	0.01536
203835_at	LRRC32	NM_005512	2615	7.78	A	12.83	A	298.5	P	284.91	P	30.46	0.0086
226281_at	DNER	BF059512	92737	6.18	A	18.79	P	354.01	P	401.51	P	30.36	0.02763
206315_at	CRLF1	NM_004750	9244	13	A	8.21	A	306.25	P	276.45	P	28.68	0.01701
203868_s_at	VCAM1	NM_001078	7412	26.64	A	22.6	A	627.72	P	667.29	P	26.74	0.02037
220976_s_at	KRTAP1-1 ///LOC728946	NM_030967	728946 / 81851	19.02	M	31.07	A	615.12	P	628.54	P	25.02	0.00111
205856_at	SLC14A1	NM_015865	6563	9.32	A	4.28	A	131.19	P	137.23	P	20.94	0.00524
213506_at	F2RL1	BE965369	2150	30.03	P	21.26	A	518.98	P	536.3	P	20.7	0.02209
219049_at	ChGn	NM_018371	55790	4.11	A	7.98	A	117.67	P	125.88	P	20.7	0.00491
209160_at	AKR1C3	AB018580	8644	9.39	A	4.6	A	144.31	P	129.12	P	20.41	0.02489
225728_at	SORBS2	AI659533	8470	8.45	A	6.74	A	145.08	P	153.41	P	20.29	0.01097
202202_s_at	LAMA4	NM_002290	3910	47.43	P	44.15	A	913.09	P	934.31	P	20.18	0.01451
242546_at	FLJ39632	BE738279	642477	14.53	A	29.43	A	372.39	P	417.07	P	18.36	0.02159
217161_x_at	ACAN	X17406	176	17.33	A	12.61	A	281.03	P	255.47	P	18.34	0.01018
214761_at	ZNF423	AW149417	23090	8.98	A	10.48	A	184.79	P	161.22	P	17.84	0.02195
201422_at	IFI30	NM_006332	10437	30.02	A	25.39	A	469.27	P	423.16	P	16.22	0.02094
227646_at	CDNAFLJ39389fis	BG435302	0	49.79	P	53.7	P	781.19	P	850.31	P	15.71	0.03072
213707_s_at	DLX5	NM_005221	1749	9.85	A	8.33	A	123.85	P	142.9	P	14.97	0.0336
204401_at	KCNN4	NM_002250	3783	11.66	A	13.69	A	182.87	P	184.96	P	14.23	0.00535
226911_at	EGFLAMG	BF114725	133584	15.51	A	19.61	A	238.18	P	266.26	P	13.98	0.03501
205266_at	LIF	NM_002309	3976	63.65	P	75.21	P	996.95	P	948.26	P	13.93	0.01429
206595_at	CST6	NM_001323	1474	14.75	A	16.15	A	217.31	P	209.27	P	13.93	0.01398
227058_at	C13orf33	AW084730	84935	21.32	A	29.25	A	310.29	P	349.51	P	13.54	0.01906
229151_at	SLC14A1	BE673587	6563	6.85	A	6.08	A	83.37	P	86.14	P	13.39	0.02547
229802_at	CDNAFLJ14388fis	AA147884	0	6.78	A	7.5	A	85.85	P	101.64	P	12.94	0.02852
223204_at	C4orf18	AF260333	51313	106.1	P	110	P	1214.44	P	1396.61	P	12.09	0.04955
235666_at	Transcribedlocus	AA903473	0	17.34	A	29.23	A	263.49	P	295.36	P	11.87	0.02354
203180_at	ALDH1A3	NM_000693	220	102	P	99.6	P	1183.83	P	1166.1	P	11.67	0.0031
206429_at	F2RL1	NM_005242	2150	13.75	A	7.92	A	128.3	P	112.72	P	11.49	0.01604
229487_at	CDNAFLJ39389fis	W73890	0	2.68	A	19.4	P	118.15	P	124.77	P	11.31	0.01241
222670_s_at	MAFB	AW135013	9935	20.67	A	14.99	A	191.67	P	203.86	P	11.29	0.00702
210997_at	HGF	M77227	3082	5.86	A	6.29	A	63.75	P	70.45	P	11.09	0.01758
229638_at	IRX3	AI681917	79191	188.8	P	176.4	P	1908.4	P	2154.8	P	11.09	0.04142
206766_at	ITGA10	AF112345	8515	24.37	P	17.98	P	253.72	P	215.04	P	11.04	0.04184
222784_at	SMOC1	AJ249900	64093	13.41	A	9.83	A	117.45	P	123.84	P	10.94	0.0042
213844_at	HOXA5	NM_019102	3202	42.96	P	45.73	P	443.99	P	480.8	P	10.52	0.01826
227863_at	CTSD	AV706254	1509	17.9	A	26.23	A	241.82	P	225.93	P	10.46	0.00468
244876_at		BF112140	0	11.94	A	10.14	A	108.55	P	120.07	P	10.46	0.03374
219655_at	C7orf10	NM_024728	79783	78.9	P	79.26	P	842.84	P	796.88	P	10.37	0.01772
221019_s_at		NM_030781	81035	91.15	P	90.76	P	932.3	P	944.24	P	10.31	0.01217
230799_at	hypotheticalprotein	W72564	150837	77.58	P	70.2	P	722.15	P	741.86	P	9.81	0.01229
222780_s_at	BAALC	AI870583	79870	48.78	P	27.98	P	353.47	P	365.45	P	9.43	0.00303
