Outcome	Gene/CNV	Hits†	Region	Function	Up/down‡	Reference
G	SFRP4	55	7p14.1	Inhibitor of PT growth/invasion	Up	55
G	VCAN	55	5q14.3	Contributor to PC pathology	Up	82
G	ALOX15B	36	17p13.1	Suppressor of PT development	Down	54
S	MAGEA4	50	Xq28	Only expressed in PC (diagnosis and therapy)	Down	83
S	ANPEP	50	15q25-q26	PT cell invasion	Down	84
S	POU4F1	50	13q31.1	PC cell growth	Down	85
S	CXCL14	48	5q31	Inhibitor of PT growth	Up	56
S	RNASEL	48	1q25	Polymorphic changes as tumor; suppressor in hereditary PC	Up	62
S	GDEP	41	4q21.1	Prostate-specific gene	Down	86
M	ERG	50	21q22.3	Proto-oncogene; early prostate carcinogenesis	Up	57
M	AREG	49	4q13-q21	PC progression/growth via TARP	Down	87
M	VAV3	49	1p13.3	Oncogene; PC development/ progression	Up	59
M	ADAMTS1	26	21q21.2	Negatively affected by TGFbeta1, which increases VCAN-expression	Down	82
R	AZGP1	29	7q22.1	Inversely associated to tumor stage; predictor of biochemical recurrence	Down	88
R	TIAM1	29	21q22.1-11	Predictor of decreased disease-free survival/recurrence	Up	60
R	FGG	28	4q28	PC cell growth	Down	89
R	ATF3	26	1q32.3	Inversely related to invasion/ angiogenesis; positively correlated to metastases	Down	90
R	JAG1	26	20p12.1-11.23	Cell growth/progression/metastasis	Up	61
R	ERG	14	21q22.3	Proto-oncogene; early prostate carcinogenesis	Up	57
R	ALOX15B	14	17p13.1	Suppressor of PT development	Down	54
