Inducer	Accession No.	Symbol	Gene function	p73 5h	p73 9h	p73 12h	p73 24h	p53 5h	p53 9h	p53 12h	p53 24h	Factor
p73	AF001436	CEP2	Cdc42 effector protein 2	3.6	2.4	2.7	2.2	1	1.5	1.4	1.6	Cell cycle
p73	X57348	SFN	Stratifin (14–3-3 sigma)	1.2	2.9	2.5	8.2	1	0.8	1	0.9	Cell cycle
p73	M87068	CAN19	CaN19	2	3.5	3.4	7.9	1.5	1.2	1.2	1.4	Cell cycle
p73	W28729	MCM3AP	MCM3-associated protein	2.6	3	1.6	2.4	3.3	0.9	2	2.1	Cell cycle
p73	U47414	CCNG2	cyclin G2	2.1	2.3	2.3	3.8	1.6	1.9	3.8	1.8	Cell cycle
p73/p53	AI304854	CDKN1B	p27, Kip1	2.9	2.3	2.7	2.7	3.4	2.9	6.4	5.4	Cell cycle
p73/p53	U03106	CDKN1A	p21 WAF1	1.6	2.9	2.9	3.3	1.9	3.2	3	4.3	Cell cycle
p73	AL039458	LIG1	DNA ligase	2.5	2.3	2.6	2.3	0.7	0.7	0.7	0.7	DNA repair
p73	CAC004770	FEN1	Endonuclease involved in base excision repair	1.2	3.2	4.2	7.9	2.4	0.6	2.3	1.2	DNA repair
p73/p53	D42045	SNM1	DNA-cross-link repair gene SNM1	2.5	1.2	2.1	2.2	2	3.2	2	2.3	DNA repair
p73/p53	AF076838	RAD17	DNA damage G2 checkpoint	2.7	1.7	4.6	4.1	2	2.1	3.4	7.4	DNA repair
p73	AF010309	PIG3	Quinone oxidoreductase	1.1	1.8	2	2.2	1.2	1.5	1.5	1.1	Tumor suppressor/apoptosis
p73	U60060	FEZ1	Lung cancer tumor suppressor	0.6	2.1	2.1	5.5	0.6	1.8	0.8	1.5	Tumor suppressor/apoptosis
p73	AL049783	CG005	Hypothetical tumor suppressor from BRCA2 region	2.5	1.3	2.1	2.7	1.8	1.3	2.5	1.7	Tumor suppressor/apoptosis
p73/p53	D86958	RB1CC1	Rb transcription regulator	2.7	2	2.6	2.7	2.2	2	3.1	2.6	Tumor suppressor/apoptosis
p73/p53	AF045581	BAP1	BRCA1-associated ubiquitin hydrolase	3.8	1.9	3.5	4.2	3.8	2	4.9	3.4	Tumor suppressor/apoptosis
p73/p53	U13897	DLG1	Homolog to Drosophila tumor suppressor	2.2	1.8	2.5	3.8	2.5	2.1	3.3	3.5	Tumor suppressor/apoptosis
p73/p53	AI813532	TNFRSF1B	Tumor necrosis factor receptor superfamily	2.4	2.8	1.7	2.5	1.6	2.8	2.7	2.6	Tumor suppressor/apoptosis
p73	U20982	IGFBP4	Insulin-like growth factor-binding protein 4	2.7	2.7	2.4	2.4	0.5	0.6	0.5	0.5	Growth factor/growth regulator
p73/p53	AB000584	TGF-f	TGF-f superfamily protein MIC1	1.4	5.1	5.3	11.7	3.4	8.7	8.8	5.3	Growth factor/growth regulator
p73/p53	M29053	IL-7	Interleukin 7	2.6	2.3	2.7	2.8	3.1	3.1	3.4	3	Growth factor/growth regulator
p73/p53	3 M34057	LTBP1	TGF- &#5;-binding protein	1.3	2.2	2	2.4	2.9	2.3	2.1	2.5	Growth factor/growth regulator
p73	X52425	IL-4R	Interleukin 4 receptor	1.9	2.4	2.2	2.4	0.9	0.8	0.7	0.8	Receptor
p73	AF065388	TSPAN-1	Tetraspan 1 cell adhesion differentiation	2	3.4	2.4	2.2	1.7	1.6	1.2	1.4	Receptor
