Probe SetID	Gene Symbol	Gene Title
200871_s_at	PSAP	prosaposin
201839_s_at	EPCAM	epithelial cell adhesion molecule
210139_s_at	PMP22	peripheral myelin protein 22
203585_at	ZNF185	zinc finger protein 185 (LIM domain)
203315_at	NCK2	NCK adaptor protein 2
212925_at	C19orf21	chromosome 19 open reading frame 21
217234_s_at	EZR	ezrin
209016_s_at	KRT7	keratin 7
213466_at	RAB40C	RAB40C, member RAS oncogene family
214845_s_at	CALU	calumenin
201004_at	SSR4	signal sequence receptor, delta (translocon-associated protein delta)
209236_at	SLC23A2	solute carrier family 23 (nucleobase transporters), member 2
208682_s_at	MAGED2	melanoma antigen family D, 2
203094_at	MAD2L1BP	MAD2L1 binding protein
202260_s_at	STXBP1	syntaxin binding protein 1
207732_s_at	DLG3	discs, large homolog 3 (Drosophila)
214040_s_at	GSN	gelsolin (amyloidosis, Finnish type)
203826_s_at	PITPNM1	phosphatidylinositol transfer protein, membrane-associated 1
206427_s_at	MLANA	melan-A
41644_at	SASH1	SAM and SH3 domain containing 1
204457_s_at	GAS1	growth arrest-specific 1
208937_s_at	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
212419_at	ZCCHC24	zinc finger, CCHC domain containing 24
204040_at	RNF144A	ring finger protein 144A
203391_at	FKBP2	FK506 binding protein 2, 13kDa
204679_at	KCNK1	potassium channel, subfamily K, member 1
214632_at	NRP2	neuropilin 2
207233_s_at	MITF	microphthalmia-associated transcription factor
212531_at	LCN2	lipocalin 2
203979_at	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1
211066_x_at	PCDHGC3	protocadherin gamma subfamily C, 3
206560_s_at	MIA	melanoma inhibitory activity
213355_at	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
205780_at	BIK	BCL2-interacting killer (apoptosis-inducing)
200958_s_at	SDCBP	syndecan binding protein (syntenin)
203713_s_at	LLGL2	lethal giant larvae homolog 2 (Drosophila)
208614_s_at	FLNB	filamin B, beta (actin binding protein 278)
203954_x_at	CLDN3	claudin 3
203556_at	ZHX2	zinc fingers and homeoboxes 2
202016_at	MEST	mesoderm specific transcript homolog (mouse)
213843_x_at	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
201178_at	FBXO7	F-box protein 7
201578_at	PODXL	podocalyxin-like
209306_s_at	SWAP70	SWAP-70 protein
209170_s_at	GPM6B	glycoprotein M6B
210130_s_at	TM7SF2	transmembrane 7 superfamily member 2
214154_s_at	PKP2	plakophilin 2
203603_s_at	ZEB2	zinc finger E-box binding homeobox 2
206234_s_at	MMP17	matrix metallopeptidase 17 (membrane-inserted)
204867_at	GCHFR	GTP cyclohydrolase I feedback regulator
201015_s_at	JUP	junction plakoglobin
208626_s_at	VAT1	vesicle amine transport protein 1 homolog (T. californica)
