Probe_ID	Gene	Corrected p-value	Regulation([PF] vs [SP])a	Regulation([PF] vs [ST])a	Regulation([SP]vs [ST])a
VAMP8_E7_F	VAMP8	1.17E-07	down	down	up
VAMP8_P241_F	VAMP8	1.31E-07	down	down	up
B3GALT5_E246_R	B3GALT5	1.37E-07	down	down	up
EPHX1_P1358_R	EPHX1	1.37E-07	down	down	up
SPDEF_E116_R	SPDEF	3.65E-07	down	down	up
KRT5_P308_F	KRT5	3.65E-07	down	down	up
OSM_P34_F	OSM	3.65E-07	down	down	up
VAMP8_P114_F	VAMP8	3.79E-07	down	down	up
PMP22_P975_F	PMP22	3.79E-07	down	down	up
EMR3_P39_R	EMR3	8.11E-07	down	up	up
TGFB3_E58_R	TGFB3	8.11E-07	down	down	up
SEPT9_P374_F	9-Sep	8.11E-07	down	down	up
IRF7_P277_R	IRF7	8.29E-07	up	up	down
PPARG_P693_F	PPARG	8.29E-07	down	down	down
LEFTY2_P719_F	LEFTY2	8.49E-07	down	down	down
CHI3L2_E10_F	CHI3L2	9.43E-07	down	down	up
MMP2_P303_R	MMP2	1.29E-06	down	down	up
KLK11_P103_R	KLK11	1.35E-06	up	up	down
TJP2_P518_F	TJP2	1.70E-06	down	down	up
TRIM29_E189_F	TRIM29	5.58E-06	down	down	up
EPHX1_E152_F	EPHX1	6.12E-06	down	down	down
NAT2_P11_F	NAT2	7.95E-06	down	down	down
SH3BP2_E18_F	SH3BP2	1.16E-05	down	down	down
JAK3_P1075_R	JAK3	1.21E-05	down	down	up
SEPT9_P58_R	9-Sep	1.35E-05	down	down	up
BCR_P346_F	BCR	1.38E-05	down	down	up
HCK_P858_F	HCK	1.62E-05	up	up	up
MC2R_P1025_F	MC2R	2.83E-05	down	down	up
WRN_P969_F	WRN	2.83E-05	down	down	down
FGFR3_P1152_R	FGFR3	3.12E-05	down	down	up
SPDEF_P6_R	SPDEF	3.18E-05	down	down	up
MAP3K1_E81_F	MAP3K1	4.17E-05	up	down	down
BCR_P422_F	BCR	4.22E-05	down	down	up
CD81_P211_F	CD81	4.35E-05	up	up	down
CRIP1_P874_R	CRIP1	4.36E-05	up	up	down
GRB10_P496_R	GRB10	5.89E-05	up	down	down
IL1RN_P93_R	IL1RN	7.29E-05	down	down	up
WNT10B_P993_F	WNT10B	1.45E-04	up	up	up
SPP1_E140_R	SPP1	1.60E-04	down	down	up
FABP3_E113_F	FABP3	2.12E-04	up	up	down
CD81_P272_R	CD81	3.21E-04	up	up	down
PI3_P1394_R	PI3	4.07E-04	down	down	up
TAL1_E122_F	TAL1	4.47E-04	up	up	down
HRASLS_P353_R	HRASLS	4.85E-04	down	down	up
EYA4_P794_F	EYA4	4.85E-04	up	down	down
RBP1_P426_R	RBP1	5.32E-04	down	down	down
MAP3K1_P7_F	MAP3K1	5.51E-04	down	down	down
PYCARD_P393_F	PYCARD	5.61E-04	down	down	up
MAPK10_E26_F	MAPK10	5.61E-04	down	down	up
DDR2_P743_R	DDR2	5.64E-04	down	down	up
GP1BB_E23_F	GP1BB	7.63E-04	up	up	down
IRF7_E236_R	IRF7	8.49E-04	up	up	down
MBD2_P233_F	MBD2	8.51E-04	down	down	up
CCKAR_P270_F	CCKAR	0.001096113	down	up	up
RAN_P581_R	RAN	0.001120361	down	down	up
LY6G6E_P45_R	LY6G6E	0.001192627	up	down	down
LCN2_P86_R	LCN2	0.001257699	down	down	down
RIPK3_P24_F	RIPK3	0.001980012	up	up	down
VAV1_P317_F	VAV1	0.001984727	down	down	up
RIPK1_P744_R	RIPK1	0.00202521	down	down	down
HIC-1_seq_48_S103_R	HIC1	0.002130669	up	up	down
AOC3_P890_R	AOC3	0.002210218	down	down	up
KLK10_P268_R	KLK10	0.002433623	down	up	up
MYCL2_P19_F	MYCL2	0.002509419	up	up	down
IRAK3_P185_F	IRAK3	0.002960771	up	up	down
TRPM5_P721_F	TRPM5	0.002988247	down	down	up
HDAC1_P414_R	HDAC1	0.003419686	down	up	up
ASCL2_P609_R	ASCL2	0.003794937	up	down	down
CARD15_P302_R	CARD15	0.00391731	up	down	down
GJB2_P931_R	GJB2	0.004783723	up	down	down
DDR2_E331_F	DDR2	0.005416901	down	down	up
CCKAR_E79_F	CCKAR	0.006731622	down	down	up
IL16_P93_R	IL16	0.007190777	down	down	up
TNFRSF10D_E27_F	TNFRSF10D	0.009179435	up	up	down
CASP10_P334_F	CASP10	0.009729889	down	down	up
MEST_P4_F	MEST	0.009938319	up	up	down
AATK_P709_R	AATK	0.010607201	up	up	down
RASSF1_E116_F	RASSF1	0.013916308	up	up	down
ALOX12_P223_R	ALOX12	0.01715223	up	down	down
TP73_P945_F	TP73	0.019199006	up	down	down
ASCL2_E76_R	ASCL2	0.0198973	up	down	down
ASCL2_P360_F	ASCL2	0.020359265	up	down	down
STAT5A_E42_F	STAT5A	0.024970474	down	down	up
IL16_P226_F	IL16	0.037272446	down	down	up
