RAE230A Affymetrix Sequence code	Accession No.	Gene Name	Gene Description	D (day -13.8)	P (day -13.8)	D (day -13)	P (day -13)	D (day 3)	P (day 3)	Ontology
1369291_at	NM_030985.1	AGTR1	angiotensin II receptor, type 1 (AT1A)					4	2.30E-05	Angiogenesis
1391428_at	AI639162	ANGPT1	angiopoietin 1					1.8	8.50E-08	Angiogenesis
1386938_at	NM_031012.1	ANPEP	alanyl (membrane) aminopeptidase					2.2	2.90E-18	Angiogenesis
1388459_at	AI101782	COL18A1	collagen, type XVIII, alpha 1					2.9	6.30E-26	Angiogenesis
1373882_at	AI170324	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)			1.6	9.40E-04	2.4	4.60E-11	Angiogenesis
1368519_at	NM_012620.1	SERPINE1	serine (or cysteine) proteinase inhibitor, member 1	6.6	2.30E-06			27.6	0.00E+00	Angiogenesis
1369197_at	NM_023979.1	APAF1	apoptotic protease activating factor 1					2.2	2.20E-12	Apoptosis
1368066_at	NM_053812.1	BAK1	BCL2-antagonist/killer 1					1.8	8.50E-04	Apoptosis
1369122_at	AF235993.1	BAX	BCL2-associated X protein					3.5	2.00E-04	Apoptosis
1368482_at	NM_133416.1	BCL2A1	BCL2-related protein A1	5.5	4.80E-15	2.4	1.80E-07	3.2	3.70E-19	Apoptosis
1370113_at	NM_023987.1	BIRC2	inhibitor of apoptosis protein 1	2.6	8.20E-26	2	1.20E-04			Apoptosis
1368799_at	NM_022274.1	BIRC5	baculoviral IAP repeat-containing 5 (survivin)					2.8	1.40E-16	Apoptosis
1390386_at	BM387008	CASP3	caspase 3					3.2	4.90E-08	Apoptosis
1368305_at	NM_031775.1	CASP6	caspase 6					1.9	1.60E-03	Apoptosis
1369262_at	NM_022277.1	CASP8	caspase-8					2.9	1.50E-04	Apoptosis
1390325_at	BI289418	CD38	CD38 antigen			1.9	2.50E-08	3.3	3.40E-25	Apoptosis
1387087_at	NM_024125.1	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	1.9	4.40E-17	1.5	6.50E-04	1.6	5.00E-16	Apoptosis
1368545_at	NM_057138.1	CFLAR	CASP8 and FADD-like apoptosis regulator	6	2.30E-04					Apoptosis
1368947_at	NM_024127.1	GADD45A	growth arrest and DNA-damage-inducible 45 alpha	1.7	1.90E-04			2.1	8.50E-05	Apoptosis
1387221_at	NM_024356.1	GCH	GTP cyclohydrolase 1	2.4	9.80E-10					Apoptosis
1370080_at	NM_012580.1	HMOX1	heme oxygenase  1					2.9	0.00E+00	Apoptosis
1368856_at	NM_031514.1	JAK2	Janus kinase 2	2.1	8.00E-10	1.9	2.70E-04	1.7	2.70E-13	Apoptosis
1368811_at	NM_053905.1	LMNB1	lamin B1					2.9	9.00E-11	Apoptosis
1368308_at	NM_012603.1	MYC	v-myc avian myelocytomatosis viral oncogene homolog	1.8	2.00E-07					Apoptosis
1370321_at	AF262320.1	PDCD8	programmed cell death 8 (apoptosis-inducing factor)					1.9	3.30E-03	Apoptosis
1387422_at	NM_053373.1	PGLYRP	peptidoglycan recognition protein	2.4	1.10E-09					Apoptosis
1370422_at	AF036537.2	RIPK3	homocysteine respondent protein HCYP2			1.6	1.20E-04	1.8	3.50E-04	Apoptosis
1387776_at	BI275994	TGM2	tissue-type transglutaminase	2.7	8.00E-04	2.4	7.30E-04	2.2	5.80E-03	Apoptosis
1367715_at	NM_013091.1	TNFRSF1a	tumor necrosis factor receptor superfamily, member 1a			2.3	6.90E-05	1.8	3.70E-05	Apoptosis
1377698_at	AW433947	TNFRSF5	TNFRSF5	4.6	1.40E-06			2.9	1.70E-03	Apoptosis
1367830_a_at	NM_030989.1	TP53	tumor protein p53					5	2.70E-03	Apoptosis
1387870_at	AB025017	ZFP36	zinc finger protein 36	2.6	2.10E-31	1.5	5.80E-08	1.5	8.50E-06	Apoptosis
1367899_at	NM_012950.1	F2R	coagulation factor II receptor					2	8.50E-17	Blood coagulation
1370992_a_at	AI072045	FGA	fibrinogen, alpha polypeptide	2.4	2.00E-04					blood coagulation
1368323_at	NM_017200.1	TFPI	tissue factor pathway inhibitor					1.9	1.10E-17	Blood coagulation
1377340_at	AI179507	TFPI2	tissue factor pathway inhibitor 2	1.6	2.10E-08			2.2	2.20E-17	Blood coagulation
1389234_at	BI298314	VWF	Von Willebrand factor					1.9	6.40E-08	Blood coagulation
1368164_at	NM_053850.1	BLVRA	biliverdin reductase A	2.2	3.60E-04			2.7	6.40E-04	catabolism
1368885_at	AI009808	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	2.1	4.90E-03	2.7	1.50E-04	5.2	1.20E-15	catabolism
1368075_at	NM_012732.2	LIPA	lipase A, lysosomal acid					1.8	4.70E-14	catabolism
1369963_at	NM_053654.1	PAFAH1B3	platelet-activating factor acetylhydrolase, isoform 1b, alpha1 subunit					1.8	1.20E-05	catabolism
1369304_at	NM_017220.1	PTS	6-pyruvoyl-tetrahydropterin synthase					2	1.70E-09	catabolism
1372323_at	AI103641	SARDH	sarcosine dehydrogenase					2.1	5.70E-04	catabolism
1369190_at	NM_012830.1	CD2	CD2 antigen			2.1	2.90E-04			cell adhesion
1368379_at	NM_054001.1	CD36L2	CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 2					2.6	5.40E-05	cell adhesion
1387952_a_at	AF065147.1	CD44	CD44 antigen	2.1	2.10E-08	1.6	1.10E-03			cell adhesion
1370927_at	BE108345	COL12A1	procollagen, type XII, alpha 1					2.5	4.60E-43	cell adhesion
1373463_at	AI172281	COL5A2	collagen, type V, alpha 2					2	9.30E-06	cell adhesion
1368347_at	NM_021760.1	COL5A3	collagen, type V, alpha 3					3.1	6.90E-27	cell adhesion
1371232_a_at	AF084544.1	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	2.3	2.40E-03	2.1	5.80E-04	8.9	7.20E-37	cell adhesion
1368541_at	NM_053719.1	EMB	embigin					3.5	1.70E-19	cell adhesion
1387378_at	NM_053634.1	FCNB	ficolin B	8.7	3.00E-28	8	1.10E-17	29	0.00E+00	cell adhesion
1399045_at	AI236745	GALNT1	polypeptide GalNAc transferase T1					2.9	0.00E+00	cell adhesion
1368187_at	NM_133298.1	GPNMB	glycoprotein (transmembrane) nmb			2.2	3.60E-12	2.5	0.00E+00	cell adhesion
1387202_at	NM_012967.1	ICAM1	intercellular adhesion molecule 1	8.9	0.00E+00	4.4	7.20E-09	4	2.20E-11	cell adhesion
