Probe set ID	Gene name	Gene symbol	Gene ontology biologic process	Fold change
200884_at	Creatine kinase, brain	CKB		–4,9
226612_at	Similar to CG4502-PA	FLJ25076		–4,6
239533_at	G protein-coupled receptor 155	GPR155		–8,5
242372_s_at	Hypothetical protein DKFZp761N1114	DKFZp761N1114		–7,7
231166_at	G protein-coupled receptor 155	GPR155		–8,0
207981_s_at	Estrogen-related receptor gamma	ESRRG	Regulation of transcription, DNA-dependent	–7,0
206212_at	Carboxypeptidase A2 (pancreatic)	CPA2	Proteolysis and peptidolysis/vacuolar protein catabolism	–6,5
209966_x_at	Estrogen-related receptor gamma	ESRRG	Regulation of transcription, DNA-dependent	–6,7
230003_at				–5,0
1552910_at	Sialic acid binding Ig-like lectin 11	SIGLEC11	Cell adhesion	–6,9
227742_at	Chloride intracellular channel 6	CLIC6	Chloride transport/ion transport	–14,9
202502_at	Acyl-coenzyme A dehydrogenase, C-4 to C-12 straight chain	ACADM	Electron transport/energy pathways/fatty acid beta-oxidation/fatty acid metabolism	–1,7
238862_at	Hypothetical protein DKFZp761N1114	DKFZp761N1114		–6,9
202404_s_at	Collagen, type I, alpha 2	COL1A2	Perception of sound/phosphate transport/skeletal development	3,0
203510_at	Met protooncogene (hepatocyte growth factor receptor)	MET	Cell proliferation/cell surface receptor-linked signal transduction/protein amino acid phosphorylation	2,0
227861_at	Hypothetical protein MGC33214	MGC33214		–2,5
227172_at	Hypothetical protein BC000282	LOC89894		–2,1
212473_s_at	Flavoprotein oxidoreductase MICAL2	MICAL2		1,9
201944_at	Hexosaminidase B (beta polypeptide)	HEXB	Carbohydrate metabolism/glycosphingolipid metabolism	1,8
208998_at	Uncoupling protein 2 (mitochondrial, proton carrier)	UCP2	Mitochondrial transport/proton transport	1,8
