Fold change	Acession number	gene symbol	gene
586.0987702	NM_001109022	Inmt	indolethylamine N methyltransferase
241.3528412	NM_130741	Lcn2	lipocalin 2
219.0323266	NM_022194	Il1rn	interleukin 1 receptor antagonist
205.0738887	NM_001009628	MGC108747	similar to alpha 1 major acute phase protein prepeptide
181.6477896	ENSRNOT00000005162	Porf1	preoptic regulatory factor 1
169.4833805	NM_031720	Dio2	deiodinase, iodothyronine, type II
149.0858991	NM_176074	C6	complement component 6
107.6347412	NM_001044265	Steap4	STEAP family member 4
103.9683067	NM_012696	Kng1	kininogen 1
90.19652833	NM_017208	Lbp	lipopolysaccharide binding protein
77.43962171	NM_031761	Figf	c fos induced growth factor
71.50637684	NM_001002835	Smoc1	SPARC related modular calcium binding 1
66.25695513	NM_181087	Cyp26b1	cytochrome P450, family 26, subfamily b, polypeptide 1
62.90051831	ENSRNOT00000022479	Sned1	sushi, nidogen and EGF like domains 1
54.94818793	NM_012532	Cp	ceruloplasmin
54.19169999	NM_012889	Vcam1	vascular cell adhesion molecule 1
50.56264396	NM_053560	Chi3l1	chitinase 3 like 1
50.3877105	NM_017017	Hgf	hepatocyte growth factor
48.33512274	NM_080892	Selenbp1	selenium binding protein 1
41.35529058	NM_012862	Mgp	matrix Gla protein
39.80837291	NM_053372	Slpi	secretory leukocyte peptidase inhibitor
37.01402188	NM_016994	C3	complement component 3
32.44670335	NM_001002805	C4 2	complement component 4, gene 2
32.2225776	NM_138547	Akr1c14	aldo keto reductase family 1, member C14
30.80302218	NM_031834	Sult1a1	sulfotransferase family 1A, phenol preferring, member 1
30.69645182	NM_012582	Hp	haptoglobin
29.65081798	NM_024128	Nsg1	neuron specific gene family member 1
29.24260641	NM_138900	C1s	complement component 1, s subcomponent
26.44641018	NM_147216	Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2
26.44641018	NM_053314	Kcnj16	potassium inwardly rectifying channel, subfamily J, member 16
24.847004	NM_001100700	Sfrp2	secreted frizzled related protein 2
23.67020015	ENSRNOT00000004820	Adamts2	a disintegrin like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2
23.02293728	NM_001107195	Olfml2b	olfactomedin like 2B
22.31589866	NM_017154	Xdh	xanthine dehydrogenase
21.70566924	NM_199093	Serping1	serine (or cysteine) peptidase inhibitor, clade G, member 1
20.89375659	NM_017097	Ctsc	cathepsin C
20.18203854	NM_019358	Pdpn	podoplanin
19.90418645	ENSRNOT00000003207	RGD1562220	similar to GPI gamma 4; GPIgamma4
19.69831061	NM_134378	Sulf1	sulfatase 1
19.56224444	ENSRNOT00000030798	Alpk1	alpha kinase 1
19.29292524	NM_001106810	Adamts15	a disintegrin like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15
19.22617679	NM_138905	Ppap2b	phosphatidic acid phosphatase type 2B
18.70043598	NM_019363	Aox1	aldehyde oxidase 1
18.63573738	NM_053591	Dpep1	dipeptidase 1 (renal)
18.57126263	NM_013198	Maob	monoamine oxidase B
18.06343048	ENSRNOT00000014074	Elovl7	ELOVL family member 7, elongation of long chain fatty acids (yeast)
17.87659421	NM_022251	Enpep	glutamyl aminopeptidase
17.69169045	NM_012503	Asgr1	asialoglycoprotein receptor 1
17.56948502	NM_172019	Ifi47	interferon gamma inducible protein 47
17.1483754	NM_001108321	Rtp4	receptor transporter protein 4
16.44982123	NM_001033883	Cxcl12	chemokine (C X C motif) ligand 12
16.16722314	NM_145098	Nrp1	neuropilin 1
15.61650817	AY009158	Slc24a3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
15.61650817	XR_006414	LOC500066	similar to Protein FAM40B
15.29512508	NM_139341	Slc15a3	solute carrier family 15, member 3
14.98035596	NM_001025712	Itm2a	integral membrane protein 2A
14.6213032	NM_017080	Hsd11b1	hydroxysteroid 11 beta dehydrogenase 1
14.4200074	NM_024145	Fgr	Gardner Rasheed feline sarcoma viral (Fgr) oncogene homolog
14.12324794	ENSRNOT00000002223	RGD1562717	similar to ABI gene family, member 3 (NESH) binding protein
13.88061899	NM_001037358	Lmo2	LIM domain only 2
13.8325957	NM_024400	Adamts1	a disintegrin like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1
13.45434264	NM_001108726	Itgb8	integrin beta 8
13.22320509	NM_133614	Slc25a21	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21
13.22320509	ENSRNOT00000051294	LOC680451	similar to nuclear receptor binding protein
13.17745628	NM_022587	Entpd1	ectonucleoside triphosphate diphosphohydrolase 1
13.13186574	XM_001076258	Alpk1	alpha kinase 1
13.08643294	NM_001106944	Gdpd2	glycerophosphodiester phosphodiesterase domain containing 2
12.99603834	NM_080894	Pde7b	phosphodiesterase 7B
12.86161585	NM_012497	Aldoc	aldolase C, fructose bisphosphate
12.77277418	NM_001014044	Tifa	TRAF interacting protein with forkhead associated domain
12.55334557	NM_017333	Ednrb	endothelin receptor type B
12.423502	ENSRNOT00000017784	RGD1560022	similar to Hypothetical protein 4832420M10
12.3376866	NM_001106325	Cd248	CD248 molecule, endosialin
12.12573253	XM_001061158	RGD1560022	similar to Hypothetical protein 4832420M10
11.83510007	BC158653	Setbp1	SET binding protein 1
11.71268557	NM_032085	Col3a1	collagen, type III, alpha 1
11.19668692
11.11934576	XM_576044	Dact1	dapper homolog 1, antagonist of beta catenin (xenopus)
11.04253883	NM_134455	Cx3cl1	chemokine (C X3 C motif) ligand 1
10.92832205	NM_012778	Aqp1	aquaporin 1
10.89051293	NM_017139	Penk1	proenkephalin 1
10.89051293	NM_001037199	Dhrs3	dehydrogenase/reductase (SDR family) member 3
10.89051293	NM_019192	Sepp1	selenoprotein P, plasma, 1
10.4468783	XM_001076258	Alpk1	alpha kinase 1
10.23188465	NM_017051	Sod2	superoxide dismutase 2, mitochondrial
10.23188465	NM_001011921	Pdgfrl	platelet derived growth factor receptor like
10.16120786	ENSRNOT00000018535	Cdh11	cadherin 11
10.056107	NM_001108162	Rasl12	RAS like, family 12
9.952093226	NM_001107635	Lama4	laminin, alpha 4
9.952093226	NM_001012072	Ppp1r3c	protein phosphatase 1, regulatory (inhibitor) subunit 3C
9.9176616	NM_001108570	Il1f8	interleukin 1 family, member 8
9.849155307	NM_130409	Cfh	complement component factor H
9.646462622
9.579829637	NM_001107335	Dapk1	death associated protein kinase 1
9.579829637	BC158642	Porcn	porcupine homolog (Drosophila)
9.51365692	NM_017031	Pde4b	phosphodiesterase 4B, cAMP specific
9.51365692	NM_199502	Chrdl1	kohjirin
9.51365692	NM_013034	Slc6a4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
9.480742168	NM_012733	Rbp1	retinol binding protein 1, cellular
9.415253898	NM_001108422	Plxdc2	plexin domain containing 2
9.415253898	ENSRNOT00000045315	Col18a1	collagen, type XVIII, alpha 1
9.317868692	NM_001106314	Ifitm1	interferon induced transmembrane protein 1
9.221490774	BC161983	Pbx1	pre B cell leukemia transcription factor 1
9.18958684	ENSRNOT00000047200	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
9.031715238	NM_001017505	Itgbl1	integrin, beta like 1
9.000467878	NM_001108392	Zic2	zinc finger protein of the cerebellum 2
8.969328624	AF164039	Ifitm3	interferon induced transmembrane protein 3
8.876555777	NM_023090	Epas1	endothelial PAS domain protein 1
8.815240927	NM_207616	Hyal1	hyaluronoglucosaminidase 1
8.815240927	NM_022605	Hpse	heparanase
8.78474251	NM_001034110	Ctsf	cathepsin F
8.6938789	NM_053546	Angpt1	angiopoietin 1
8.663800364	ENSRNOT00000019487	Scara5	scavenger receptor class A, member 5 (putative)
8.633825892	NM_030845	Cxcl1	chemokine (C X C motif) ligand 1
8.603955124	NM_001017458	Tcp11l2	t complex 11 (mouse) like 2
8.51496146	NM_172222	C2	complement component 2
8.456144324	NM_012880	Sod3	superoxide dismutase 3, extracellular
8.310872826	NM_031821	Plk2	polo like kinase 2 (Drosophila)
8.310872826
8.282119391	NM_199208	Rdh2	retinol dehydrogenase 2
8.083611572	ENSRNOT00000036343	RGD1305254	similar to transmembrane protein 2
8.083611572	NM_001105731	Prkg1	protein kinase, cGMP dependent, type 1
8.0556444
8.0556444	NM_133611	Slc2a13	solute carrier family 2 (facilitated glucose transporter), member 13
8.0556444	ENSRNOT00000024128	Sfrp1	secreted frizzled related protein 1
7.889861636	NM_001025042	Fibin	fin bud initiation factor
7.889861636	ENSRNOT00000010064	Eya1	eyes absent 1 homolog (Drosophila)
7.889861636	NM_001105720	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha
7.889861636	ENSRNOT00000025071	Sox4	SRY box containing gene 4
7.862564788	AY386318	Mxd1	max dimerization protein 1
7.700755545	NM_022257	Masp1	mannan binding lectin serine peptidase 1
7.700755545	NM_001024369	Ypel4	yippee like 4 (Drosophila)
7.674112955	ENSRNOT00000036481	LOC686661	similar to CG1998 PA
7.647562541	NM_057149	Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11
7.621103984	NM_001106840	Gsta4	glutathione S transferase, alpha 4
7.568461174	NM_012505	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide
7.542276287	NM_001037096	Rassf2	Ras association (RalGDS/AF 6) domain family member 2
7.490177979
7.336032346	NM_021266	Fzd1	frizzled homolog 1 (Drosophila)
7.285358669	ENSRNOT00000060486	Pcdhb18	protocadherin beta 18
7.260153243	AF399843	Prickle1	prickle like 1 (Drosophila)
7.23503502	NM_001107491	Cxcl17	chemokine (C X C motif) ligand 17
7.135428155	NM_198761	Adamts5	a disintegrin like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase 2)
7.110741449	NM_022943	Mertk	c mer proto oncogene tyrosine kinase
7.110741449	NM_031584	Slc22a2	solute carrier family 22 (organic cation transporter), member 2
7.086140153	NM_023987	Birc3	baculoviral IAP repeat containing 3
7.06162397	NM_001013979	LOC304131	similar to C21ORF7
7.037192607	NM_001014108	Gpc4	glypican 4
7.012845771	NM_139084	Magi3	membrane associated guanylate kinase, WW and PDZ domain containing 3
6.940309497	NM_181473	Klhl24	kelch like 24 (Drosophila)
6.91629785	ENSRNOT00000022439	Plekhg4	pleckstrin homology domain containing, family G (with RhoGef domain) member 4
6.91629785	NM_175578	Rcan2	regulator of calcineurin 2
6.821079134	NM_001106710	Emilin1	elastin microfibril interfacer 1
6.797479993	NM_001106889	Ptk7	PTK7 protein tyrosine kinase 7
6.797479993	ENSRNOT00000019473	S1pr3	sphingosine 1 phosphate receptor 3
6.773962499	NM_001107344	Mylip	myosin regulatory light chain interacting protein
