Gene	Symbol	GenBank No.	Localization and Domain
Cathepsin B	CTSB	NM_001908	Lysosomal cysteine protease
Cathepsin C	CTSC	NM_001814	Lysosomal cysteine protease
Cathepsin D	CTSD	NM_001909	Lysosomal aspartyl protease
Cathepsin E	CTSE	NM_001910	Gastric aspartyl protease
Cathepsin F	CTSF	NM_003793	Lysosomal cysteine protease
Cathepsin G	CTSG	NM_001911	Neutrophil serine protease
Cathepsin H	CTSH	NM_004390	Lysosomal cysteine protease
Cathepsin K	CTSK	NM_000396	Lysosomal cysteine protease
Cathepsin L	CTSL	NM_001912	Lysosomal cysteine protease
Cathepsin O	CTSO	NM_001334	Lysosomal cysteine protease
Cathepsin S	CTSS	NM_004079	Lysosomal cysteine protease
Cathepsin W	CTSW	NM_001335	Lysosomal cysteine protease
Cathepsin Z	CTSZ	NM_001336	Lysosomal cysteine protease
