Gene coordinate	GenBank accession number	Protein/gene	Array type	EL08- 1D2	UG26- 1B6	Mean EL08 and UG26	UG15- 1B7	EL28- 1B3	AM20- 1B4	AM30- 3F4	Mean UG15, EL28, AM20, and AM30	Log ratio	Fold change	p Value (t-test, two- sided)
D14b	X81582	IGFBP-4	M1.2	4.95	2.97	3.96	2	2.31	1.66	2.33	2.07	1.89	6.6	0.04
D12c	D90225	Pleiotrophin (PTN. OSF-1)	M1.2	5.11	3.91	4.51	1.82	2.53	3.76	2.67	2.69	1.82	6.14	0.01
D14a	X81581	IGFBP-3	M1.2	4.85	5.37	5.11	3.87	3.08	4.66	2.76	3.59	1.52	4.57	< .01
F04h	X94444	Cathepsin K	M1.2 II	6.39	6.14	6.27	4.71	5.24	5.04	4.66	4.92	1.35	3.85	< .01
B09g	L07803	Thrombospondin 2	M1.2 II	7.61	6.89	7.25	5.1	4.79	6.97	7.21	6.02	1.23	3.43	0.03
D14f	Z22703	FGF-7 (KGF)	M1.2	4.51	4.1	4.31	1.83	2.29	4.1	4.44	3.17	1.14	3.13	0.04
D13b	Z29532	Follistatin (FST; activin-binding protein)	M1.2	4.02	4.28	4.15	2.96	2.91	2.65	3.76	3.07	1.08	2.94	< .01
B01i	X83601	Pentaxin-related gene	M1.2 II	7.34	7.58	7.46	5.77	5.61	7.11	7.1	6.4	1.06	2.89	0.01
D13m	X81585	IGFBP6	M1.2	4.84	3.98	4.41	3.26	4.27	3.18	2.71	3.35	1.05	2.87	0.02
D13a	D38258	FGF-9	M1.2	2.99	3	2.99	2.01	2.1	1.95	1.87	1.98	1.01	2.75	< .01
D12b	S71251	CCL7 (MCP3)	M1.2	4.83	4.39	4.61	3.55	3.13	4.38	3.39	3.61	1	2.72	< .01
F07f	L07803	Thrombospondin 2	M1.2	4.24	3.91	4.07	2.77	2.6	3.11	3.81	3.07	1	2.72	< .01
A09j	U66918	SHOX2 (PRX3)	M1.2	3.19	3.38	3.28	2.55	2.3	2.21	2.2	2.32	0.97	2.63	< .01
D05j	AF039601	TGF-betaRIII (betaglycan)	M1.2	4.32	3.97	4.14	3.21	3.03	3.64	3.46	3.33	0.81	2.25	< .01
D03g	M20658	Interleukin-1 receptor	M1.2	3.69	3.5	3.59	2.95	2.47	2.79	2.99	2.8	0.8	2.22	0.01
F14j	L23971	Fragile X mental retardation protein	M1.2	4.28	3.89	4.09	3.73	3.25	3.01	3.29	3.32	0.77	2.15	< .01
E04g	U33323	Preproglucagon	M1.2	2.12	2.4	2.26	1.38	1.78	1.4	1.44	1.5	0.76	2.13	0.01
D11b	X80903	Delta-like protein 1 (DLL1)	M1.2	2.64	2.55	2.59	1.79	2	1.79	1.9	1.87	0.73	2.07	< .01
F07j	M87276	Thrombospondin 1	M1.2	5.11	5.42	5.27	4.98	3.84	4.25	5.13	4.55	0.71	2.04	0.03
F03f	D67076	ADAM-TS1	M1.2 II	6.74	6.45	6.59	6.43	5.35	5.33	6.46	5.89	0.7	2.01	0.05
