Gene symbol	Gene name	Genebank accession number	Fold decrease
HIST1H4C	Histone 1, H4c	AA868008	9.5
IFITM2	Interferon-induced transmembrane protein 2	AA862371	7.4
ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	AA708298	7.2
IFITM3	Interferon-induced transmembrane protein 3	AA464417	7.1
RSU-1	Ras suppressor protein 1	AA235332	5.4
TRIM28	Tripartite motif-containing 28	AA663435	4.9
LDHA	Lactate dehydrogenase A	AA497029	4.8
ARMC9	Armadillo repeat containing 9	N26671	4.7
MDH2	Malate dehydrogenase	AA000271	4.4
LENG4	Leukocyte receptor cluster member4	AA426216	4.2
	Espressed sequence	N58010	4.2
PSAT1	Phosphoserine aminotransferase 1	AI015679	4.1
FLI1	Friend leukemia virus integration 1	N50806	4.1
NIFUN	NifU-like N-terminal domain containing	T55560	4.1
FLJ20758	Hypothetical protein	AA449693	4.1
MGC48595	Hypothetical protein	AA456426	3.8
ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	AA873577	3.6
NDUFC1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1 6 kDa	AA460251	3.5
MDH1	Malate dehydrogenase	AA403295	3.5
H2AFZ	H2A histone family memer Z	AI668800	3.5
COL3A1	Collagen type III	T98612	3.5
SRBP-1	Type I sigma receptor	W47485	3.5
PTMA	Prothymosin, alpha	R98842	3.5
DHFR	Dihydrofolate reductase	AA424790	3.3
FAM100B	Family with sequence similarity 100, member B	AA456844	3.3
CYB5-M	Outer mitochondrial membrane cytochrome b5	H73591	3.2
ASNS	Asparagine synthetase	AA894927	3.1
FMNL1	Formin-like1	N51614	3.1
NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2.8 kDa	AI017426	2.9
UCRC	Ubiquinol-cytochrome c reductase complex (7.2 kDa)	AA447731	2.9
FLJ14525	Hypothetical protein	AA464736	2.9
TMSB4X	Thymosin beta 4	AA634103	2.8
PPP1CC	Protein phosphatase 1, catalytic subunit, gamma isoform	AI015359	2.8
PGK1	Phosphoglycerate kinase 1	AA599187	2.7
SERPIN2Ba	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	T49159	2.7
CCNDBP1	Cyclin D-type-binding protein 1	AA452873	2.7
EPC1	Enhancer of polycomb homolog 1	N49717	2.7
FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	AA453258	2.7
IARS2	Mitochondrial isoleucine tRNA synthetase	AA042812	2.7
UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	AA424587	2.6
SLC4A5	Solute carrier family 4, sodium bicarbonate cotransporter, member 5	AA452802	2.6
MTX2	Metaxin 2	H18640	2.6
BANF1	Barrier-to-autointegration factor 1	AA035095	2.6
SLC3A1	Solute carrier family 3 (cystine, dibasic and neutral amino-acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	R15785	2.6
MGC4707	Hypothetical protein	AA625900	2.6
MON1B	MON1 homolog B	AI337344	2.6
ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	H38623	2.5
	Espressed sequence	AA479055	2.5
EGFRa	Epidermal growth factor receptor	W48713	2.4
SET	SET translocation (myeloid leukemia-associated)	N52911	2.4
PPIH	Peptidyl prolyl isomerase H	AA418410	2.4
EIF3S5	Eukaryotic translation initiation factor 3, subunit 5 epsilon	AI650470	2.3
ARFGEF2	ADP-ribosylation factor guanine nucleotide exchange factor 2	AA136889	2.3
	Expressed sequence	AA490257	2.3
	Expressed sequence	AA171784	2.3
