Gene symbol	Gene description	Genbank accession	Feature Number	Fold change	Fold change	Fold change	Mean±SEM	Pvalue	Pvalue	Pvalue
PLG	plasminogen	NM_000301	12618	25.84	27.24	29.65	27.5861.11	6.40E-15	1.39E-19	2.15E-19
RORA	RAR-related orphan receptor A	NM_134260	31288	12.98	16.45	13.83	14.4261.04	3.73E-20	7.29E-21	2.33E-20
LPA	lipoprotein, Lp(a)	NM_005577	31776	10.08	8.4	9.6	9.3660.5	3.59E-12	1.02E-14	2.47E-16
FBXL17	F-box and leucine-rich repeat protein 17	BC018548	391	5.49	2.69	2.19	3.4661.03	1.13E-08	9.20E-05	4.88E-05
G6PC	glucose-6-phosphatase, catalytic subunit	NM_000151	19594	2.78	3.03	2.61	2.8060.12	6.73E-07	4.06E-07	3.26E-06
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	4259	2.84	2.23	2.03	2.3760.24	1.13E-09	5.19E-07	5.64E-06
AGRP	agouti related protein homolog (mouse)	NM_001138	21543	2.74	2.66	1.44	2.2860.42	1.89E-03	6.19E-04	1.34E-01
NR1D2	nuclear receptor subfamily 1, group D, member 2	BC015929	31530	2.08	2.91	1.68	2.2260.36	3.04E-05	2.02E-08	1.86E-03
SMOC1	SPARC related modular calcium binding 1 (SMOC1)	NM_022137	32907	2.1	1.75	2.68	2.1860.27	2.54E-06	2.09E-04	5.11E-09
HEPN1	associated with liver cancer	NM_001037558	34970	1.81	2.18	2.5	2.1660.20	2.58E-03	1.52E-05	9.65E-07
MLLT7	myeloid/lymphoid or mixed-lineage leukemia translocated to 7	NM_005938	42837	1.91	2	2.22	2.0460.09	4.52E-03	1.02E-03	9.14E-05
LGI2	leucine-rich repeat LGI family, member 2	NM_018176	24947	0.19	0.36	0.37	0.3160.06	1.88E-05	4.57E-04	2.46E-03
ADIPOQ	adiponectin, C1Q and collagen domain containing	NM_004797	36194	0.34	0.17	0.17	0.2360.06	3.21E-03	6.58E-04	4.51E-04
