Clone ID	GenBank	UniGene	Symbol	Name	Entrez	Log Fold Change (BCR/ABL Positive/Negative)	q-value
757350	AA437106	Hs.193370	LIMD1	LIM domains containing 1	8994	0.88166666	0
48886	H14723	Hs.75182	MRC1	Mannose receptor, C type 1	4360	1.55768584	0
294611	N71259	Hs.22500	PIK3C2G	Phosphoinositide-3-kinase, class 2, gamma polypeptide	5288	1.19086137	0
194399	R83161	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.5020349	0
724112	AA411169	Hs.98661	LOC401022	Hypothetical LOC401022	401022	1.14356122	0
265522	N21368	Hs.156967	SEMA6A	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	57556	1.39904594	0
823688	AA489636	Hs.102788	MAN1A1	Mannosidase, alpha, class 1A, member 1	4121	1.3025597	0
782193	AA431967	Hs.78960	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	26524	1.11984095	0
824547	AA490920	Hs.584780	CIITA	Class II, major histocompatibility complex, transactivator	4261	1.0512718	0
308115	N92359	Hs.22575	BCL6B	B-cell CLL/lymphoma 6, member B (zinc finger protein)	255877	0.8860785	0
838689	AA457261	Hs.494700	SLC44A1	Solute carrier family 44, member 1	23446	1.14214628	0
1473274	AA877166	Hs.504687	MYL9	Myosin, light polypeptide 9, regulatory	10398	1.3413673	0
429517	AA011389	Hs.517546	OSBP2	Oxysterol binding protein 2	23762	-1.56801266	0
505385	AA147540	Hs.104879	SERPINB9	Serpin peptidase inhibitor, clade B (ovalbumin), member 9	5272	0.90988877	0
1011133	AA229185	Hs.534032	TARP	TCR gamma alternate reading frame protein	445347	1.602814	0
487878	AA046533	Hs.111779	SPARC	CER1 (ECERIFERUM 1)	6678	0.93295708	0
915612	AA579486	Hs.278695	SLC45A3	Solute carrier family 45, member 3	85414	0.89623213	0
753346	AA406485	Hs.522666	ALAS2	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	212	-2.34183036	0
247089	N57858	Hs.515259	SSBP4	Single stranded DNA binding protein 4	170463	-0.87270273	0
915245	AA578919	Hs.101307	SLC14A1	Solute carrier family 14 (urea transporter), member 1 (Kidd blood group)	6563	-1.2079491	0
204790	H57105	NA	NA	NA	NA	1.04262326	0
121275	T96621	Hs.554753	HLA-DQB2	Major histocompatibility complex, class II, DQ beta 2	3120	1.41135142	0
271737	N35112	Hs.128041	ATP10A	ATPase, Class V, type 10A	57194	1.6619553	0
83297	T68333	Hs.292464	FZD6	Frizzled homolog 6 (Drosophila)	8323	0.71073133	0
162308	H26085	Hs.37445	CYYR1	Cysteine/tyrosine-rich 1	116159	1.28653416	0
687579	AA234621	Hs.156967	SEMA6A	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	57556	1.37444446	0
28498	R13487	Hs.21363	NA	Transcribed locus	NA	-1.0452942	0
207550	H59725	Hs.520182	TRAM2	Translocation associated membrane protein 2	9697	1.1288871	0
358333	W95682	Hs.439620	MYO1B	Myosin IB	4430	1.00999992	0
858450	AA773983	Hs.368626	RTN1	Reticulon 1	6252	-1.12931633	0
357531	W93954	Hs.128686	NUCB2	Nucleobindin 2	4925	-0.78701115	0
417711	W88546	Hs.534322	HLA-DRB5	Major histocompatibility complex, class II, DR beta 5	3127	1.04826698	0
135106	R33037	Hs.24583	GRAMD1C	GRAM domain containing 1C	54762	1.20468993	0
627252	AA190721	Hs.19987	FLJ14213	Hypothetical protein FLJ14213	79899	1.02259144	0
294926	N71461	Hs.554896	MGC11257	Hypothetical protein MGC11257	84310	-1.58384735	0
510273	AA053165	Hs.523789		Full-length cDNA clone CS0DI085YB07 of Placenta Cot 25-normalized of Homo sapiens (human)		0.85135138	0
156097	R73128	Hs.554753	HLA-DQB2	Major histocompatibility complex, class II, DQ beta 2	3120	1.4669157	0
306380	N79037	Hs.449291	HBLD2	HESB like domain containing 2	81689	-0.9693104	0
1631863	AI004331	NA	NA	NA	NA	1.55717023	0
788405	AA456435	Hs.80720	GAB1	GRB2-associated binding protein 1	2549	1.62457874	0
781019	AA446028	Hs.530077	PON2	Paraoxonase 2	5445	1.87054053	0
795159	AA453460	Hs.97887	RCN1	Reticulocalbin 1, EF-hand calcium binding domain	5954	1.19441963	0
109863	T84249	Hs.531561	EMP2	Epithelial membrane protein 2	2013	1.27613666	0
1493527	AA894927	Hs.489207	ASNS	Asparagine synthetase	440	-0.93707508	0
