Gene	UniGene (Homo sapiens)	Affymetrix MG-U74A probe set	GenBank accession no.	UniGene (Mus musculus)
Gbx2	Hs.184945	94200_at	Z48800	Mm.204730
KI67	Hs.80976	99457_at	X82786	Mm.4078
CCNB1	Hs.23960	160159_at	X64713	Mm.318364
BUB1	Hs.469649	104097_at	AF002823	Mm.2185
KNTC2	Hs.414407	93441_at	AI595322	Mm.225956
USP22	Hs.462492	97960_at	AW125800	Mm.30602
HCFC1	Hs.83634	100901_at	U80821	Mm.248353
RNF2	Hs.124186	93164_at	Y12783	Mm.31512
ANK3	Hs.499725	98477_s_at	L40632	Mm.235960
FGFR2	Hs.533683	93090_at	M23362	Mm.16340
CES1	Hs.499222	101538_i_at	AW226939	Mm.292803
